Species,Latitude,Longitude
Quercus_infectoria,33.214742,35.756307
Quercus_infectoria,39.193544,26.399358
Quercus_infectoria,33.21794,35.757988
Quercus_infectoria,33.295333,35.761461
Quercus_infectoria,31.714499,35.089856
Quercus_infectoria,32.998009,35.409395
Quercus_infectoria,33.054208,35.848569
Quercus_infectoria,33.055043,35.84794
Quercus_infectoria,33.05487,35.848415
Quercus_infectoria,41.946518,34.782078
Quercus_infectoria,33.054911,35.849178
Quercus_infectoria,33.088377,35.794772
Quercus_infectoria,33.289518,35.752966
Quercus_infectoria,33.045826,35.850691
Quercus_infectoria,34.415946,36.146324
Quercus_infectoria,33.308817,35.778727
Quercus_infectoria,38.42833,27.39167
Quercus_infectoria,34.404065,36.16074
Quercus_infectoria,34.402459,36.162851
Quercus_infectoria,34.403744,36.159545
Quercus_infectoria,34.418377,36.146057
Quercus_infectoria,34.954762,32.421108
Quercus_infectoria,35.061756,32.312679
Quercus_infectoria,34.417272,36.147811
Quercus_infectoria,34.416897,36.147836
Quercus_infectoria,34.416581,36.148215
Quercus_infectoria,34.406769,36.161302
Quercus_infectoria,33.047441,35.853103
Quercus_infectoria,39.065266,26.389396
Quercus_infectoria,39.158783,26.515834
Quercus_infectoria,33.049325,35.852485
Quercus_infectoria,33.063041,35.82915
Quercus_infectoria,33.227833,35.756213
Quercus_infectoria,35.059334,32.326355
Quercus_infectoria,39.172163,26.50778
Quercus_infectoria,33.142049,35.777703
Quercus_infectoria,33.131622,35.798164
Quercus_infectoria,33.290574,35.765331
Quercus_infectoria,34.408144,36.150819
Quercus_infectoria,33.126721,35.773692
Quercus_infectoria,33.180713,35.771924
Quercus_infectoria,33.179133,35.768485
Quercus_infectoria,33.045576,35.848573
Quercus_infectoria,33.096938,35.795844
Quercus_infectoria,33.134578,35.744612
Quercus_infectoria,32.997634,35.415853
Quercus_infectoria,33.06309,35.844873
Quercus_infectoria,33.082582,35.833629
Quercus_infectoria,34.965424,33.006996
Quercus_infectoria,33.132796,35.791418
Quercus_infectoria,33.13564,35.780071
Quercus_infectoria,33.120458,35.78397
Quercus_infectoria,33.125695,35.788156
Quercus_infectoria,33.122243,35.790674
Quercus_infectoria,33.134565,35.77538
Quercus_infectoria,33.244947,35.771453
Quercus_infectoria,33.107772,35.766447
Quercus_infectoria,33.130368,35.76177
Quercus_infectoria,33.124065,35.777403
Quercus_infectoria,33.132083,35.763875
Quercus_infectoria,33.129909,35.777362
Quercus_infectoria,33.304271,35.781229
Quercus_infectoria,33.89907,35.73981
Quercus_infectoria,33.8605,35.57142
Quercus_infectoria,38.111667,43.133333
Quercus_infectoria,35.281944,46.379444
Quercus_infectoria,32.78,34.98
Quercus_infectoria,37.65222,31.95917
Quercus_infectoria,38.06,26.88
Quercus_infectoria,34.066944,35.811667
Quercus_infectoria,34.065833,35.811667
Quercus_infectoria,34.070556,35.81
Quercus_infectoria,34.066944,35.811111
Quercus_infectoria,34.938889,33.178611
Quercus_infectoria,34.91,32.621389
Quercus_infectoria,39.02944,26.58889
Quercus_infectoria,34.0,33.0
Quercus_infectoria,39.183033,46.424633
Quercus_infectoria,34.87,33.3
Quercus_infectoria,38.99056,46.17806
Quercus_infectoria,39.2,46.46
Quercus_infectoria,39.205,46.46139
Quercus_infectoria,39.205,46.461389
Quercus_infectoria,33.859817,35.558332
Quercus_infectoria,33.239329,35.680589
Quercus_infectoria,32.58,35.06
Quercus_infectoria,33.182081,35.540887
Quercus_infectoria,33.07614,35.220265
Quercus_infectoria,33.095059,35.268472
Quercus_infectoria,32.953439,35.341095
Quercus_infectoria,33.050143,35.846587
Quercus_infectoria,32.976023,35.29406
Quercus_infectoria,33.239085,35.740671
Quercus_infectoria,32.975125,35.28978
Quercus_infectoria,31.699996,35.080787
Quercus_infectoria,33.23394,35.675195
Quercus_infectoria,32.014776,35.13223
Quercus_infectoria,33.247544,35.653807
Quercus_infectoria,33.037559,35.839002
Quercus_infectoria,33.041155,35.841169
Quercus_infectoria,33.047488,35.836932
Quercus_infectoria,31.690068,35.072363
Quercus_infectoria,32.474679,35.124418
Quercus_infectoria,32.844362,35.314223
Quercus_infectoria,32.474685,35.135056
Quercus_infectoria,32.998423,35.412856
Quercus_infectoria,33.04084,35.388333
Quercus_infectoria,32.264047,34.832741
Quercus_infectoria,31.699971,35.056526
Quercus_infectoria,32.951533,35.414884
Quercus_infectoria,33.191272,35.746814
Quercus_infectoria,32.990328,35.401067
Quercus_infectoria,32.994001,35.352927
Quercus_infectoria,33.03719,35.416158
Quercus_infectoria,32.950644,35.407396
Quercus_infectoria,32.991239,35.39465
Quercus_infectoria,32.950723,35.350716
Quercus_infectoria,32.960555,35.411697
Quercus_infectoria,32.997556,35.391453
Quercus_infectoria,32.999332,35.408578
Quercus_infectoria,33.042642,35.389407
Quercus_infectoria,32.965947,35.422406
Quercus_infectoria,33.084254,35.182779
Quercus_infectoria,32.983121,35.396772
