Species,Latitude,Longitude
Quercus_inopina,27.000772,-80.098639
Quercus_inopina,26.998653,-80.097757
Quercus_inopina,27.556194,-81.422561
Quercus_inopina,27.183395,-81.349826
Quercus_inopina,27.182021,-81.350506
Quercus_inopina,27.183733,-81.351165
Quercus_inopina,27.506263,-81.497855
Quercus_inopina,27.545604,-81.5128
Quercus_inopina,27.69112,-81.416817
Quercus_inopina,27.219668,-81.381526
Quercus_inopina,27.36025,-81.347444
Quercus_inopina,27.226719,-80.256644
Quercus_inopina,27.595144,-82.235644
Quercus_inopina,27.184089,-81.351324
Quercus_inopina,27.181818,-81.353771
Quercus_inopina,27.128217,-81.328231
Quercus_inopina,27.324006,-81.421358
Quercus_inopina,27.68394,-81.498021
Quercus_inopina,27.430985,-81.463788
Quercus_inopina,27.118699,-81.359507
Quercus_inopina,27.216124,-81.383797
Quercus_inopina,27.689169,-81.425533
Quercus_inopina,27.299142,-81.420743
Quercus_inopina,27.696711,-81.537735
Quercus_inopina,27.689847,-81.424478
Quercus_inopina,27.1939,-81.358496
Quercus_inopina,27.399988,-82.105176
Quercus_inopina,27.933333,-81.55
Quercus_inopina,27.1812,-81.349965
Quercus_inopina,27.193933,-81.352959
Quercus_inopina,28.489217,-81.4814
Quercus_inopina,27.6975,-81.5386
Quercus_inopina,27.128034,-81.323507
Quercus_inopina,26.971432,-80.106544
Quercus_inopina,27.6972,-81.5378
Quercus_inopina,28.491653,-81.48029
Quercus_inopina,27.660456,-81.39221
Quercus_inopina,27.465705,-82.194447
Quercus_inopina,27.461441,-82.204275
Quercus_inopina,27.7647,-82.255
Quercus_inopina,27.652777,-81.264496
Quercus_inopina,27.83288,-81.46983
Quercus_inopina,27.6618,-81.5763
Quercus_inopina,27.27125,-80.24336
Quercus_inopina,27.223,-80.257
Quercus_inopina,27.2228,-80.2569
Quercus_inopina,27.2586,-80.2414
Quercus_inopina,27.2475,-80.2425
Quercus_inopina,27.651111,-81.271667
Quercus_inopina,27.6511,-81.2717
Quercus_inopina,28.281751,-81.532531
Quercus_inopina,28.5,-81.45
Quercus_inopina,27.741667,-81.528611
Quercus_inopina,27.595867,-81.506186
