Species,Latitude,Longitude
Quercus_insignis,19.197176,-96.979225
Quercus_insignis,19.183397,-96.952577
Quercus_insignis,10.305497,-84.815758
Quercus_insignis,10.317695,-84.803558
Quercus_insignis,10.309995,-84.807328
Quercus_insignis,10.310092,-84.807688
Quercus_insignis,10.30591,-84.808942
Quercus_insignis,10.234581,-84.425092
Quercus_insignis,9.440393,-83.744468
Quercus_insignis,13.75,-86.383333
Quercus_insignis,19.510467,-96.94345
Quercus_insignis,17.185695,-93.114344
Quercus_insignis,13.741722,-86.457917
Quercus_insignis,19.176389,-97.008333
Quercus_insignis,19.510056,-96.943536
Quercus_insignis,13.760278,-86.314111
Quercus_insignis,13.742222,-86.39
Quercus_insignis,8.7611,-82.2177
Quercus_insignis,8.7534,-82.2394
Quercus_insignis,18.569457,-96.980438
Quercus_insignis,10.323778,-84.768611
Quercus_insignis,19.86,-97.58
Quercus_insignis,9.110656,-83.089399
Quercus_insignis,9.110656,-83.0894
Quercus_insignis,9.876972,-84.000833
Quercus_insignis,9.877417,-83.995305
Quercus_insignis,14.0,-86.133333
Quercus_insignis,13.233333,-86.233333
Quercus_insignis,19.178158,-96.980069
Quercus_insignis,15.626889,-92.647361
Quercus_insignis,8.79,-82.96
Quercus_insignis,9.883245,-84.154632
Quercus_insignis,9.708333,-84.293056
Quercus_insignis,9.708333,-84.29306
Quercus_insignis,16.490556,-89.052222
Quercus_insignis,16.494722,-89.055556
Quercus_insignis,9.924839,-84.160536
Quercus_insignis,9.924839,-84.16054
Quercus_insignis,9.594444,-83.976389
Quercus_insignis,9.594444,-83.97639
Quercus_insignis,21.427222,-104.993611
Quercus_insignis,19.832778,-104.564722
Quercus_insignis,20.244444,-104.782778
Quercus_insignis,21.423056,-104.999444
Quercus_insignis,20.244444,-104.769167
Quercus_insignis,16.822778,-95.495
Quercus_insignis,9.70972,-84.22639
Quercus_insignis,9.709722,-84.226389
Quercus_insignis,9.709722,-84.22639
Quercus_insignis,19.169722,-96.975
Quercus_insignis,10.352318,-85.341398
Quercus_insignis,10.35,-85.333333
Quercus_insignis,9.025,-82.961112
Quercus_insignis,18.18075,-101.402694
Quercus_insignis,9.822222,-84.088889
Quercus_insignis,13.26666,-86.26666
Quercus_insignis,13.26667,-86.26667
Quercus_insignis,13.25,-86.31666
Quercus_insignis,12.98333,-86.28333
Quercus_insignis,16.388056,-89.091667
Quercus_insignis,13.283333,-85.666667
Quercus_insignis,9.719444,-84.373611
Quercus_insignis,17.569050284119353,-99.8786338176715
Quercus_insignis,13.03333,-85.91666
Quercus_insignis,9.055628,-83.031312
Quercus_insignis,9.723611,-84.378056
Quercus_insignis,9.840278,-84.107778
Quercus_insignis,9.02,-82.96
Quercus_insignis,9.71,-84.28
Quercus_insignis,9.700556,-84.226944
Quercus_insignis,9.715833,-84.283889
Quercus_insignis,9.025,-82.964722
Quercus_insignis,19.49722,-104.31722
Quercus_insignis,8.91,-82.8
Quercus_insignis,8.916667,-82.8
Quercus_insignis,9.870833,-84.097778
Quercus_insignis,9.816667,-83.908333
Quercus_insignis,10.3,-84.800008
Quercus_insignis,9.325,-83.761111
Quercus_insignis,9.33,-83.73
Quercus_insignis,10.3,-84.8
Quercus_insignis,9.830833,-84.089167
Quercus_insignis,10.316667,-84.816667
Quercus_insignis,14.685556,-87.949167
Quercus_insignis,10.316667,-84.819444
Quercus_insignis,10.31,-84.81
Quercus_insignis,8.52,-83.46
Quercus_insignis,8.516667,-83.466667
