Species,Latitude,Longitude
Quercus_jonesii,21.653337,-100.236375
Quercus_jonesii,21.937229,-100.555077
Quercus_jonesii,21.692404,-101.240623
Quercus_jonesii,28.133322,-108.249995
Quercus_jonesii,22.643905,-100.417283
Quercus_jonesii,20.605497,-103.536842
Quercus_jonesii,23.917576,-104.970853
Quercus_jonesii,21.545079,-100.362631
Quercus_jonesii,20.605186,-103.604068
Quercus_jonesii,25.361328,-100.212794
Quercus_jonesii,21.38436,-99.780075
Quercus_jonesii,21.200907,-103.037371
Quercus_jonesii,22.032211,-100.936019
Quercus_jonesii,21.945934,-100.572525
Quercus_jonesii,20.917019,-101.161736
Quercus_jonesii,23.867217,-105.002882
Quercus_jonesii,26.009126,-106.506168
Quercus_jonesii,21.530701,-100.435794
Quercus_jonesii,21.534503,-100.413841
Quercus_jonesii,21.920783,-100.324855
Quercus_jonesii,22.66383,-100.419312
Quercus_jonesii,20.610814,-103.548439
Quercus_jonesii,21.688057,-100.444221
Quercus_jonesii,24.042874,-99.712907
Quercus_jonesii,24.4136,-105.77393
Quercus_jonesii,27.4645,-106.98068
Quercus_jonesii,27.55179,-107.08569
Quercus_jonesii,27.68258,-107.24349
Quercus_jonesii,27.67913,-107.49394
Quercus_jonesii,27.47202,-107.27213
Quercus_jonesii,24.496472,-105.972027
Quercus_jonesii,25.2898,-105.15044
Quercus_jonesii,24.643639,-105.727778
Quercus_jonesii,25.43447,-106.75547
Quercus_jonesii,25.225525,-106.573484
Quercus_jonesii,23.837472,-105.114694
Quercus_jonesii,23.47991,-104.81166
Quercus_jonesii,26.663083,-106.495
Quercus_jonesii,22.042277,-103.860472
Quercus_jonesii,21.7818,-104.25077
Quercus_jonesii,26.437777,-107.847222
Quercus_jonesii,20.916111,-100.199444
Quercus_jonesii,20.946889,-100.170611
Quercus_jonesii,29.843653,-108.976694
Quercus_jonesii,21.303889,-100.170833
Quercus_jonesii,20.255556,-104.49725
Quercus_jonesii,21.535833,-100.406389
Quercus_jonesii,20.370444,-105.033389
Quercus_jonesii,26.96083,-107.47194
Quercus_jonesii,20.619167,-103.5125
Quercus_jonesii,25.361389,-100.191111
Quercus_jonesii,20.153611,-104.550278
Quercus_jonesii,25.338889,-100.271389
Quercus_jonesii,25.331944,-100.250833
Quercus_jonesii,25.174167,-100.123611
Quercus_jonesii,25.194167,-100.115278
Quercus_jonesii,25.183333,-100.1125
Quercus_jonesii,25.186667,-100.082778
Quercus_jonesii,25.84261,-107.59272
Quercus_jonesii,22.643978,-100.420378
Quercus_jonesii,25.308889,-100.251111
Quercus_jonesii,25.30889,-100.25111
Quercus_jonesii,21.685556,-102.766667
Quercus_jonesii,28.164444,-108.193611
Quercus_jonesii,29.158056,-108.400833
Quercus_jonesii,21.69667,-102.76667
Quercus_jonesii,27.6025,-107.820833
Quercus_jonesii,29.152222,-108.400833
Quercus_jonesii,21.68556,-102.76667
Quercus_jonesii,28.16444,-108.19361
Quercus_jonesii,27.235278,-107.940278
Quercus_jonesii,27.3,-107.541667
Quercus_jonesii,27.25,-107.583333
Quercus_jonesii,28.3667,-109.1
Quercus_jonesii,28.36667,-109.025
Quercus_jonesii,21.015,-101.255
Quercus_jonesii,27.077506,-105.633203
Quercus_jonesii,28.337778,-108.836389
Quercus_jonesii,21.16667,-101.20056
Quercus_jonesii,28.341667,-109.041667
Quercus_jonesii,28.37389,-109.02861
Quercus_jonesii,28.3825,-109.038889
Quercus_jonesii,28.377778,-109.043611
Quercus_jonesii,21.457735,-101.299393
Quercus_jonesii,28.328056,-109.043889
Quercus_jonesii,21.922222,-103.867778
Quercus_jonesii,23.93352,-104.99913
Quercus_jonesii,23.902778,-105.031389
Quercus_jonesii,23.877222,-105.016944
Quercus_jonesii,23.866944,-105.191667
Quercus_jonesii,28.386944,-109.018889
Quercus_jonesii,20.867128,-101.071278
Quercus_jonesii,28.558333,-108.643056
Quercus_jonesii,28.391667,-108.643056
Quercus_jonesii,28.4,-108.575
Quercus_jonesii,22.175,-101.258333
Quercus_jonesii,24.472222,-105.699722
Quercus_jonesii,23.703056,-104.737222
Quercus_jonesii,28.191667,-108.208333
Quercus_jonesii,21.579033,-104.92085
Quercus_jonesii,25.38,-100.223
Quercus_jonesii,25.4,-100.3
Quercus_jonesii,25.378611,-100.233061
Quercus_jonesii,22.72,-101.007222
Quercus_jonesii,21.931944,-99.996667
Quercus_jonesii,20.205482077892473,-104.1336817173793
Quercus_jonesii,21.648889,-102.7525
Quercus_jonesii,24.895,-106.118333
Quercus_jonesii,24.025,-104.655
Quercus_jonesii,24.958333,-105.825
Quercus_jonesii,23.925,-105.858333
Quercus_jonesii,23.891667,-105.058333
Quercus_jonesii,21.691667,-103.175
Quercus_jonesii,24.0258,-99.72498
Quercus_jonesii,20.331833,-104.624588
Quercus_jonesii,24.958333,-105.975
Quercus_jonesii,28.308333,-108.708333
Quercus_jonesii,28.116667,-108.283333
Quercus_jonesii,28.175,-108.291667
Quercus_jonesii,23.966667,-99.733333
Quercus_jonesii,29.685,-107.933333
Quercus_jonesii,24.43,-105.708333
Quercus_jonesii,23.291667,-105.541667
Quercus_jonesii,24.425,-105.708333
Quercus_jonesii,29.849167,-108.490833
Quercus_jonesii,29.195833,-108.144167
Quercus_jonesii,29.186667,-107.948889
Quercus_jonesii,25.34,-105.721667
Quercus_jonesii,25.175,-106.341667
Quercus_jonesii,25.058333,-106.208333
Quercus_jonesii,25.075,-104.941667
Quercus_jonesii,25.091667,-106.508333
Quercus_jonesii,25.625,-106.591667
Quercus_jonesii,25.208333,-106.575
Quercus_jonesii,25.055833,-104.946667
Quercus_jonesii,28.380556,-108.841667
Quercus_jonesii,28.3875,-109.039722
Quercus_jonesii,21.056667,-101.168333
Quercus_jonesii,21.39,-100.14
Quercus_jonesii,21.388333,-100.146667
Quercus_jonesii,21.501667,-100.440278
Quercus_jonesii,21.356944,-100.381389
Quercus_jonesii,28.375,-108.908333
Quercus_jonesii,28.366667,-108.9
Quercus_jonesii,28.36667,-108.9
Quercus_jonesii,28.191111,-108.261389
Quercus_jonesii,21.88,-103.827667
Quercus_jonesii,20.315278,-104.266667
Quercus_jonesii,25.245,-106.421667
Quercus_jonesii,25.191667,-106.475
Quercus_jonesii,25.228333,-106.418611
Quercus_jonesii,29.619722,-108.318333
Quercus_jonesii,25.045,-105.420278
Quercus_jonesii,25.325,-105.775
Quercus_jonesii,25.525,-106.458333
Quercus_jonesii,25.036389,-105.681944
Quercus_jonesii,29.686944,-108.273889
Quercus_jonesii,21.298611,-100.055556
Quercus_jonesii,28.758333,-107.841667
Quercus_jonesii,25.091667,-106.125
Quercus_jonesii,29.158889,-108.384444
Quercus_jonesii,25.218889,-106.518611
Quercus_jonesii,21.320556,-100.21
Quercus_jonesii,25.213333,-106.57
Quercus_jonesii,25.208333,-106.508333
Quercus_jonesii,25.125,-106.558333
Quercus_jonesii,29.6875,-108.273611
Quercus_jonesii,25.516667,-105.525
Quercus_jonesii,21.39,-104.088333
Quercus_jonesii,25.575,-106.408333
Quercus_jonesii,25.475,-106.608333
Quercus_jonesii,25.541667,-106.408333
Quercus_jonesii,25.358333,-106.458333
Quercus_jonesii,25.483225,-106.602953
Quercus_jonesii,21.405833,-104.043889
Quercus_jonesii,25.408333,-105.958333
Quercus_jonesii,25.008333,-106.008333
Quercus_jonesii,25.547834819774643,-106.33458976279955
Quercus_jonesii,25.225,-106.775
Quercus_jonesii,25.542222,-106.487222
Quercus_jonesii,28.375,-108.941667
Quercus_jonesii,29.175,-108.491667
Quercus_jonesii,28.408333,-108.591667
Quercus_jonesii,20.791667,-100.575
Quercus_jonesii,21.076114183098657,-101.29206559310637
Quercus_jonesii,25.486667,-106.54
Quercus_jonesii,25.198611,-106.831944
Quercus_jonesii,23.380278,-105.363333
Quercus_jonesii,20.900278,-103.531389
Quercus_jonesii,23.91694,-104.97222
Quercus_jonesii,25.183333,-100.116667
Quercus_jonesii,25.18333,-100.13333
Quercus_jonesii,20.356667,-104.016667
Quercus_jonesii,20.676667,-103.346667
Quercus_jonesii,20.716667,-103.55
Quercus_jonesii,21.555,-102.308333
Quercus_jonesii,20.05,-103.85
Quercus_jonesii,20.083333,-103.85
Quercus_jonesii,20.642222,-100.995278
Quercus_jonesii,20.801667,-101.06
Quercus_jonesii,28.191111,-108.405
Quercus_jonesii,28.187721207730924,-108.4063597471851
Quercus_jonesii,20.75,-101.0
Quercus_jonesii,21.18,-102.888333
Quercus_jonesii,25.805,-107.556667
Quercus_jonesii,25.888557,-107.531044
Quercus_jonesii,25.96,-107.391389
Quercus_jonesii,21.783333,-102.72
Quercus_jonesii,21.633333,-102.583333
Quercus_jonesii,28.418056,-108.918333
Quercus_jonesii,22.665561,-100.425
Quercus_jonesii,22.5,-100.433333
Quercus_jonesii,21.699722,-103.176389
Quercus_jonesii,27.364847962598176,-107.50669750102277
Quercus_jonesii,27.380310410203414,-107.50039844157081
Quercus_jonesii,28.199052037517472,-108.1483476961956
Quercus_jonesii,20.216667,-104.165
Quercus_jonesii,20.523333,-100.273333
Quercus_jonesii,20.732778,-103.568333
Quercus_jonesii,20.724722,-103.575556
Quercus_jonesii,20.741667,-103.408333
Quercus_jonesii,27.561211,-107.826847
Quercus_jonesii,21.308333,-102.841667
Quercus_jonesii,21.220442681969846,-103.00756153584484
Quercus_jonesii,28.433333,-108.916667
Quercus_jonesii,28.422472887315514,-108.97709772391379
Quercus_jonesii,28.22449840314128,-108.70762810908842
Quercus_jonesii,27.778056,-107.441944
Quercus_jonesii,20.299167,-103.875
Quercus_jonesii,28.400556,-108.785556
Quercus_jonesii,27.37435163413336,-107.50043040769482
Quercus_jonesii,28.282478503084597,-108.25187866612427
Quercus_jonesii,20.283333,-103.883333
Quercus_jonesii,28.399008,-108.670031
Quercus_jonesii,22.373333,-103.926667
Quercus_jonesii,22.247023551071948,-103.92008724736071
Quercus_jonesii,20.195,-103.289167
Quercus_jonesii,22.625941051130674,-104.15531242392098
Quercus_jonesii,22.391667,-103.741667
Quercus_jonesii,22.080556,-104.063333
Quercus_jonesii,22.708333,-100.475
Quercus_jonesii,28.306667,-108.811111
Quercus_jonesii,21.763333,-102.656667
Quercus_jonesii,23.726389,-103.204167
