Species,Latitude,Longitude
Quercus_kelloggii,38.361231,-122.606655
Quercus_kelloggii,40.799696,-122.319326
Quercus_kelloggii,37.409838,-122.270223
Quercus_kelloggii,32.857616,-116.424398
Quercus_kelloggii,40.42044,-120.675573
Quercus_kelloggii,34.173425,-116.867355
Quercus_kelloggii,38.486847,-122.719234
Quercus_kelloggii,41.286087,-122.328483
Quercus_kelloggii,38.038984,-122.551347
Quercus_kelloggii,38.440715,-122.694708
Quercus_kelloggii,41.15895,-122.305047
Quercus_kelloggii,39.518897,-121.449967
Quercus_kelloggii,38.486747,-122.719489
Quercus_kelloggii,38.126325,-122.5283
Quercus_kelloggii,32.983712,-116.57705
Quercus_kelloggii,38.482393,-122.679904
Quercus_kelloggii,39.356268,-120.890856
Quercus_kelloggii,38.546201,-122.537526
Quercus_kelloggii,37.328303,-121.721394
Quercus_kelloggii,37.171025,-121.729737
Quercus_kelloggii,38.00564,-122.494245
Quercus_kelloggii,38.119539,-122.563541
Quercus_kelloggii,41.150039,-122.298888
Quercus_kelloggii,40.054799,-120.964604
Quercus_kelloggii,39.907233,-121.542197
Quercus_kelloggii,38.079413,-122.57777
Quercus_kelloggii,36.759297,-121.505548
Quercus_kelloggii,38.495111,-122.709948
Quercus_kelloggii,38.482563,-122.716406
Quercus_kelloggii,34.234875,-116.926419
Quercus_kelloggii,38.066856,-122.527109
Quercus_kelloggii,39.011041,-121.193064
Quercus_kelloggii,39.195675,-123.161163
Quercus_kelloggii,32.85485,-116.431544
Quercus_kelloggii,38.436006,-122.509457
Quercus_kelloggii,34.692933,-118.535749
Quercus_kelloggii,35.513869,-118.558197
Quercus_kelloggii,38.448461,-122.642807
Quercus_kelloggii,40.639396,-123.9761
Quercus_kelloggii,38.356249,-122.51705
Quercus_kelloggii,38.358665,-122.516105
Quercus_kelloggii,38.487328,-122.722862
Quercus_kelloggii,43.974079,-123.114988
Quercus_kelloggii,37.172767,-121.773392
Quercus_kelloggii,38.400052,-122.605748
Quercus_kelloggii,38.597533,-122.569535
Quercus_kelloggii,40.887235,-123.024639
Quercus_kelloggii,38.305267,-122.424317
Quercus_kelloggii,37.82895,-122.033814
Quercus_kelloggii,37.925583,-122.172447
Quercus_kelloggii,38.106511,-122.654003
Quercus_kelloggii,38.68482,-120.984703
Quercus_kelloggii,37.828769,-122.033767
Quercus_kelloggii,38.404121,-122.695189
Quercus_kelloggii,38.276899,-122.238049
Quercus_kelloggii,38.3646,-122.386612
Quercus_kelloggii,38.30408,-122.459975
Quercus_kelloggii,32.885988,-116.434655
Quercus_kelloggii,38.010039,-122.490518
Quercus_kelloggii,38.126387,-122.528405
Quercus_kelloggii,39.200661,-120.968078
Quercus_kelloggii,34.234355,-117.251875
Quercus_kelloggii,37.321129,-121.663783
Quercus_kelloggii,38.007672,-122.693437
Quercus_kelloggii,38.581423,-122.421043
Quercus_kelloggii,37.346764,-121.706976
Quercus_kelloggii,39.648688,-121.55027
Quercus_kelloggii,39.369598,-122.99284
Quercus_kelloggii,38.36012,-122.521839
Quercus_kelloggii,37.747589,-119.587445
Quercus_kelloggii,43.986409,-123.082276
Quercus_kelloggii,38.063298,-122.556158
Quercus_kelloggii,38.356958,-122.518871
Quercus_kelloggii,44.021509,-123.049367
Quercus_kelloggii,32.960322,-116.598302
Quercus_kelloggii,40.218333,-123.815227
Quercus_kelloggii,33.104294,-116.5914
Quercus_kelloggii,40.853871,-123.486182
Quercus_kelloggii,38.356091,-122.518718
Quercus_kelloggii,38.239632,-122.13143
Quercus_kelloggii,38.120078,-122.56275
Quercus_kelloggii,38.574555,-122.691757
Quercus_kelloggii,38.1339,-122.605014
Quercus_kelloggii,39.283524,-121.028984
Quercus_kelloggii,37.365635,-121.701407
Quercus_kelloggii,37.190325,-121.835956
Quercus_kelloggii,37.172777,-121.773352
Quercus_kelloggii,37.380166,-121.705846
Quercus_kelloggii,37.745257,-119.577008
Quercus_kelloggii,38.404066,-122.694949
Quercus_kelloggii,38.40408,-122.694953
Quercus_kelloggii,37.921233,-122.181372
Quercus_kelloggii,37.954105,-122.262708
Quercus_kelloggii,39.810628,-121.643203
Quercus_kelloggii,38.398986,-122.538424
Quercus_kelloggii,39.297218,-121.184692
Quercus_kelloggii,38.962713,-121.166978
Quercus_kelloggii,38.725437,-123.045008
Quercus_kelloggii,38.722558,-123.039678
Quercus_kelloggii,39.159599,-123.230984
Quercus_kelloggii,39.196452,-123.160445
Quercus_kelloggii,34.242169,-116.950171
Quercus_kelloggii,38.41515,-122.613355
Quercus_kelloggii,34.231645,-116.927445
Quercus_kelloggii,39.844117,-121.700478
Quercus_kelloggii,39.290283,-121.107886
Quercus_kelloggii,37.81727,-122.03315
Quercus_kelloggii,38.428386,-122.608524
Quercus_kelloggii,37.998414,-122.206252
Quercus_kelloggii,37.921157,-122.185252
Quercus_kelloggii,37.201854,-121.87532
Quercus_kelloggii,37.926747,-122.143342
Quercus_kelloggii,40.005194,-121.632287
Quercus_kelloggii,37.528772,-121.82322
Quercus_kelloggii,32.850353,-116.437745
Quercus_kelloggii,38.355713,-122.550602
Quercus_kelloggii,38.725336,-120.859315
Quercus_kelloggii,39.949137,-121.661737
Quercus_kelloggii,38.691562,-123.029558
Quercus_kelloggii,39.241044,-121.064094
Quercus_kelloggii,37.99147,-122.198019
Quercus_kelloggii,39.23035,-121.088798
Quercus_kelloggii,39.211563,-121.036938
Quercus_kelloggii,38.116094,-122.599607
Quercus_kelloggii,39.020737,-123.09238
Quercus_kelloggii,37.829014,-122.0467
Quercus_kelloggii,39.799495,-121.731216
Quercus_kelloggii,39.221666,-121.086203
Quercus_kelloggii,39.039379,-123.382001
Quercus_kelloggii,37.393694,-121.610471
Quercus_kelloggii,38.003043,-122.469058
Quercus_kelloggii,38.007767,-122.50833
Quercus_kelloggii,34.349253,-117.645914
Quercus_kelloggii,38.49397,-122.900658
Quercus_kelloggii,32.858008,-116.44375
Quercus_kelloggii,33.070175,-116.601242
Quercus_kelloggii,37.657328,-121.917207
Quercus_kelloggii,38.57741,-121.342649
Quercus_kelloggii,38.023065,-122.521292
Quercus_kelloggii,38.417064,-122.954251
Quercus_kelloggii,38.362666,-122.530629
Quercus_kelloggii,40.012335,-121.276425
Quercus_kelloggii,33.632753,-116.569544
Quercus_kelloggii,38.421141,-122.878622
Quercus_kelloggii,33.069828,-116.601362
Quercus_kelloggii,39.032004,-123.070964
Quercus_kelloggii,44.127277,-123.309961
Quercus_kelloggii,38.874692,-122.418083
Quercus_kelloggii,40.026667,-121.29504
Quercus_kelloggii,33.632892,-116.569282
Quercus_kelloggii,33.610981,-116.633752
Quercus_kelloggii,44.003726,-123.125205
Quercus_kelloggii,39.053349,-123.40621
Quercus_kelloggii,37.190361,-121.836056
Quercus_kelloggii,38.396718,-122.514639
Quercus_kelloggii,38.410938,-122.053845
Quercus_kelloggii,37.117839,-119.304762
Quercus_kelloggii,37.087902,-119.329958
Quercus_kelloggii,32.980927,-116.530175
Quercus_kelloggii,38.342372,-122.595964
Quercus_kelloggii,38.060316,-120.297074
Quercus_kelloggii,39.773322,-123.29563
Quercus_kelloggii,33.758237,-116.721262
Quercus_kelloggii,42.377405,-123.804613
Quercus_kelloggii,37.921588,-122.172462
Quercus_kelloggii,38.320933,-122.590785
Quercus_kelloggii,38.416967,-122.9274
Quercus_kelloggii,44.043723,-123.139672
Quercus_kelloggii,38.116019,-122.60006
Quercus_kelloggii,37.982064,-122.582285
Quercus_kelloggii,37.964961,-122.536062
Quercus_kelloggii,33.214505,-116.742166
Quercus_kelloggii,37.076989,-119.421317
Quercus_kelloggii,38.8726,-122.417379
Quercus_kelloggii,33.050269,-116.569297
Quercus_kelloggii,32.888022,-116.427392
Quercus_kelloggii,32.89657,-116.481933
Quercus_kelloggii,36.018937,-118.510501
Quercus_kelloggii,33.742733,-116.698258
Quercus_kelloggii,38.350822,-122.588167
Quercus_kelloggii,34.143601,-116.976491
Quercus_kelloggii,38.734415,-122.758423
Quercus_kelloggii,33.050236,-116.569153
Quercus_kelloggii,37.190042,-121.841513
Quercus_kelloggii,37.441155,-119.650947
Quercus_kelloggii,32.894592,-116.561972
Quercus_kelloggii,35.627739,-118.078329
Quercus_kelloggii,34.294658,-116.882308
Quercus_kelloggii,35.627785,-118.078397
Quercus_kelloggii,37.926027,-121.707266
Quercus_kelloggii,42.257466,-122.89398
Quercus_kelloggii,35.633185,-118.072055
Quercus_kelloggii,38.547802,-122.5299
Quercus_kelloggii,34.162873,-116.911282
Quercus_kelloggii,37.395017,-122.25553
Quercus_kelloggii,33.138167,-116.586008
Quercus_kelloggii,38.500118,-122.634556
Quercus_kelloggii,39.595634,-123.454518
Quercus_kelloggii,34.156422,-116.90567
Quercus_kelloggii,32.985313,-116.576042
Quercus_kelloggii,38.322769,-120.214324
Quercus_kelloggii,38.966281,-120.993489
Quercus_kelloggii,33.108261,-116.59922
Quercus_kelloggii,35.911731,-118.431542
Quercus_kelloggii,34.038314,-116.94345
Quercus_kelloggii,34.142378,-116.976158
Quercus_kelloggii,34.243611,-116.974444
Quercus_kelloggii,34.226619,-116.866603
Quercus_kelloggii,34.160481,-116.935545
Quercus_kelloggii,34.165117,-116.911812
Quercus_kelloggii,33.6139,-116.627882
Quercus_kelloggii,33.737113,-116.706292
Quercus_kelloggii,33.756413,-116.693733
Quercus_kelloggii,40.819801,-122.163511
Quercus_kelloggii,34.240181,-116.929176
Quercus_kelloggii,33.310787,-116.855868
Quercus_kelloggii,33.706202,-116.629767
Quercus_kelloggii,33.799087,-116.748924
Quercus_kelloggii,34.59946,-119.74477
Quercus_kelloggii,34.245647,-117.066829
Quercus_kelloggii,37.931447,-122.136544
