Species,Latitude,Longitude
Quercus_laceyi,32.741522,-97.364185
Quercus_laceyi,25.383795,-100.906131
Quercus_laceyi,29.315058,-103.213958
Quercus_laceyi,25.629458,-100.249037
Quercus_laceyi,30.109014,-99.413558
Quercus_laceyi,30.108806,-99.413688
Quercus_laceyi,29.807755,-98.764192
Quercus_laceyi,30.049723,-99.40139
Quercus_laceyi,30.082415,-98.979166
Quercus_laceyi,30.110858,-99.416183
Quercus_laceyi,30.133133,-99.311452
Quercus_laceyi,29.64009,-99.193947
Quercus_laceyi,29.655824,-99.212695
Quercus_laceyi,29.650494,-100.069467
Quercus_laceyi,29.612639,-99.174859
Quercus_laceyi,29.828262,-99.576728
Quercus_laceyi,29.830464,-99.571585
Quercus_laceyi,30.300822,-98.245093
Quercus_laceyi,30.07737,-98.851325
Quercus_laceyi,30.085407,-98.966909
Quercus_laceyi,25.338198,-100.963658
Quercus_laceyi,25.353383,-100.172116
Quercus_laceyi,29.827892,-99.593117
Quercus_laceyi,23.621226,-99.211798
Quercus_laceyi,29.926117,-100.010497
Quercus_laceyi,29.929316,-100.01432
Quercus_laceyi,29.639486,-99.193197
Quercus_laceyi,25.438323,-100.973678
Quercus_laceyi,25.384587,-100.907735
Quercus_laceyi,25.398042,-100.906968
Quercus_laceyi,30.041558,-99.464188
Quercus_laceyi,29.580183,-98.848764
Quercus_laceyi,30.190779,-98.46846
Quercus_laceyi,29.868374,-99.976435
Quercus_laceyi,29.909472,-99.168373
Quercus_laceyi,25.562561,-100.278412
Quercus_laceyi,25.561642,-100.278412
Quercus_laceyi,25.617188,-100.353972
Quercus_laceyi,25.643671,-100.677311
Quercus_laceyi,29.866996,-99.978496
Quercus_laceyi,30.079468,-98.98576
Quercus_laceyi,29.82756,-99.583689
Quercus_laceyi,25.359803,-100.994325
Quercus_laceyi,25.710806,-100.412925
Quercus_laceyi,24.706918,-99.86199
Quercus_laceyi,30.065192,-99.47113
Quercus_laceyi,29.820364,-99.598317
Quercus_laceyi,29.636801,-99.194339
Quercus_laceyi,30.05664,-99.486025
Quercus_laceyi,29.74573,-99.923997
Quercus_laceyi,32.744642,-96.832058
Quercus_laceyi,25.606382,-100.348789
Quercus_laceyi,30.047187,-100.110873
Quercus_laceyi,29.827823,-99.567612
Quercus_laceyi,29.585243,-99.734375
Quercus_laceyi,29.871356,-99.975482
Quercus_laceyi,24.879914,-100.192566
Quercus_laceyi,29.574697,-98.689522
Quercus_laceyi,29.753907,-99.932829
Quercus_laceyi,25.387068,-100.904533
Quercus_laceyi,25.352522,-100.971545
Quercus_laceyi,29.833872,-99.782
Quercus_laceyi,25.633221,-100.206299
Quercus_laceyi,30.042636,-99.17985
Quercus_laceyi,29.840551,-98.4105
Quercus_laceyi,30.0777,-98.98757
Quercus_laceyi,25.600117,-100.343864
Quercus_laceyi,25.620186,-100.359898
Quercus_laceyi,25.366845,-100.96607
Quercus_laceyi,25.356705,-100.969338
Quercus_laceyi,25.356508,-100.969307
Quercus_laceyi,25.620539,-100.359703
Quercus_laceyi,25.359013,-100.929129
Quercus_laceyi,25.36269,-100.939697
Quercus_laceyi,29.53947,-99.60389
Quercus_laceyi,29.84982,-100.11316
Quercus_laceyi,29.76402,-99.83638
Quercus_laceyi,25.607692,-100.354265
Quercus_laceyi,29.576852,-98.76769
Quercus_laceyi,29.821625,-99.389708
Quercus_laceyi,29.804305,-98.377762
Quercus_laceyi,24.253692,-99.927438
Quercus_laceyi,30.257704,-97.750159
Quercus_laceyi,29.826785,-99.582546
Quercus_laceyi,30.57042,-99.45442
Quercus_laceyi,29.71994,-99.986572
Quercus_laceyi,25.398058,-100.882717
Quercus_laceyi,25.395888,-100.881835
Quercus_laceyi,29.841525,-99.660597
Quercus_laceyi,25.633171,-100.206215
Quercus_laceyi,30.078547,-99.458732
Quercus_laceyi,30.57813,-99.644581
Quercus_laceyi,25.616689,-100.278453
Quercus_laceyi,25.366948,-100.966072
Quercus_laceyi,25.33426,-100.98062
Quercus_laceyi,25.541,-100.271895
Quercus_laceyi,25.619165,-100.359802
Quercus_laceyi,30.063803,-99.508797
Quercus_laceyi,28.85275,-101.8018
Quercus_laceyi,24.078666,-99.678194
Quercus_laceyi,25.633537,-100.206234
Quercus_laceyi,30.589697,-100.672028
Quercus_laceyi,30.315,-97.730555
Quercus_laceyi,25.90139,-101.49917
Quercus_laceyi,25.294992,-101.031647
Quercus_laceyi,30.42543,-99.80075
Quercus_laceyi,29.091667,-101.875
Quercus_laceyi,27.09389,-100.89889
Quercus_laceyi,25.98917,-101.46944
Quercus_laceyi,27.918056,-101.838889
Quercus_laceyi,30.09681,-98.64256
Quercus_laceyi,25.381944,-100.24
Quercus_laceyi,25.365278,-100.948333
Quercus_laceyi,29.56667,-98.7675
Quercus_laceyi,28.25,-102.98333
Quercus_laceyi,24.48,-99.68
Quercus_laceyi,25.115833,-99.946667
Quercus_laceyi,25.249722,-101.631111
Quercus_laceyi,25.24972,-101.63111
Quercus_laceyi,25.4306,-101.058
Quercus_laceyi,29.77733,-99.408
Quercus_laceyi,26.641667,-100.291667
Quercus_laceyi,26.6333,-100.283
Quercus_laceyi,25.3525,-100.984444
Quercus_laceyi,25.4667,-101.047
Quercus_laceyi,25.365278,-100.949444
Quercus_laceyi,29.77667,-99.41167
Quercus_laceyi,25.358056,-100.949167
Quercus_laceyi,25.386389,-100.863611
Quercus_laceyi,25.38417,-100.865
Quercus_laceyi,25.3575,-100.923056
Quercus_laceyi,25.357222,-100.927222
Quercus_laceyi,25.356389,-100.973889
Quercus_laceyi,25.358056,-100.927222
Quercus_laceyi,25.35722,-100.92722
Quercus_laceyi,25.3575,-100.92306
Quercus_laceyi,28.278056,-102.045
Quercus_laceyi,28.27806,-102.045
Quercus_laceyi,29.73333,-99.65
Quercus_laceyi,23.708333,-99.258333
Quercus_laceyi,30.02472,-97.94111
Quercus_laceyi,30.02639,-97.94111
Quercus_laceyi,26.840278,-100.663889
Quercus_laceyi,24.583333,-99.975
Quercus_laceyi,29.0164,-102.675
Quercus_laceyi,27.0303,-99.8458
Quercus_laceyi,25.65024,-100.632585
Quercus_laceyi,25.650833,-100.6325
Quercus_laceyi,30.49167,-99.18333
Quercus_laceyi,25.201667,-101.556667
Quercus_laceyi,25.15,-101.566667
Quercus_laceyi,25.266667,-101.616667
Quercus_laceyi,25.15,-101.56667
Quercus_laceyi,25.343333,-100.915
Quercus_laceyi,26.336667,-101.245
Quercus_laceyi,26.166667,-101.3
Quercus_laceyi,29.0,-102.333333
Quercus_laceyi,27.675,-102.841667
Quercus_laceyi,27.666667,-102.833333
Quercus_laceyi,28.51111,-102.325
Quercus_laceyi,28.793333,-102.42
Quercus_laceyi,25.166667,-100.25
Quercus_laceyi,25.1667,-100.25
Quercus_laceyi,25.16667,-100.25
Quercus_laceyi,25.230839,-100.142919
Quercus_laceyi,25.231750978418486,-100.08866572617856
Quercus_laceyi,26.35,-100.466667
Quercus_laceyi,26.55,-100.55
Quercus_laceyi,26.333333,-100.466667
Quercus_laceyi,26.35,-100.45
Quercus_laceyi,25.18333,-100.13333
Quercus_laceyi,26.33333,-100.46667
Quercus_laceyi,24.258935,-99.95434
Quercus_laceyi,23.033611,-99.084444
Quercus_laceyi,23.708333,-99.241667
Quercus_laceyi,23.736667,-99.151667
Quercus_laceyi,23.631806681904582,-99.20733486539822
Quercus_laceyi,24.075,-99.158333
Quercus_laceyi,26.534478498778707,-100.50266452808232
Quercus_laceyi,24.73205,-99.867369
Quercus_laceyi,25.3,-102.81
Quercus_laceyi,25.343333,-100.998333
Quercus_laceyi,24.79,-99.64
Quercus_laceyi,24.883011,-100.190583
Quercus_laceyi,24.751400876025617,-99.94013209812145
Quercus_laceyi,24.859167,-99.672778
Quercus_laceyi,24.88333,-100.16667
Quercus_laceyi,24.777781,-100.032219
Quercus_laceyi,24.186111,-99.884722
Quercus_laceyi,25.408333,-100.225
Quercus_laceyi,25.416389,-100.250833
Quercus_laceyi,29.025,-102.125
Quercus_laceyi,27.047222,-102.427778
Quercus_laceyi,28.9,-102.55
Quercus_laceyi,28.166667,-103.0
Quercus_laceyi,27.04722,-102.42778
Quercus_laceyi,28.16667,-103.0
Quercus_laceyi,26.79668542863098,-101.32990491139007
Quercus_laceyi,23.69514669387237,-99.60124060131014
Quercus_laceyi,26.82083,-101.28333
Quercus_laceyi,28.55829000225892,-102.05965143990097
Quercus_laceyi,28.46667,-102.075
Quercus_laceyi,27.113056,-102.495833
Quercus_laceyi,27.2306,-102.608
Quercus_laceyi,27.11306,-102.49583
Quercus_laceyi,29.033333,-102.533333
Quercus_laceyi,29.025,-102.525
Quercus_laceyi,29.183333,-102.8
Quercus_laceyi,27.128611,-102.416667
Quercus_laceyi,29.183333,-102.783333
Quercus_laceyi,29.18333,-102.78333
Quercus_laceyi,29.18333,-102.8
Quercus_laceyi,27.12861,-102.41667
Quercus_laceyi,27.091667,-102.416667
Quercus_laceyi,27.09167,-102.41667
Quercus_laceyi,29.191667,-102.75
Quercus_laceyi,29.1,-102.616667
Quercus_laceyi,29.07661639695145,-102.66552406750156
Quercus_laceyi,29.1,-102.61667
Quercus_laceyi,29.19167,-102.75
Quercus_laceyi,27.209653,-102.290492
Quercus_laceyi,27.08333,-102.41667
Quercus_laceyi,27.066667,-102.416667
Quercus_laceyi,27.06667,-102.41667
Quercus_laceyi,25.67,-100.3
Quercus_laceyi,24.75,-99.82
Quercus_laceyi,28.733333,-102.516667
Quercus_laceyi,28.73333,-102.51667
Quercus_laceyi,24.033333,-99.966667
Quercus_laceyi,24.03333,-99.96667
Quercus_laceyi,26.989969,-102.163861
Quercus_laceyi,24.591667,-99.991667
Quercus_laceyi,26.797872,-102.033119
Quercus_laceyi,26.605556,-101.916667
Quercus_laceyi,26.5,-101.833333
Quercus_laceyi,26.60556,-101.91667
Quercus_laceyi,29.589425,-99.739157
Quercus_laceyi,28.941667,-101.541667
Quercus_laceyi,27.16,-102.55
Quercus_laceyi,26.854167,-101.351667
Quercus_laceyi,26.85417,-101.35167
Quercus_laceyi,28.310833,-101.855
Quercus_laceyi,28.31083,-101.855
Quercus_laceyi,29.177055,-101.968395
Quercus_laceyi,28.15111,-101.75306
Quercus_laceyi,24.5825,-99.963061
Quercus_laceyi,24.575,-99.971667
Quercus_laceyi,24.686094,-100.136206
Quercus_laceyi,24.791117,-99.900747
Quercus_laceyi,25.403333,-100.131944
Quercus_laceyi,25.40434693738448,-100.13200851771076
Quercus_laceyi,25.716667,-100.283333
Quercus_laceyi,25.338206,-100.974678
Quercus_laceyi,25.33333,-100.98333
Quercus_laceyi,30.05,-99.3
