Species,Latitude,Longitude
Quercus_laeta,23.075062,-104.577384
Quercus_laeta,20.663676,-104.026891
Quercus_laeta,22.124388,-100.718554
Quercus_laeta,19.631912,-101.21823
Quercus_laeta,19.638536,-101.220851
Quercus_laeta,19.66063,-101.130028
Quercus_laeta,25.603865,-100.353572
Quercus_laeta,22.215666,-103.659264
Quercus_laeta,25.390789,-100.189256
Quercus_laeta,25.342774,-100.224415
Quercus_laeta,25.863182,-100.493621
Quercus_laeta,24.238232,-99.947289
Quercus_laeta,25.869571,-100.501784
Quercus_laeta,21.879444,-100.353889
Quercus_laeta,18.99,-98.19
Quercus_laeta,25.884165,-100.499567
Quercus_laeta,19.077522,-98.355039
Quercus_laeta,19.080683,-98.345231
Quercus_laeta,21.17579,-99.82984
Quercus_laeta,23.789549,-105.262647
Quercus_laeta,23.44325,-104.31914
Quercus_laeta,19.90241,-104.40244
Quercus_laeta,20.74713,-98.67944
Quercus_laeta,19.96641,-101.67095
Quercus_laeta,23.07379,-104.70525
Quercus_laeta,23.17235,-104.2162
Quercus_laeta,21.044136,-100.170263
Quercus_laeta,21.044136,-100.170264
Quercus_laeta,23.43856,-104.61429
Quercus_laeta,23.87154,-105.65966
Quercus_laeta,21.89716,-104.486
Quercus_laeta,23.65236,-105.308528
Quercus_laeta,23.03155,-104.50819
Quercus_laeta,26.40861,-105.83213
Quercus_laeta,22.310777,-104.153194
Quercus_laeta,22.717361,-104.029999
Quercus_laeta,19.971028,-100.099667
Quercus_laeta,19.966945,-100.103444
Quercus_laeta,23.47447,-105.15761
Quercus_laeta,24.76497,-106.27955
Quercus_laeta,23.296167,-105.103694
Quercus_laeta,23.42588,-105.155
Quercus_laeta,25.52758,-106.55633
Quercus_laeta,19.462083,-100.290194
Quercus_laeta,20.790833,-98.818055
Quercus_laeta,18.976172,-99.248658
Quercus_laeta,20.158611,-98.6625
Quercus_laeta,20.721944,-98.833889
Quercus_laeta,20.998611,-103.796388
Quercus_laeta,19.829972,-102.245527
Quercus_laeta,24.171944,-99.879166
Quercus_laeta,20.313333,-100.236389
Quercus_laeta,20.370139,-100.108694
Quercus_laeta,23.577777,-99.593055
Quercus_laeta,17.993611,-96.867555
Quercus_laeta,17.023722,-96.918167
Quercus_laeta,22.748333,-103.085
Quercus_laeta,22.749444,-103.086111
Quercus_laeta,22.747778,-103.085833
Quercus_laeta,20.668333,-99.137222
Quercus_laeta,20.038333,-99.445278
Quercus_laeta,20.824722,-99.256111
Quercus_laeta,20.723056,-98.846667
Quercus_laeta,20.789167,-99.323889
Quercus_laeta,20.960278,-99.203889
Quercus_laeta,20.689167,-99.135833
Quercus_laeta,20.841667,-99.256389
Quercus_laeta,22.757222,-103.066944
Quercus_laeta,22.749722,-103.087222
Quercus_laeta,22.75,-103.085278
Quercus_laeta,20.985833,-101.2525
Quercus_laeta,21.345,-100.178333
Quercus_laeta,21.30475,-100.395139
Quercus_laeta,21.303889,-100.170833
Quercus_laeta,20.827778,-99.256389
Quercus_laeta,20.233889,-100.088889
Quercus_laeta,19.649167,-101.373333
Quercus_laeta,22.175,-100.591667
Quercus_laeta,21.607778,-100.226944
Quercus_laeta,20.701944,-102.010555
Quercus_laeta,16.668017,-94.248516
Quercus_laeta,19.016564,-99.137658
Quercus_laeta,21.799167,-102.65
Quercus_laeta,17.906409,-96.925186
Quercus_laeta,20.81835,-100.75305
Quercus_laeta,20.818333,-100.751944
Quercus_laeta,17.808722,-96.900361
Quercus_laeta,21.897778,-100.58575
Quercus_laeta,21.969628,-100.584894
Quercus_laeta,23.944722,-99.79
Quercus_laeta,23.935278,-99.7325
Quercus_laeta,24.179444,-99.909444
Quercus_laeta,20.94525,-99.340805
Quercus_laeta,16.695805,-95.497222
Quercus_laeta,21.286036,-99.715683
Quercus_laeta,24.530833,-98.959444
Quercus_laeta,21.435833,-99.689167
Quercus_laeta,24.71056,-99.78056
Quercus_laeta,25.3575,-100.92722
Quercus_laeta,25.60639,-100.3525
Quercus_laeta,20.144722,-102.022778
Quercus_laeta,20.275,-98.675
Quercus_laeta,25.338889,-100.271389
Quercus_laeta,25.182222,-100.128889
Quercus_laeta,25.174167,-100.123611
Quercus_laeta,19.983611,-100.1466
Quercus_laeta,20.001667,-100.149167
Quercus_laeta,19.9767,-100.1534
Quercus_laeta,19.996111,-100.158055
Quercus_laeta,25.339167,-100.258611
Quercus_laeta,25.365278,-100.948333
