Species,Latitude,Longitude
Quercus_lancifolia,14.540252,-87.940512
Quercus_lancifolia,16.835787,-93.076861
Quercus_lancifolia,16.705657,-92.614613
Quercus_lancifolia,13.75,-86.383333
Quercus_lancifolia,13.935,-88.08964
Quercus_lancifolia,19.96427,-97.39806
Quercus_lancifolia,19.9643,-97.3981
Quercus_lancifolia,20.089368,-97.47607
Quercus_lancifolia,19.99463,-97.5104
Quercus_lancifolia,20.0894,-97.4761
Quercus_lancifolia,19.9946,-97.5104
Quercus_lancifolia,8.5064,-80.8447
Quercus_lancifolia,19.96466,-97.41673
Quercus_lancifolia,19.9647,-97.4167
Quercus_lancifolia,19.516667,-97.053055
Quercus_lancifolia,20.01161,-97.60627
Quercus_lancifolia,20.00596,-97.60162
Quercus_lancifolia,20.0116,-97.6063
Quercus_lancifolia,20.006,-97.6016
Quercus_lancifolia,10.981889,-85.427361
Quercus_lancifolia,15.663733,-92.893989
Quercus_lancifolia,19.89538,-97.35833
Quercus_lancifolia,19.9894,-97.5115
Quercus_lancifolia,19.9907,-97.5124
Quercus_lancifolia,19.99068,-97.51242
Quercus_lancifolia,19.98942,-97.51152
Quercus_lancifolia,19.9216,-97.7215
Quercus_lancifolia,19.92156,-97.7215
Quercus_lancifolia,15.17406,-92.329574
Quercus_lancifolia,17.828389,-96.788417
Quercus_lancifolia,10.119736,-84.233672
Quercus_lancifolia,15.099667,-92.137694
Quercus_lancifolia,19.9301,-97.5403
Quercus_lancifolia,19.93008,-97.54033
Quercus_lancifolia,10.955556,-85.489167
Quercus_lancifolia,15.094222,-92.171861
Quercus_lancifolia,16.973751,-93.549657
Quercus_lancifolia,18.165639,-96.889555
Quercus_lancifolia,18.123222,-96.937055
Quercus_lancifolia,16.882834,-92.45694
Quercus_lancifolia,15.251333,-92.299861
Quercus_lancifolia,13.760306,-86.401806
Quercus_lancifolia,20.618611,-98.6025
Quercus_lancifolia,15.092444,-92.092305
Quercus_lancifolia,15.08625,-92.098694
Quercus_lancifolia,10.960167,-85.484861
Quercus_lancifolia,20.630556,-98.615833
Quercus_lancifolia,20.318333,-98.218611
Quercus_lancifolia,15.08425,-92.102722
Quercus_lancifolia,16.145424,-93.596842
Quercus_lancifolia,13.746667,-86.394722
Quercus_lancifolia,16.528889,-88.933611
Quercus_lancifolia,20.416667,-98.333333
Quercus_lancifolia,20.433333,-98.166667
Quercus_lancifolia,20.441111,-98.1875
Quercus_lancifolia,20.403611,-98.280555
Quercus_lancifolia,20.428611,-98.277778
Quercus_lancifolia,11.004,-85.468
Quercus_lancifolia,11.0,-85.47
Quercus_lancifolia,9.359722,-83.595555
Quercus_lancifolia,20.0219,-97.5508
Quercus_lancifolia,13.66667,-89.25
Quercus_lancifolia,20.01,-97.51
Quercus_lancifolia,19.875,-97.211944
Quercus_lancifolia,20.315278,-98.239722
Quercus_lancifolia,21.011944,-98.663333
Quercus_lancifolia,19.491667,-97.04
Quercus_lancifolia,19.490278,-97.043611
Quercus_lancifolia,20.219194,-99.637555
Quercus_lancifolia,20.242778,-98.73325
Quercus_lancifolia,17.488417,-96.377528
Quercus_lancifolia,10.141917,-84.247222
Quercus_lancifolia,15.722778,-92.943611
Quercus_lancifolia,19.864722,-97.318055
Quercus_lancifolia,19.466667,-97.05
Quercus_lancifolia,15.459333,-92.657611
Quercus_lancifolia,20.360028,-98.393528
Quercus_lancifolia,20.271694,-98.283722
Quercus_lancifolia,20.634806,-98.600694
Quercus_lancifolia,20.790278,-98.7025
Quercus_lancifolia,15.3,-90.28333
Quercus_lancifolia,16.495,-89.039167
Quercus_lancifolia,17.690278,-96.551944
Quercus_lancifolia,17.690278,-96.551667
Quercus_lancifolia,8.906347,-82.773807
