Species,Latitude,Longitude
Quercus_laurifolia,29.563034,-82.117128
Quercus_laurifolia,26.073953,-80.277717
Quercus_laurifolia,30.231971,-83.909356
Quercus_laurifolia,27.2768,-82.266132
Quercus_laurifolia,26.311422,-81.731121
Quercus_laurifolia,26.70912,-81.545738
Quercus_laurifolia,27.289398,-82.3893
Quercus_laurifolia,26.451225,-81.623841
Quercus_laurifolia,27.296526,-82.465684
Quercus_laurifolia,26.489845,-80.165511
Quercus_laurifolia,27.219891,-80.255266
Quercus_laurifolia,26.161017,-81.346253
Quercus_laurifolia,27.297513,-82.468494
Quercus_laurifolia,29.632991,-82.369527
Quercus_laurifolia,28.738208,-81.027911
Quercus_laurifolia,29.811181,-81.514764
Quercus_laurifolia,27.989388,-82.722229
Quercus_laurifolia,25.943237,-81.469995
Quercus_laurifolia,27.827495,-81.596827
Quercus_laurifolia,28.406834,-81.440618
Quercus_laurifolia,30.456742,-84.975058
Quercus_laurifolia,30.249287,-94.171745
Quercus_laurifolia,27.241698,-82.309181
Quercus_laurifolia,30.187471,-81.71571
Quercus_laurifolia,27.225905,-82.278122
Quercus_laurifolia,26.66746,-81.737916
Quercus_laurifolia,27.911132,-82.771954
Quercus_laurifolia,28.254127,-82.642931
Quercus_laurifolia,29.496908,-81.48475
Quercus_laurifolia,28.097898,-81.728784
Quercus_laurifolia,29.678092,-81.747231
Quercus_laurifolia,27.62862,-82.379412
Quercus_laurifolia,28.377703,-81.508981
Quercus_laurifolia,26.324146,-80.998938
Quercus_laurifolia,27.419046,-80.323947
Quercus_laurifolia,26.141575,-81.584962
Quercus_laurifolia,30.635425,-88.595756
Quercus_laurifolia,30.191172,-81.562767
Quercus_laurifolia,29.692153,-81.450119
Quercus_laurifolia,30.568383,-88.620086
Quercus_laurifolia,27.748895,-80.528475
Quercus_laurifolia,33.665035,-87.244134
Quercus_laurifolia,30.400619,-88.755714
Quercus_laurifolia,29.730285,-82.38083
Quercus_laurifolia,33.869191,-84.530549
Quercus_laurifolia,29.764444,-95.451808
Quercus_laurifolia,29.629454,-82.348475
Quercus_laurifolia,29.639594,-82.404672
Quercus_laurifolia,26.383647,-80.001284
Quercus_laurifolia,27.815508,-81.484055
Quercus_laurifolia,27.769695,-80.505172
Quercus_laurifolia,30.816497,-88.733253
Quercus_laurifolia,29.863216,-82.605598
Quercus_laurifolia,26.212813,-81.79708
Quercus_laurifolia,28.0518,-82.697271
Quercus_laurifolia,35.401808,-78.284325
Quercus_laurifolia,27.9474,-82.294647
Quercus_laurifolia,34.250053,-77.84056
Quercus_laurifolia,26.182318,-80.916496
Quercus_laurifolia,26.89656,-80.115374
Quercus_laurifolia,26.49226,-81.534039
Quercus_laurifolia,27.222761,-80.260367
Quercus_laurifolia,30.245917,-87.827011
Quercus_laurifolia,26.570541,-81.826563
Quercus_laurifolia,28.633303,-81.451947
Quercus_laurifolia,30.567592,-88.626861
Quercus_laurifolia,30.085756,-81.796242
Quercus_laurifolia,27.697674,-81.560163
Quercus_laurifolia,30.273824,-85.901326
Quercus_laurifolia,28.008208,-82.739113
Quercus_laurifolia,27.751264,-81.850811
Quercus_laurifolia,25.976667,-80.253913
Quercus_laurifolia,27.419499,-80.356266
Quercus_laurifolia,25.974928,-80.249938
Quercus_laurifolia,27.299656,-82.507118
Quercus_laurifolia,26.712344,-81.810953
Quercus_laurifolia,26.711451,-81.791679
Quercus_laurifolia,28.034752,-81.513749
Quercus_laurifolia,28.013881,-81.747292
Quercus_laurifolia,27.13545,-82.434873
Quercus_laurifolia,36.141491,-76.666945
Quercus_laurifolia,36.13988,-76.664325
Quercus_laurifolia,25.976892,-80.248025
Quercus_laurifolia,29.12512,-81.500523
Quercus_laurifolia,29.649363,-82.360893
