Species,Latitude,Longitude
Quercus_liebmanii,16.805301,-96.606846
Quercus_liebmanii,17.555481,-97.382202
Quercus_liebmanii,17.218485,-96.582588
Quercus_liebmanii,17.341386,-96.500984
Quercus_liebmanii,17.200895,-96.590752
Quercus_liebmanii,19.0,-98.19
Quercus_liebmanii,17.320167,-96.572333
Quercus_liebmanii,16.461416,-96.210277
Quercus_liebmanii,16.54025,-96.926111
Quercus_liebmanii,18.754444,-97.322778
Quercus_liebmanii,16.823361,-96.241333
Quercus_liebmanii,18.585,-99.614444
Quercus_liebmanii,17.609637,-97.963321
Quercus_liebmanii,17.715504,-97.914866
Quercus_liebmanii,16.639555,-96.413889
Quercus_liebmanii,17.726111,-97.938055
Quercus_liebmanii,16.88056,-97.63778
Quercus_liebmanii,16.636667,-96.930167
Quercus_liebmanii,16.70275,-97.42683
Quercus_liebmanii,17.593694,-97.079917
Quercus_liebmanii,17.937778,-97.286667
Quercus_liebmanii,17.83925,-96.909278
Quercus_liebmanii,17.831667,-97.164444
Quercus_liebmanii,17.694722,-97.094167
Quercus_liebmanii,17.778611,-97.094444
Quercus_liebmanii,17.358333,-96.935861
Quercus_liebmanii,17.7775,-97.104722
Quercus_liebmanii,17.778056,-97.099722
Quercus_liebmanii,17.934361,-97.295528
Quercus_liebmanii,17.936,-97.296389
Quercus_liebmanii,17.5625,-96.946389
Quercus_liebmanii,17.556111,-96.946111
Quercus_liebmanii,17.943306,-97.279972
Quercus_liebmanii,17.511944,-96.916667
Quercus_liebmanii,17.504722,-96.935
Quercus_liebmanii,17.687778,-100.085556
Quercus_liebmanii,17.7875,-99.858889
Quercus_liebmanii,17.734444,-100.038889
Quercus_liebmanii,18.1625,-101.570833
Quercus_liebmanii,18.13,-101.479722
Quercus_liebmanii,18.138333,-101.451667
Quercus_liebmanii,18.363056,-101.601111
Quercus_liebmanii,18.424722,-101.624444
Quercus_liebmanii,18.505,-99.557222
Quercus_liebmanii,18.517222,-99.553889
Quercus_liebmanii,17.641389,-99.626111
Quercus_liebmanii,18.563333,-99.585278
Quercus_liebmanii,17.539722,-99.764444
Quercus_liebmanii,17.713333,-98.933333
Quercus_liebmanii,17.91667,-99.0
Quercus_liebmanii,17.781389,-99.072222
Quercus_liebmanii,18.622778,-99.778889
Quercus_liebmanii,18.495833,-99.710278
Quercus_liebmanii,17.6775,-99.777222
Quercus_liebmanii,18.492222,-99.517778
Quercus_liebmanii,17.6925,-99.720556
Quercus_liebmanii,17.630278,-99.774444
Quercus_liebmanii,17.705833,-99.793889
Quercus_liebmanii,17.650833,-99.764444
Quercus_liebmanii,17.625556,-99.766111
Quercus_liebmanii,17.696389,-99.870278
Quercus_liebmanii,17.705556,-99.823056
Quercus_liebmanii,17.724722,-99.752778
Quercus_liebmanii,17.641667,-99.994444
Quercus_liebmanii,17.787222,-99.859444
Quercus_liebmanii,18.788333,-98.2025
Quercus_liebmanii,18.934167,-98.118611
Quercus_liebmanii,17.454167,-98.005833
Quercus_liebmanii,17.757811,-99.249128
Quercus_liebmanii,17.644444,-99.613889
Quercus_liebmanii,17.538889,-99.919444
Quercus_liebmanii,18.531944,-99.729167
Quercus_liebmanii,17.589722,-99.288889
Quercus_liebmanii,17.59014505432235,-99.28843106030214
Quercus_liebmanii,18.525,-99.741667
Quercus_liebmanii,16.909722,-96.256944
Quercus_liebmanii,17.265833,-96.435556
Quercus_liebmanii,17.3,-96.545556
Quercus_liebmanii,18.524722,-99.744167
Quercus_liebmanii,18.508333,-99.548889
Quercus_liebmanii,17.635,-99.768056
Quercus_liebmanii,17.636667,-99.769167
Quercus_liebmanii,17.641667,-99.626111
Quercus_liebmanii,17.730278,-99.741944
Quercus_liebmanii,17.729444,-99.741389
Quercus_liebmanii,17.556667,-99.685556
Quercus_liebmanii,17.563056,-99.458611
Quercus_liebmanii,18.563333,-99.737778
Quercus_liebmanii,17.58944,-99.28833
Quercus_liebmanii,17.853889,-99.752222
Quercus_liebmanii,17.834722,-99.737222
Quercus_liebmanii,17.845,-99.764167
Quercus_liebmanii,17.904722,-99.701944
Quercus_liebmanii,17.066667,-96.2
Quercus_liebmanii,17.43,-98.471944
Quercus_liebmanii,18.511986327872453,-99.74964496899568
Quercus_liebmanii,17.582778,-99.557222
Quercus_liebmanii,16.900278,-96.256944
Quercus_liebmanii,17.558611,-99.620556
Quercus_liebmanii,17.558333,-99.685556
Quercus_liebmanii,19.033333,-98.069444
Quercus_liebmanii,17.318102,-97.789374
Quercus_liebmanii,19.092778,-98.483333
Quercus_liebmanii,19.008333,-98.083333
Quercus_liebmanii,17.229632,-97.790859
Quercus_liebmanii,18.85,-98.055833
Quercus_liebmanii,16.726667,-97.016111
Quercus_liebmanii,18.538333,-99.555
Quercus_liebmanii,17.564444,-97.455556
Quercus_liebmanii,17.6025,-99.168889
Quercus_liebmanii,17.523056,-99.597222
Quercus_liebmanii,17.522222,-99.595833
Quercus_liebmanii,17.5225,-99.597222
Quercus_liebmanii,19.1875,-101.729167
Quercus_liebmanii,17.645,-99.843056
Quercus_liebmanii,17.63280686520984,-99.65844287343144
Quercus_liebmanii,17.349167,-97.684444
Quercus_liebmanii,17.340833,-97.7075
Quercus_liebmanii,17.683056,-99.785556
Quercus_liebmanii,17.8,-99.633333
Quercus_liebmanii,17.549444,-99.634167
Quercus_liebmanii,17.551389,-99.500833
Quercus_liebmanii,17.366667,-97.2
Quercus_liebmanii,17.639873865576202,-99.87360093553741
Quercus_liebmanii,17.6,-99.916667
Quercus_liebmanii,17.591111,-99.289444
Quercus_liebmanii,17.637222,-99.319444
Quercus_liebmanii,17.500556,-97.493333
Quercus_liebmanii,17.681944,-99.802778
Quercus_liebmanii,17.642778,-99.630833
Quercus_liebmanii,17.633333,-99.616667
Quercus_liebmanii,18.686111,-97.886111
Quercus_liebmanii,17.756667,-96.950278
Quercus_liebmanii,17.71161465279655,-99.78834017803688
Quercus_liebmanii,19.433333,-102.05
Quercus_liebmanii,16.503056,-95.174722
Quercus_liebmanii,17.77,-97.36
Quercus_liebmanii,17.948611,-97.343056
Quercus_liebmanii,17.93,-97.35
Quercus_liebmanii,17.809722,-97.473056
Quercus_liebmanii,19.146667,-98.721389
Quercus_liebmanii,17.599200485395276,-99.3315181003811
Quercus_liebmanii,17.588056,-99.436944
Quercus_liebmanii,17.34,-96.94
Quercus_liebmanii,17.559167,-97.591667
Quercus_liebmanii,17.400278,-96.969722
Quercus_liebmanii,17.334444,-96.934444
Quercus_liebmanii,17.541667,-99.658333
Quercus_liebmanii,17.558333,-99.675
Quercus_liebmanii,17.316667,-96.816667
Quercus_liebmanii,18.118333,-96.8925
