Species,Latitude,Longitude
Quercus_lobata,37.172224,-121.765666
Quercus_lobata,38.517453,-121.753826
Quercus_lobata,38.494678,-121.526708
Quercus_lobata,36.323022,-119.280195
Quercus_lobata,37.4108,-122.261337
Quercus_lobata,37.289842,-121.766197
Quercus_lobata,38.757275,-121.258124
Quercus_lobata,38.757696,-121.224962
Quercus_lobata,37.238482,-121.880052
Quercus_lobata,37.410778,-122.261329
Quercus_lobata,37.326212,-121.820203
Quercus_lobata,37.171535,-121.762474
Quercus_lobata,34.045514,-118.409203
Quercus_lobata,38.344687,-122.530471
Quercus_lobata,38.516463,-121.552809
Quercus_lobata,38.43997,-122.695754
Quercus_lobata,37.409766,-121.777217
Quercus_lobata,38.007319,-122.488453
Quercus_lobata,38.026158,-122.515724
Quercus_lobata,38.712306,-122.044688
Quercus_lobata,38.679093,-121.148626
Quercus_lobata,39.771933,-121.776047
Quercus_lobata,38.975581,-122.512186
Quercus_lobata,38.985876,-122.519366
Quercus_lobata,38.711434,-122.044958
Quercus_lobata,38.418108,-122.697136
Quercus_lobata,36.473272,-119.022247
Quercus_lobata,38.266205,-121.439453
Quercus_lobata,37.445596,-121.846531
Quercus_lobata,38.679047,-121.149002
Quercus_lobata,37.988738,-122.075221
Quercus_lobata,39.192989,-122.045858
Quercus_lobata,34.083306,-118.705362
Quercus_lobata,38.52337,-121.549102
Quercus_lobata,34.096451,-118.717112
Quercus_lobata,38.984793,-122.533223
Quercus_lobata,37.919774,-121.94193
Quercus_lobata,38.003017,-122.607987
Quercus_lobata,38.119532,-122.56354
Quercus_lobata,39.444675,-122.003997
Quercus_lobata,38.974108,-122.345463
Quercus_lobata,33.903628,-117.939793
Quercus_lobata,37.286578,-121.812042
Quercus_lobata,39.731872,-121.821158
Quercus_lobata,39.5416,-121.525812
Quercus_lobata,36.389121,-120.936278
Quercus_lobata,37.304588,-121.763297
Quercus_lobata,38.973488,-122.35615
Quercus_lobata,39.735097,-121.814247
Quercus_lobata,37.081214,-121.46228
Quercus_lobata,37.297542,-121.76158
Quercus_lobata,36.494,-121.14564
Quercus_lobata,36.75671,-121.506348
Quercus_lobata,38.555382,-121.720188
Quercus_lobata,38.635372,-121.24897
Quercus_lobata,39.753838,-121.816912
Quercus_lobata,38.651498,-121.570773
Quercus_lobata,34.001767,-119.742944
Quercus_lobata,38.538048,-121.747021
Quercus_lobata,34.775267,-119.8336
Quercus_lobata,38.331964,-122.000649
Quercus_lobata,37.60603,-121.834596
Quercus_lobata,38.837176,-121.17655
Quercus_lobata,38.613495,-121.308276
Quercus_lobata,38.614687,-121.313766
Quercus_lobata,37.434583,-122.097996
Quercus_lobata,38.606189,-121.319362
Quercus_lobata,34.1009,-118.719458
Quercus_lobata,38.436182,-122.507749
Quercus_lobata,39.737862,-121.82605
Quercus_lobata,36.562938,-121.230653
Quercus_lobata,38.607488,-121.312007
Quercus_lobata,38.636015,-121.264386
Quercus_lobata,35.894701,-121.276275
Quercus_lobata,37.46178,-122.281433
Quercus_lobata,38.53548,-121.09912
Quercus_lobata,38.533909,-121.100367
Quercus_lobata,38.439055,-122.642918
Quercus_lobata,37.296017,-121.933158
Quercus_lobata,38.186442,-122.48329
Quercus_lobata,38.561439,-121.395805
Quercus_lobata,37.918096,-121.939379
Quercus_lobata,37.919532,-121.942231
Quercus_lobata,38.337253,-122.005282
Quercus_lobata,34.149853,-118.736008
Quercus_lobata,37.881848,-122.029163
Quercus_lobata,37.455297,-121.812729
Quercus_lobata,36.517959,-121.137426
Quercus_lobata,37.180078,-121.791192
Quercus_lobata,37.828968,-122.032123
Quercus_lobata,38.525979,-121.792476
Quercus_lobata,40.159035,-122.198328
Quercus_lobata,38.338725,-122.004669
Quercus_lobata,39.583613,-121.549033
Quercus_lobata,35.305238,-120.381701
Quercus_lobata,37.514328,-121.828964
Quercus_lobata,37.305737,-122.147026
Quercus_lobata,34.062304,-118.257698
Quercus_lobata,37.214889,-121.77066
Quercus_lobata,39.329498,-121.343903
Quercus_lobata,37.332584,-121.866368
Quercus_lobata,34.403164,-118.738942
Quercus_lobata,37.322671,-121.667257
Quercus_lobata,38.26625,-121.440933
Quercus_lobata,37.351539,-121.690541
Quercus_lobata,36.387295,-121.550105
Quercus_lobata,36.388553,-121.549328
Quercus_lobata,38.334713,-122.008608
Quercus_lobata,38.574261,-121.349258
Quercus_lobata,38.00889,-122.52395
Quercus_lobata,37.893857,-122.010335
Quercus_lobata,38.015197,-122.133653
Quercus_lobata,38.559625,-121.734117
Quercus_lobata,34.614162,-120.006028
Quercus_lobata,39.012289,-121.833342
Quercus_lobata,37.287399,-121.812286
Quercus_lobata,37.222124,-121.787334
Quercus_lobata,38.061162,-122.519458
Quercus_lobata,36.433031,-119.027931
Quercus_lobata,37.287087,-121.812212
Quercus_lobata,37.984932,-122.568385
Quercus_lobata,37.220636,-121.846131
Quercus_lobata,38.05941,-122.519564
Quercus_lobata,38.118002,-122.564272
Quercus_lobata,37.932753,-121.972978
Quercus_lobata,38.121005,-122.56147
Quercus_lobata,37.237571,-121.888886
Quercus_lobata,37.984597,-122.131339
Quercus_lobata,38.425869,-122.64531
Quercus_lobata,37.101007,-121.578963
Quercus_lobata,37.225105,-121.797738
Quercus_lobata,38.616969,-121.311991
Quercus_lobata,37.211503,-121.718475
Quercus_lobata,38.523455,-121.783846
Quercus_lobata,36.120793,-121.449597
Quercus_lobata,36.433017,-119.027917
Quercus_lobata,34.678688,-120.13678
Quercus_lobata,37.998414,-122.206252
Quercus_lobata,36.094888,-121.43048
Quercus_lobata,37.189122,-121.986697
Quercus_lobata,37.436557,-122.09662
Quercus_lobata,38.526016,-121.792331
Quercus_lobata,36.473068,-119.022604
Quercus_lobata,38.52392,-121.782804
Quercus_lobata,39.8456,-121.701858
Quercus_lobata,37.463978,-122.280472
Quercus_lobata,34.170803,-118.693352
Quercus_lobata,38.440483,-122.65438
Quercus_lobata,37.404605,-121.953833
Quercus_lobata,37.885978,-121.991736
Quercus_lobata,37.224249,-121.792266
Quercus_lobata,38.016542,-122.584153
Quercus_lobata,36.320247,-119.349787
Quercus_lobata,35.476143,-120.330014
Quercus_lobata,35.458944,-120.334263
Quercus_lobata,37.304403,-121.762628
Quercus_lobata,35.289081,-120.474175
Quercus_lobata,38.113689,-122.598471
Quercus_lobata,36.494647,-121.152126
Quercus_lobata,39.59325,-121.572731
Quercus_lobata,37.242992,-121.752199
Quercus_lobata,37.749748,-121.969827
Quercus_lobata,34.532192,-119.757781
Quercus_lobata,38.458736,-122.679444
Quercus_lobata,34.156925,-118.705225
Quercus_lobata,34.156914,-118.730061
Quercus_lobata,38.517765,-121.763633
Quercus_lobata,37.262211,-121.837346
Quercus_lobata,37.413792,-121.98637
Quercus_lobata,39.763841,-121.772346
Quercus_lobata,39.752445,-121.824815
Quercus_lobata,37.415913,-121.980692
Quercus_lobata,38.557475,-121.709205
Quercus_lobata,36.517853,-121.129997
Quercus_lobata,37.238108,-121.97437
Quercus_lobata,34.540739,-119.793147
Quercus_lobata,37.437595,-122.219063
Quercus_lobata,37.409144,-122.13845
Quercus_lobata,37.884881,-122.099716
Quercus_lobata,37.094141,-121.543146
Quercus_lobata,38.020695,-122.592863
Quercus_lobata,37.17085,-121.730705
Quercus_lobata,37.419585,-122.012973
Quercus_lobata,37.068636,-121.524857
Quercus_lobata,38.005711,-122.604775
Quercus_lobata,37.340229,-122.0863
Quercus_lobata,34.201187,-118.854172
Quercus_lobata,37.968518,-122.204742
Quercus_lobata,37.316977,-122.061155
Quercus_lobata,37.936409,-122.109415
Quercus_lobata,38.268649,-121.439708
Quercus_lobata,38.407288,-122.045114
Quercus_lobata,38.540917,-121.51156
Quercus_lobata,37.910481,-121.923728
Quercus_lobata,36.47243,-121.753372
Quercus_lobata,38.322051,-122.333034
Quercus_lobata,38.236882,-122.284835
Quercus_lobata,37.526358,-122.323258
Quercus_lobata,38.568897,-121.422325
Quercus_lobata,37.526048,-122.323406
Quercus_lobata,37.322738,-122.082617
Quercus_lobata,37.970062,-122.529595
Quercus_lobata,37.819105,-121.795177
Quercus_lobata,39.134822,-123.217007
Quercus_lobata,34.367235,-118.754936
Quercus_lobata,37.394233,-122.064266
Quercus_lobata,38.43569,-122.731884
Quercus_lobata,35.469375,-120.328256
Quercus_lobata,37.149493,-121.768205
Quercus_lobata,37.332653,-121.702275
Quercus_lobata,38.574575,-121.347014
Quercus_lobata,38.652936,-121.255721
Quercus_lobata,34.138284,-118.759358
Quercus_lobata,38.568094,-121.364092
Quercus_lobata,37.949187,-122.136017
Quercus_lobata,37.548118,-122.322313
Quercus_lobata,38.459211,-122.711937
Quercus_lobata,38.456392,-122.710784
Quercus_lobata,37.226514,-121.797105
Quercus_lobata,38.660433,-121.185171
Quercus_lobata,37.262128,-121.795223
Quercus_lobata,38.494063,-122.901138
Quercus_lobata,37.741798,-121.111089
Quercus_lobata,38.589309,-121.726492
Quercus_lobata,38.278893,-122.456983
Quercus_lobata,38.564473,-121.709749
Quercus_lobata,37.287819,-121.81263
Quercus_lobata,38.52652,-121.792941
Quercus_lobata,40.635445,-122.318221
Quercus_lobata,38.52772,-121.799012
Quercus_lobata,37.788027,-122.483533
Quercus_lobata,38.80476,-121.327614
Quercus_lobata,37.904167,-122.013969
Quercus_lobata,37.188697,-121.986489
Quercus_lobata,38.317996,-122.690442
Quercus_lobata,34.176688,-118.761445
Quercus_lobata,38.416583,-122.690422
Quercus_lobata,38.39957,-121.221747
Quercus_lobata,38.114838,-122.599318
Quercus_lobata,38.289653,-122.439778
Quercus_lobata,37.405761,-121.954536
Quercus_lobata,34.744855,-118.598435
Quercus_lobata,38.558211,-121.257522
Quercus_lobata,38.456204,-122.710823
