Species,Latitude,Longitude
Quercus_lusitanica,38.633381,-9.045728
Quercus_lusitanica,40.122568,-8.234301
Quercus_lusitanica,40.465804,-8.667668
Quercus_lusitanica,40.122589,-8.234554
Quercus_lusitanica,38.6301,-9.044411
Quercus_lusitanica,40.487493,-3.650387
Quercus_lusitanica,42.555278,-8.992778
Quercus_lusitanica,42.609104,-2.5108
Quercus_lusitanica,42.641364,-5.591416
Quercus_lusitanica,43.399737,-5.671231
Quercus_lusitanica,40.14352,-8.162799
Quercus_lusitanica,42.246111,-0.488889
Quercus_lusitanica,41.412315,1.939378
Quercus_lusitanica,43.323698,-3.080759
Quercus_lusitanica,40.523858,-1.642889
Quercus_lusitanica,40.960323,-3.799829
Quercus_lusitanica,42.329381,-2.870878
Quercus_lusitanica,43.144568,-2.653156
Quercus_lusitanica,41.509185,-5.744109
Quercus_lusitanica,40.311116,-4.757298
Quercus_lusitanica,40.267729,-3.718356
Quercus_lusitanica,40.239613,-3.769547
Quercus_lusitanica,41.714485,1.966013
Quercus_lusitanica,40.309417,-4.765627
Quercus_lusitanica,41.534459,2.38337
Quercus_lusitanica,39.506794,-0.418853
Quercus_lusitanica,38.63788,-9.05077
Quercus_lusitanica,40.08517,-7.452077
Quercus_lusitanica,39.490089,-0.376803
Quercus_lusitanica,40.116768,-8.274148
Quercus_lusitanica,40.126759,-8.273992
Quercus_lusitanica,39.315613,-9.134838
Quercus_lusitanica,38.605992,-9.188967
Quercus_lusitanica,38.902241,-9.18546
Quercus_lusitanica,40.256573,-8.226867
Quercus_lusitanica,38.782823,-9.420142
Quercus_lusitanica,38.903658,-9.182843
Quercus_lusitanica,40.337986,-8.352757
Quercus_lusitanica,37.458929,-8.648491
Quercus_lusitanica,40.140682,-8.164429
Quercus_lusitanica,40.140697,-8.164425
Quercus_lusitanica,36.426794,-5.455829
Quercus_lusitanica,40.152206,-8.157188
Quercus_lusitanica,37.270142,-8.805851
Quercus_lusitanica,40.36969,-8.289784
Quercus_lusitanica,37.885466,-6.731484
Quercus_lusitanica,38.613961,-9.030364
Quercus_lusitanica,38.611248,-9.025499
Quercus_lusitanica,38.587801,-9.135124
Quercus_lusitanica,38.61486,-9.029813
Quercus_lusitanica,38.717433,-9.392848
Quercus_lusitanica,38.637707,-9.027655
Quercus_lusitanica,40.362522,-8.458856
Quercus_lusitanica,43.219658,-2.897923
Quercus_lusitanica,40.257378,-8.227595
Quercus_lusitanica,38.108235,-8.570794
Quercus_lusitanica,38.615835,-9.045366
Quercus_lusitanica,39.966907,-8.315652
Quercus_lusitanica,40.2565,-8.226898
Quercus_lusitanica,40.218736,-8.082825
Quercus_lusitanica,38.756392,-9.427297
Quercus_lusitanica,36.473371,-6.200822
Quercus_lusitanica,39.351954,-8.82411
Quercus_lusitanica,37.80944,-8.63806
Quercus_lusitanica,36.443656,-5.748253
Quercus_lusitanica,37.37,-8.51
