Species,Latitude,Longitude
Quercus_lyrata,32.51347,-90.944138
Quercus_lyrata,37.603281,-89.400317
Quercus_lyrata,30.630368,-88.599317
Quercus_lyrata,32.929288,-90.454644
Quercus_lyrata,33.584014,-82.098938
Quercus_lyrata,29.900897,-82.574837
Quercus_lyrata,35.080281,-80.040444
Quercus_lyrata,35.744487,-79.119313
Quercus_lyrata,35.845417,-78.411399
Quercus_lyrata,30.246038,-88.079003
Quercus_lyrata,30.569992,-88.620017
Quercus_lyrata,33.839113,-84.268646
Quercus_lyrata,35.946187,-78.974983
Quercus_lyrata,35.011197,-85.366203
Quercus_lyrata,33.463988,-86.822997
Quercus_lyrata,35.77749,-78.896915
Quercus_lyrata,29.801766,-94.389101
Quercus_lyrata,29.765475,-95.455994
Quercus_lyrata,35.911628,-78.97955
Quercus_lyrata,34.636075,-86.491319
Quercus_lyrata,30.176491,-94.168411
Quercus_lyrata,30.813133,-88.732064
Quercus_lyrata,30.564375,-88.624511
Quercus_lyrata,30.817458,-88.733711
Quercus_lyrata,34.193108,-91.964
Quercus_lyrata,34.190786,-91.961226
Quercus_lyrata,34.577521,-86.617831
Quercus_lyrata,42.091056,-75.92263
Quercus_lyrata,37.304263,-89.017295
Quercus_lyrata,37.683339,-89.41131
Quercus_lyrata,37.303221,-89.021505
Quercus_lyrata,37.349817,-88.917089
Quercus_lyrata,35.395492,-78.281028
Quercus_lyrata,34.646139,-91.664476
Quercus_lyrata,31.182592,-87.852732
Quercus_lyrata,35.44604,-79.41705
Quercus_lyrata,33.214113,-87.786063
Quercus_lyrata,33.815787,-92.179713
Quercus_lyrata,34.179572,-91.995138
Quercus_lyrata,33.774625,-92.32259
Quercus_lyrata,38.91723,-75.947044
Quercus_lyrata,29.914009,-82.578123
Quercus_lyrata,29.913808,-82.571539
Quercus_lyrata,32.601271,-92.046239
Quercus_lyrata,32.60153,-92.046922
Quercus_lyrata,30.747194,-87.924719
Quercus_lyrata,37.303224,-89.021562
