Species,Latitude,Longitude
Quercus_macranthera,41.986612,46.489069
Quercus_macranthera,42.789986,47.095316
Quercus_macranthera,51.616657,7.950153
Quercus_macranthera,50.126633,8.657827
Quercus_macranthera,40.078984,35.206201
Quercus_macranthera,41.65902,44.616565
Quercus_macranthera,40.096666,33.223164
Quercus_macranthera,42.028382,47.969261
Quercus_macranthera,42.042425,46.432182
Quercus_macranthera,40.387779,44.29417
Quercus_macranthera,40.38778,44.29417
Quercus_macranthera,43.764939,39.744476
Quercus_macranthera,41.697258,44.502151
Quercus_macranthera,41.655563,44.566319
Quercus_macranthera,41.706722,44.47081
Quercus_macranthera,40.080762,33.308035
Quercus_macranthera,48.553375,10.179434
Quercus_macranthera,39.028463,46.360417
Quercus_macranthera,39.033958,46.37195
Quercus_macranthera,39.0083,46.3864
Quercus_macranthera,40.5348,44.6844
Quercus_macranthera,50.41518,8.985529
Quercus_macranthera,41.988703,46.392068
Quercus_macranthera,49.011925,8.406419
Quercus_macranthera,37.286806,48.995028
Quercus_macranthera,50.030392,8.855925
Quercus_macranthera,42.66889,45.18028
Quercus_macranthera,50.024174,8.863735
Quercus_macranthera,40.757778,45.738331
Quercus_macranthera,39.69667,46.575
Quercus_macranthera,39.70083,46.57806
Quercus_macranthera,39.65167,45.60556
Quercus_macranthera,41.12361,44.92167
Quercus_macranthera,40.84056,45.30417
Quercus_macranthera,40.48556,44.52667
Quercus_macranthera,38.97583,46.37028
Quercus_macranthera,38.93583,46.17667
Quercus_macranthera,41.13861,44.99611
Quercus_macranthera,40.39,45.54
Quercus_macranthera,39.06,46.18
Quercus_macranthera,39.78,45.53
Quercus_macranthera,40.39333,45.54361
Quercus_macranthera,40.5356,44.6839
Quercus_macranthera,40.393333,45.543611
Quercus_macranthera,39.060556,46.188333
Quercus_macranthera,39.785833,45.5375
Quercus_macranthera,39.33861,46.39667
Quercus_macranthera,40.8025,44.88444
Quercus_macranthera,40.97806,44.39889
Quercus_macranthera,39.28222,46.48306
Quercus_macranthera,39.33333,46.38333
Quercus_macranthera,39.907222,38.473333
Quercus_macranthera,39.907222,38.631667
Quercus_macranthera,40.599998,45.049999
Quercus_macranthera,40.683331,44.866669
Quercus_macranthera,39.849998,45.700001
Quercus_macranthera,41.8705,46.35755
Quercus_macranthera,39.93,39.42
Quercus_macranthera,59.25,23.75
Quercus_macranthera,39.416687,46.341675
Quercus_macranthera,41.80416,42.49888
Quercus_macranthera,41.76111,43.52277
Quercus_macranthera,63.4322,10.3928
Quercus_macranthera,43.25,-2.14
Quercus_macranthera,39.937222,40.621111
Quercus_macranthera,50.781612,6.094472
Quercus_macranthera,42.795873,43.921709
Quercus_macranthera,39.030898,46.013001
Quercus_macranthera,38.950064,46.175194
Quercus_macranthera,42.794645,44.007368
Quercus_macranthera,39.666667,45.666667
Quercus_macranthera,36.166667,52.283333
Quercus_macranthera,42.508552,44.266491
Quercus_macranthera,11.513,107.751
Quercus_macranthera,42.535437,44.186926
Quercus_macranthera,40.803935,44.487763
Quercus_macranthera,41.745893,43.530321
Quercus_macranthera,39.715374,46.66563
Quercus_macranthera,39.765798,46.73687
Quercus_macranthera,41.55426,47.39204
Quercus_macranthera,39.103223,46.219311
Quercus_macranthera,40.488314,44.347732
Quercus_macranthera,38.7582,48.202987
Quercus_macranthera,41.51653,47.42474
Quercus_macranthera,46.496944,11.338333
Quercus_macranthera,59.852706,17.630684
Quercus_macranthera,39.820931,46.750088
Quercus_macranthera,40.532681,44.716868
Quercus_macranthera,40.748818,44.870911
Quercus_macranthera,41.751,43.528
Quercus_macranthera,53.61667,11.41389
Quercus_macranthera,41.06667,33.96667
Quercus_macranthera,40.69092,35.72044
Quercus_macranthera,40.81618,35.87506
Quercus_macranthera,41.14833,44.76556
Quercus_macranthera,59.858145,17.634069
Quercus_macranthera,41.68502,43.51956
Quercus_macranthera,40.85462,48.94046
Quercus_macranthera,40.46,46.285
Quercus_macranthera,38.76566,48.82654
Quercus_macranthera,38.66,48.4
Quercus_macranthera,38.69536,48.42894
Quercus_macranthera,38.75428,48.85062
Quercus_macranthera,38.759,48.85
Quercus_macranthera,42.52972,44.98361
Quercus_macranthera,12.83333,108.08333
Quercus_macranthera,11.9633,108.39558
Quercus_macranthera,11.03826,108.14278
