Species,Latitude,Longitude
Quercus_macrocarpa,50.613062,-97.510912
Quercus_macrocarpa,49.719723,-97.172944
Quercus_macrocarpa,39.975834,-86.170723
Quercus_macrocarpa,50.609188,-97.511839
Quercus_macrocarpa,50.041411,-96.879799
Quercus_macrocarpa,44.160969,-77.598713
Quercus_macrocarpa,32.777582,-97.375741
Quercus_macrocarpa,32.79684,-97.130128
Quercus_macrocarpa,32.793065,-97.120373
Quercus_macrocarpa,32.787897,-97.11412
Quercus_macrocarpa,45.477546,-75.69061
Quercus_macrocarpa,42.972613,-81.323708
Quercus_macrocarpa,44.293419,-78.365701
Quercus_macrocarpa,49.999102,-96.856907
Quercus_macrocarpa,47.48413,-94.868575
Quercus_macrocarpa,50.131561,-96.875042
Quercus_macrocarpa,41.67882,-87.847498
Quercus_macrocarpa,50.355646,-96.519744
Quercus_macrocarpa,33.153697,-97.150658
Quercus_macrocarpa,50.132495,-96.872394
Quercus_macrocarpa,46.936825,-100.958778
Quercus_macrocarpa,33.224992,-96.945788
Quercus_macrocarpa,49.875407,-97.114438
Quercus_macrocarpa,41.048297,-81.797868
Quercus_macrocarpa,33.047661,-96.848417
Quercus_macrocarpa,49.996828,-96.904205
Quercus_macrocarpa,50.355775,-96.523147
Quercus_macrocarpa,49.88156,-97.130258
Quercus_macrocarpa,40.094648,-88.215077
Quercus_macrocarpa,33.363151,-97.173903
Quercus_macrocarpa,50.216245,-95.930627
Quercus_macrocarpa,41.141096,-81.486935
Quercus_macrocarpa,49.998207,-96.857137
Quercus_macrocarpa,49.854683,-97.244655
Quercus_macrocarpa,49.80822,-97.120649
Quercus_macrocarpa,50.561764,-96.572192
Quercus_macrocarpa,49.997686,-96.8569
Quercus_macrocarpa,44.161181,-88.095266
Quercus_macrocarpa,42.120031,-88.305603
Quercus_macrocarpa,44.311954,-76.428122
Quercus_macrocarpa,43.355928,-80.28978
Quercus_macrocarpa,32.735648,-97.293703
Quercus_macrocarpa,47.485113,-94.870583
Quercus_macrocarpa,32.615788,-96.906914
Quercus_macrocarpa,30.640007,-96.370111
Quercus_macrocarpa,29.698847,-95.451876
Quercus_macrocarpa,50.242626,-96.602587
Quercus_macrocarpa,50.567731,-96.569572
Quercus_macrocarpa,44.303401,-78.33592
Quercus_macrocarpa,49.881471,-97.10095
Quercus_macrocarpa,49.858341,-97.099727
Quercus_macrocarpa,42.143935,-88.051822
Quercus_macrocarpa,42.214375,-82.790987
Quercus_macrocarpa,43.873292,-79.31848
Quercus_macrocarpa,32.7727,-97.242121
Quercus_macrocarpa,44.339333,-78.739359
Quercus_macrocarpa,50.580297,-96.999942
Quercus_macrocarpa,30.427383,-97.560404
Quercus_macrocarpa,49.886006,-97.104009
Quercus_macrocarpa,42.033883,-93.648558
Quercus_macrocarpa,49.857825,-97.099924
Quercus_macrocarpa,50.580046,-97.002773
Quercus_macrocarpa,49.857904,-97.099949
Quercus_macrocarpa,33.015853,-97.003928
Quercus_macrocarpa,43.877153,-79.319047
Quercus_macrocarpa,49.878148,-97.102286
Quercus_macrocarpa,50.156254,-95.654642
Quercus_macrocarpa,50.082115,-96.818367
Quercus_macrocarpa,49.878451,-97.100972
Quercus_macrocarpa,49.887761,-97.271759
Quercus_macrocarpa,49.892417,-97.116748
Quercus_macrocarpa,43.996956,-77.703733
Quercus_macrocarpa,49.883564,-97.103308
Quercus_macrocarpa,50.00398,-96.926602
Quercus_macrocarpa,50.028653,-96.996745
Quercus_macrocarpa,42.389139,-73.245498
Quercus_macrocarpa,49.871693,-97.237312
Quercus_macrocarpa,49.875673,-97.10201
Quercus_macrocarpa,37.414542,-89.026795
Quercus_macrocarpa,49.883561,-97.10344
Quercus_macrocarpa,50.079271,-96.821898
Quercus_macrocarpa,50.147904,-95.655941
Quercus_macrocarpa,50.004042,-96.91964
Quercus_macrocarpa,43.365913,-89.932824
Quercus_macrocarpa,32.749078,-97.271295
Quercus_macrocarpa,50.153426,-95.658093
Quercus_macrocarpa,42.05187,-88.20006
Quercus_macrocarpa,37.128648,-89.336917
Quercus_macrocarpa,30.29327,-97.7379
Quercus_macrocarpa,44.709647,-93.17208
Quercus_macrocarpa,45.27789,-75.671216
Quercus_macrocarpa,45.439234,-76.158583
Quercus_macrocarpa,44.338168,-78.73813
Quercus_macrocarpa,49.274824,-96.916942
Quercus_macrocarpa,45.43949,-76.158465
Quercus_macrocarpa,33.064472,-96.977321
Quercus_macrocarpa,49.274734,-96.916709
Quercus_macrocarpa,45.058411,-76.125771
Quercus_macrocarpa,44.905808,-93.13423
Quercus_macrocarpa,50.008874,-96.880114
Quercus_macrocarpa,33.03293,-96.663314
Quercus_macrocarpa,45.431683,-76.166937
Quercus_macrocarpa,50.019193,-96.851584
Quercus_macrocarpa,44.965254,-93.386055
Quercus_macrocarpa,50.021158,-96.850159
Quercus_macrocarpa,44.758228,-93.153197
Quercus_macrocarpa,49.268676,-96.916649
Quercus_macrocarpa,45.996556,-66.529927
Quercus_macrocarpa,42.255572,-87.854155
Quercus_macrocarpa,41.980243,-87.742554
Quercus_macrocarpa,42.491225,-88.196697
Quercus_macrocarpa,43.038102,-81.267058
Quercus_macrocarpa,32.613328,-96.971418
Quercus_macrocarpa,44.235661,-76.540588
Quercus_macrocarpa,50.034327,-96.870623
Quercus_macrocarpa,31.626357,-98.229508
Quercus_macrocarpa,42.264418,-82.981742
Quercus_macrocarpa,41.646168,-87.667114
Quercus_macrocarpa,32.794505,-97.117609
Quercus_macrocarpa,49.820352,-97.22513
Quercus_macrocarpa,42.265708,-82.982855
Quercus_macrocarpa,32.793124,-97.120403
Quercus_macrocarpa,42.492961,-89.039206
Quercus_macrocarpa,42.265983,-82.982658
Quercus_macrocarpa,42.218753,-87.933589
Quercus_macrocarpa,33.913709,-98.493387
Quercus_macrocarpa,32.963007,-96.655124
Quercus_macrocarpa,33.065011,-96.980804
Quercus_macrocarpa,46.699128,-71.243647
Quercus_macrocarpa,30.182856,-97.724426
Quercus_macrocarpa,49.857207,-97.24209
Quercus_macrocarpa,33.1576,-96.612545
Quercus_macrocarpa,30.946867,-97.897895
Quercus_macrocarpa,44.24286,-76.622291
Quercus_macrocarpa,44.242402,-76.621506
Quercus_macrocarpa,43.606628,-79.714466
Quercus_macrocarpa,48.619549,-93.387402
Quercus_macrocarpa,44.309722,-78.622847
Quercus_macrocarpa,44.245285,-76.626282
Quercus_macrocarpa,40.496702,-83.873644
Quercus_macrocarpa,43.002306,-88.831337
Quercus_macrocarpa,33.046963,-96.851772
Quercus_macrocarpa,45.303265,-75.872187
Quercus_macrocarpa,43.416849,-80.712851
Quercus_macrocarpa,45.304116,-75.802891
Quercus_macrocarpa,49.894591,-97.110655
Quercus_macrocarpa,43.588439,-89.726726
Quercus_macrocarpa,30.692977,-97.816154
Quercus_macrocarpa,50.023514,-96.895736
Quercus_macrocarpa,32.690655,-97.455218
Quercus_macrocarpa,44.351368,-78.30159
Quercus_macrocarpa,43.723997,-79.891456
Quercus_macrocarpa,32.613025,-96.971305
Quercus_macrocarpa,45.391223,-75.741113
Quercus_macrocarpa,36.502147,-90.472922
Quercus_macrocarpa,44.248908,-76.61669
Quercus_macrocarpa,44.355556,-78.2975
Quercus_macrocarpa,43.009166,-80.352751
Quercus_macrocarpa,33.226438,-96.942009
Quercus_macrocarpa,42.024014,-82.565705
Quercus_macrocarpa,43.589017,-80.74672
Quercus_macrocarpa,43.580437,-80.692652
Quercus_macrocarpa,45.558791,-75.05678
Quercus_macrocarpa,42.264933,-83.067322
Quercus_macrocarpa,32.471998,-99.719621
Quercus_macrocarpa,32.950629,-96.807916
Quercus_macrocarpa,50.011266,-96.87823
Quercus_macrocarpa,32.962032,-96.653809
Quercus_macrocarpa,32.81659,-97.252447
Quercus_macrocarpa,42.084667,-76.882804
Quercus_macrocarpa,44.897232,-93.195908
Quercus_macrocarpa,41.285067,-81.391803
Quercus_macrocarpa,50.008032,-96.844815
Quercus_macrocarpa,44.363075,-78.301529
Quercus_macrocarpa,44.307682,-78.342857
Quercus_macrocarpa,32.967281,-96.659157
Quercus_macrocarpa,39.716835,-89.701077
Quercus_macrocarpa,32.99865,-96.633254
Quercus_macrocarpa,39.765556,-86.357778
Quercus_macrocarpa,32.896871,-97.091133
Quercus_macrocarpa,49.820475,-97.225205
Quercus_macrocarpa,33.41795,-97.053421
Quercus_macrocarpa,50.073355,-96.817943
Quercus_macrocarpa,43.427814,-90.771942
Quercus_macrocarpa,50.03303,-96.899999
Quercus_macrocarpa,43.45623,-80.655576
Quercus_macrocarpa,50.005879,-96.91614
Quercus_macrocarpa,43.474413,-80.558798
Quercus_macrocarpa,50.041539,-96.879918
Quercus_macrocarpa,33.064104,-96.967692
Quercus_macrocarpa,50.019623,-96.901055
Quercus_macrocarpa,49.799132,-97.124807
Quercus_macrocarpa,42.242929,-77.198642
Quercus_macrocarpa,42.820258,-81.15815
Quercus_macrocarpa,45.092139,-93.036081
Quercus_macrocarpa,45.092056,-93.034714
Quercus_macrocarpa,32.746373,-97.269222
Quercus_macrocarpa,40.185738,-83.058747
Quercus_macrocarpa,41.720049,-87.992419
Quercus_macrocarpa,33.056962,-96.989548
Quercus_macrocarpa,41.684971,-92.872624
Quercus_macrocarpa,50.022073,-96.901461
Quercus_macrocarpa,30.569125,-97.857447
Quercus_macrocarpa,46.384692,-83.770579
Quercus_macrocarpa,32.636966,-96.657261
Quercus_macrocarpa,40.127308,-88.21415
Quercus_macrocarpa,32.954925,-96.936255
Quercus_macrocarpa,42.797303,-84.382016
Quercus_macrocarpa,43.363262,-89.608367
Quercus_macrocarpa,44.627153,-93.167817
Quercus_macrocarpa,33.856835,-98.500106
Quercus_macrocarpa,44.273106,-76.528741
Quercus_macrocarpa,41.813337,-88.048604
Quercus_macrocarpa,42.503878,-83.763409
Quercus_macrocarpa,33.24318,-96.740142
Quercus_macrocarpa,42.461825,-88.043528
Quercus_macrocarpa,32.911897,-96.935186
Quercus_macrocarpa,30.683016,-97.644434
Quercus_macrocarpa,32.772934,-97.241935
Quercus_macrocarpa,44.368185,-76.627814
Quercus_macrocarpa,32.886486,-97.281382
Quercus_macrocarpa,32.972199,-97.04431
Quercus_macrocarpa,42.633118,-88.126586
Quercus_macrocarpa,42.941389,-88.450675
Quercus_macrocarpa,33.229684,-96.939648
Quercus_macrocarpa,43.11965,-80.315381
Quercus_macrocarpa,32.68716,-97.375747
Quercus_macrocarpa,48.366601,-89.583168
Quercus_macrocarpa,33.065134,-96.848012
Quercus_macrocarpa,33.281338,-96.608751
Quercus_macrocarpa,40.535391,-83.931294
Quercus_macrocarpa,30.519091,-97.724149
Quercus_macrocarpa,30.433652,-97.613558
Quercus_macrocarpa,43.422596,-90.767254
Quercus_macrocarpa,32.675936,-97.433301
Quercus_macrocarpa,30.521945,-97.744246
Quercus_macrocarpa,44.274636,-77.342763
Quercus_macrocarpa,42.839805,-89.451433
Quercus_macrocarpa,33.051636,-96.668717
Quercus_macrocarpa,29.506828,-98.487312
Quercus_macrocarpa,30.520344,-97.72613
Quercus_macrocarpa,33.051711,-96.668542
Quercus_macrocarpa,33.14054,-96.864298
Quercus_macrocarpa,43.529025,-80.533386
Quercus_macrocarpa,33.065312,-96.847738
Quercus_macrocarpa,44.976039,-93.13753
Quercus_macrocarpa,44.03005,-92.435675
Quercus_macrocarpa,44.136108,-79.811195
Quercus_macrocarpa,48.725662,-94.241195
Quercus_macrocarpa,32.252704,-97.818335
Quercus_macrocarpa,32.675417,-97.433783
Quercus_macrocarpa,45.363334,-75.759825
Quercus_macrocarpa,32.705065,-97.400539
Quercus_macrocarpa,32.669985,-97.431402
Quercus_macrocarpa,29.37382,-95.589801
