Species,Latitude,Longitude
Quercus_magnoliifolia,17.046725,-97.620699
Quercus_magnoliifolia,16.400913,-95.73717
Quercus_magnoliifolia,20.694545,-103.589358
Quercus_magnoliifolia,20.696868,-103.581028
Quercus_magnoliifolia,20.699123,-103.580143
Quercus_magnoliifolia,23.382002,-105.916367
Quercus_magnoliifolia,21.57117,-105.042804
Quercus_magnoliifolia,16.547735,-97.083075
Quercus_magnoliifolia,17.150646,-96.735528
Quercus_magnoliifolia,19.455568,-100.854559
Quercus_magnoliifolia,16.730737,-93.890025
Quercus_magnoliifolia,18.960276,-99.302802
Quercus_magnoliifolia,23.409983,-105.911937
Quercus_magnoliifolia,17.944357,-97.867643
Quercus_magnoliifolia,18.990847,-99.028289
Quercus_magnoliifolia,19.642083,-101.095778
Quercus_magnoliifolia,22.07913,-104.49071
Quercus_magnoliifolia,22.4301,-105.1317
Quercus_magnoliifolia,18.33447,-101.24905
Quercus_magnoliifolia,18.289083,-101.017749
Quercus_magnoliifolia,17.32302,-99.6083
Quercus_magnoliifolia,17.28213,-99.89119
Quercus_magnoliifolia,17.27505,-99.42122
Quercus_magnoliifolia,18.200111,-100.66444
Quercus_magnoliifolia,25.02307,-106.73802
Quercus_magnoliifolia,21.39954,-104.38078
Quercus_magnoliifolia,19.28712,-102.00649
Quercus_magnoliifolia,17.04447,-98.33424
Quercus_magnoliifolia,17.137917,-96.141472
Quercus_magnoliifolia,25.067388,-106.840694
Quercus_magnoliifolia,24.890667,-106.583806
Quercus_magnoliifolia,17.5555,-97.534361
Quercus_magnoliifolia,16.989999,-97.080222
Quercus_magnoliifolia,20.79,-99.883889
Quercus_magnoliifolia,16.000407,-92.829185
Quercus_magnoliifolia,16.90725,-95.927972
Quercus_magnoliifolia,18.468361,-99.346694
Quercus_magnoliifolia,18.90025,-99.853778
Quercus_magnoliifolia,20.775,-99.964722
Quercus_magnoliifolia,19.950416,-104.211111
Quercus_magnoliifolia,19.259722,-103.249444
Quercus_magnoliifolia,17.711667,-97.1125
Quercus_magnoliifolia,17.561738,-97.875721
Quercus_magnoliifolia,16.434639,-97.661611
Quercus_magnoliifolia,16.74325,-96.312222
Quercus_magnoliifolia,17.935222,-100.250639
Quercus_magnoliifolia,17.952722,-100.247278
Quercus_magnoliifolia,16.745361,-96.315472
Quercus_magnoliifolia,18.088167,-99.08625
Quercus_magnoliifolia,18.037194,-99.994278
Quercus_magnoliifolia,17.116347,-96.692096
Quercus_magnoliifolia,16.951947,-92.95298
Quercus_magnoliifolia,15.887555,-96.405611
Quercus_magnoliifolia,15.88756,-96.40561
Quercus_magnoliifolia,16.830167,-93.090778
Quercus_magnoliifolia,17.908333,-96.926051
Quercus_magnoliifolia,17.905513,-96.926773
Quercus_magnoliifolia,17.908604,-96.926925
Quercus_magnoliifolia,17.906409,-96.925186
Quercus_magnoliifolia,18.469447,-99.264967
Quercus_magnoliifolia,20.368306,-105.128889
Quercus_magnoliifolia,17.567194,-97.206389
Quercus_magnoliifolia,17.609583,-97.041194
Quercus_magnoliifolia,20.3683,-105.129
Quercus_magnoliifolia,17.808722,-96.900361
Quercus_magnoliifolia,22.098889,-104.948889
Quercus_magnoliifolia,15.805917,-93.050805
Quercus_magnoliifolia,17.815722,-97.249028
Quercus_magnoliifolia,17.585417,-97.086889
Quercus_magnoliifolia,15.849806,-93.05125
Quercus_magnoliifolia,15.626944,-92.6475
Quercus_magnoliifolia,15.805833,-93.050556
Quercus_magnoliifolia,15.5975,-92.65694
Quercus_magnoliifolia,21.201111,-104.503611
Quercus_magnoliifolia,15.614444,-92.656944
Quercus_magnoliifolia,16.824639,-96.356694
Quercus_magnoliifolia,15.822056,-93.045555
Quercus_magnoliifolia,15.597639,-92.657028
Quercus_magnoliifolia,15.54888,-92.6075
Quercus_magnoliifolia,15.549167,-92.607778
Quercus_magnoliifolia,15.549083,-92.607722
Quercus_magnoliifolia,17.27255,-97.998067
Quercus_magnoliifolia,19.387778,-100.935833
Quercus_magnoliifolia,17.405056,-96.934194
Quercus_magnoliifolia,17.405944,-96.93625
Quercus_magnoliifolia,17.358333,-96.935861
Quercus_magnoliifolia,19.425361,-102.107417
Quercus_magnoliifolia,15.808056,-93.048611
Quercus_magnoliifolia,17.830278,-97.161111
Quercus_magnoliifolia,15.807972,-93.048667
Quercus_magnoliifolia,17.125944,-96.723139
Quercus_magnoliifolia,17.55111,-96.72306
Quercus_magnoliifolia,19.259414,-104.047225
Quercus_magnoliifolia,19.381389,-104.115556
Quercus_magnoliifolia,19.277275615004463,-104.10716343124052
Quercus_magnoliifolia,15.765,-92.971944
Quercus_magnoliifolia,24.919444,-106.855
Quercus_magnoliifolia,15.99522,-96.09967
Quercus_magnoliifolia,15.861667,-93.084444
Quercus_magnoliifolia,17.140833,-93.770833
Quercus_magnoliifolia,16.722778,-93.146389
Quercus_magnoliifolia,19.420556,-104.011111
Quercus_magnoliifolia,15.761944,-93.095278
Quercus_magnoliifolia,15.772778,-93.09
Quercus_magnoliifolia,18.033333,-97.55
Quercus_magnoliifolia,18.033333,-97.550556
Quercus_magnoliifolia,17.242222,-96.208333
Quercus_magnoliifolia,18.211667,-101.454722
Quercus_magnoliifolia,18.231111,-101.506944
Quercus_magnoliifolia,18.213611,-101.465
Quercus_magnoliifolia,18.2125,-101.460278
Quercus_magnoliifolia,18.212778,-101.458056
Quercus_magnoliifolia,18.254722,-101.520278
Quercus_magnoliifolia,18.2125,-101.464167
Quercus_magnoliifolia,18.218611,-101.498889
Quercus_magnoliifolia,15.995556,-96.093055
Quercus_magnoliifolia,17.2431,-97.23867
Quercus_magnoliifolia,17.300556,-97.085833
Quercus_magnoliifolia,17.3354,-97.39613
Quercus_magnoliifolia,15.879167,-93.526944
Quercus_magnoliifolia,24.902528,-106.372317
Quercus_magnoliifolia,18.263333,-101.283056
Quercus_magnoliifolia,18.169056,-101.511306
Quercus_magnoliifolia,18.190556,-101.447333
Quercus_magnoliifolia,17.687778,-100.085556
Quercus_magnoliifolia,17.736389,-99.96
Quercus_magnoliifolia,18.269,-101.585278
Quercus_magnoliifolia,18.194333,-101.434778
Quercus_magnoliifolia,18.138861,-101.465972
Quercus_magnoliifolia,18.262833,-101.529167
Quercus_magnoliifolia,17.816389,-100.106667
Quercus_magnoliifolia,17.731667,-99.961111
Quercus_magnoliifolia,15.824444,-93.063055
Quercus_magnoliifolia,18.152222,-101.513333
Quercus_magnoliifolia,23.433333,-105.8375
Quercus_magnoliifolia,23.43333,-105.8375
Quercus_magnoliifolia,17.541667,-98.113889
Quercus_magnoliifolia,17.722778,-97.924444
