Species,Latitude,Longitude
Quercus_margarettae,31.624805,-85.217033
Quercus_margarettae,36.014353,-78.96871
Quercus_margarettae,33.195463,-94.0289
Quercus_margarettae,33.19547,-94.02885
Quercus_margarettae,35.153309,-79.363865
Quercus_margarettae,30.575984,-95.735102
Quercus_margarettae,30.021982,-82.868433
Quercus_margarettae,29.741081,-82.696877
Quercus_margarettae,33.22321,-79.595229
Quercus_margarettae,29.740375,-82.696945
Quercus_margarettae,29.922675,-81.676392
Quercus_margarettae,31.865316,-82.050757
Quercus_margarettae,33.213539,-79.574206
Quercus_margarettae,33.624657,-93.001623
Quercus_margarettae,32.905866,-97.231938
Quercus_margarettae,29.733368,-82.468499
Quercus_margarettae,35.199196,-79.554139
Quercus_margarettae,30.12622,-81.55738
Quercus_margarettae,32.893283,-84.513022
Quercus_margarettae,33.19528,-94.03171
Quercus_margarettae,30.123528,-81.545997
Quercus_margarettae,29.046021,-82.250483
Quercus_margarettae,33.814324,-92.176316
Quercus_margarettae,33.867736,-92.25127
Quercus_margarettae,35.148636,-79.426322
Quercus_margarettae,30.608683,-96.350292
Quercus_margarettae,36.147225,-78.740503
Quercus_margarettae,30.669166,-89.098181
Quercus_margarettae,30.587969,-85.195167
Quercus_margarettae,29.913956,-82.574567
Quercus_margarettae,35.332367,-79.560589
Quercus_margarettae,29.739992,-82.697814
Quercus_margarettae,35.204294,-79.540562
Quercus_margarettae,35.038577,-79.468924
Quercus_margarettae,35.075595,-79.545192
Quercus_margarettae,30.987963,-89.052068
Quercus_margarettae,30.112817,-97.271112
Quercus_margarettae,31.428012,-96.469008
Quercus_margarettae,31.42792,-96.469252
Quercus_margarettae,30.508833,-95.764053
Quercus_margarettae,29.891999,-97.419758
Quercus_margarettae,32.470336,-95.30183
Quercus_margarettae,33.057903,-87.033797
Quercus_margarettae,35.246662,-79.499305
Quercus_margarettae,35.147183,-79.368987
Quercus_margarettae,29.985347,-81.93795
Quercus_margarettae,30.564894,-96.214605
Quercus_margarettae,30.101686,-97.272748
Quercus_margarettae,30.331835,-97.186894
Quercus_margarettae,33.641537,-93.19593
Quercus_margarettae,30.614967,-89.079099
Quercus_margarettae,35.05271,-79.524114
Quercus_margarettae,30.126187,-81.55759
Quercus_margarettae,30.050199,-81.793029
Quercus_margarettae,29.711925,-82.000118
Quercus_margarettae,29.701101,-82.015795
Quercus_margarettae,29.701102,-82.015936
Quercus_margarettae,29.708274,-82.026212
Quercus_margarettae,29.701276,-82.01579
Quercus_margarettae,29.701102,-82.015777
Quercus_margarettae,29.701146,-82.015769
Quercus_margarettae,31.787446,-85.884112
Quercus_margarettae,29.745953,-82.69255
Quercus_margarettae,32.100125,-88.44588
Quercus_margarettae,30.061222,-81.845761
Quercus_margarettae,30.347599,-84.29923
Quercus_margarettae,28.9833,-82.215388
Quercus_margarettae,28.731722,-82.442508
Quercus_margarettae,30.121228,-84.314924
Quercus_margarettae,29.527236,-97.684331
Quercus_margarettae,31.789527,-85.892935
Quercus_margarettae,35.20675,-78.977883
Quercus_margarettae,30.304104,-95.696457
Quercus_margarettae,35.202831,-78.976717
Quercus_margarettae,35.147765,-79.365906
Quercus_margarettae,30.411202,-84.08484
Quercus_margarettae,30.124728,-81.570244
Quercus_margarettae,30.416815,-84.135763
Quercus_margarettae,31.78607,-85.885078
Quercus_margarettae,29.68624,-82.002287
Quercus_margarettae,29.685995,-82.002218
Quercus_margarettae,32.587334,-86.544084
Quercus_margarettae,30.998801,-92.623753
Quercus_margarettae,30.346214,-84.285694
Quercus_margarettae,29.76277,-83.472231
Quercus_margarettae,29.678415,-82.014563
Quercus_margarettae,33.126329,-79.783346
Quercus_margarettae,30.350962,-84.27808
Quercus_margarettae,30.357097,-84.327993
Quercus_margarettae,31.802267,-89.383005
Quercus_margarettae,32.129867,-81.875405
Quercus_margarettae,30.557586,-95.676872
Quercus_margarettae,30.36252,-94.245773
Quercus_margarettae,31.736413,-94.187095
Quercus_margarettae,35.149451,-79.370885
Quercus_margarettae,34.923528,-79.353653
Quercus_margarettae,30.703489,-85.927826
Quercus_margarettae,30.200175,-81.867325
Quercus_margarettae,33.094234,-79.510799
Quercus_margarettae,36.016397,-78.986331
Quercus_margarettae,36.016331,-78.98562
Quercus_margarettae,36.016629,-78.984421
Quercus_margarettae,30.114247,-81.911208
Quercus_margarettae,35.464424,-76.896452
Quercus_margarettae,36.016572,-78.987303
Quercus_margarettae,31.577245,-81.960183
Quercus_margarettae,29.571603,-81.653847
Quercus_margarettae,31.789473,-85.881706
Quercus_margarettae,33.255644,-79.749399
Quercus_margarettae,34.228769,-77.863966
Quercus_margarettae,33.197612,-79.553688
Quercus_margarettae,29.233538,-98.797325
Quercus_margarettae,29.932922,-95.211154
Quercus_margarettae,34.414941,-78.143288
Quercus_margarettae,31.387501,-94.209442
Quercus_margarettae,30.666893,-82.333179
Quercus_margarettae,30.568467,-88.629211
Quercus_margarettae,28.447642,-81.537163
Quercus_margarettae,29.740414,-82.696964
