Species,Latitude,Longitude
Quercus_marilandica,30.145019,-97.288347
Quercus_marilandica,37.603567,-88.385684
Quercus_marilandica,30.573946,-96.370079
Quercus_marilandica,34.99195,-80.078308
Quercus_marilandica,32.848304,-95.99176
Quercus_marilandica,32.757816,-97.139564
Quercus_marilandica,33.211292,-97.065453
Quercus_marilandica,32.059077,-100.226328
Quercus_marilandica,32.511788,-97.375179
Quercus_marilandica,36.079961,-87.27092
Quercus_marilandica,33.000795,-98.232658
Quercus_marilandica,32.926493,-97.23006
Quercus_marilandica,40.909303,-73.536012
Quercus_marilandica,30.652045,-96.998948
Quercus_marilandica,32.92617,-97.230258
Quercus_marilandica,33.227317,-97.109092
Quercus_marilandica,32.690191,-97.191671
Quercus_marilandica,32.690172,-97.191727
Quercus_marilandica,40.909247,-73.53598
Quercus_marilandica,29.358125,-98.39241
Quercus_marilandica,32.925988,-97.230442
Quercus_marilandica,33.224556,-96.945289
Quercus_marilandica,37.598807,-88.706698
Quercus_marilandica,35.651456,-97.360959
Quercus_marilandica,39.102553,-88.805463
Quercus_marilandica,30.05138,-97.16187
Quercus_marilandica,33.234638,-97.121959
Quercus_marilandica,33.180775,-97.131308
Quercus_marilandica,36.070923,-94.238733
Quercus_marilandica,32.664746,-97.221144
Quercus_marilandica,34.587588,-80.118569
Quercus_marilandica,36.135971,-96.258011
Quercus_marilandica,33.132106,-97.154647
Quercus_marilandica,36.921937,-95.915978
Quercus_marilandica,30.370905,-96.985982
Quercus_marilandica,35.702039,-97.513387
Quercus_marilandica,39.867353,-74.603756
Quercus_marilandica,32.712385,-96.863981
Quercus_marilandica,31.216913,-97.456817
Quercus_marilandica,33.984716,-81.153914
Quercus_marilandica,33.652194,-96.932161
Quercus_marilandica,31.49004,-96.928956
Quercus_marilandica,33.226592,-96.948972
Quercus_marilandica,32.774754,-97.093509
Quercus_marilandica,33.213879,-97.151007
Quercus_marilandica,33.213915,-97.151443
Quercus_marilandica,32.663205,-97.222988
Quercus_marilandica,33.211045,-97.140328
Quercus_marilandica,33.213769,-97.151131
Quercus_marilandica,40.377983,-89.926044
Quercus_marilandica,41.814185,-88.050554
Quercus_marilandica,30.379367,-88.624358
Quercus_marilandica,32.640669,-97.225699
Quercus_marilandica,33.988973,-86.458395
Quercus_marilandica,32.852254,-97.486926
Quercus_marilandica,32.665906,-97.222205
Quercus_marilandica,35.441292,-97.460789
Quercus_marilandica,40.18762,-90.078753
Quercus_marilandica,31.262687,-89.337404
Quercus_marilandica,30.1427,-97.44915
Quercus_marilandica,30.841703,-96.98407
Quercus_marilandica,33.131632,-79.482765
Quercus_marilandica,35.141764,-79.391878
Quercus_marilandica,32.165846,-98.868706
Quercus_marilandica,36.092114,-78.992517
Quercus_marilandica,33.304047,-86.75849
Quercus_marilandica,33.380278,-97.028311
