Species,Latitude,Longitude
Quercus_mcvaughii,29.399673,-108.32922
Quercus_mcvaughii,29.79156,-108.80146
Quercus_mcvaughii,25.90519,-106.01791
Quercus_mcvaughii,27.06786,-106.61098
Quercus_mcvaughii,27.50816,-107.03317
Quercus_mcvaughii,28.37205,-109.03237
Quercus_mcvaughii,27.47202,-107.27213
Quercus_mcvaughii,25.187028,-105.696583
Quercus_mcvaughii,25.55338,-105.55683
Quercus_mcvaughii,23.513666,-105.406666
Quercus_mcvaughii,28.472777,-107.94111
Quercus_mcvaughii,27.892083,-107.878874
Quercus_mcvaughii,26.110611,-106.77725
Quercus_mcvaughii,29.843653,-108.976694
Quercus_mcvaughii,27.695917,-107.701278
Quercus_mcvaughii,28.283056,-108.0525
Quercus_mcvaughii,28.283056,-108.1525
Quercus_mcvaughii,28.37389,-109.02861
Quercus_mcvaughii,28.45,-109.139
Quercus_mcvaughii,30.933333,-109.966667
Quercus_mcvaughii,30.9333,-109.967
Quercus_mcvaughii,30.93,-109.97
Quercus_mcvaughii,30.93333,-109.96667
Quercus_mcvaughii,28.1,-108.283
Quercus_mcvaughii,27.1,-107.25
Quercus_mcvaughii,28.22,-108.2
Quercus_mcvaughii,28.21,-108.2
Quercus_mcvaughii,28.216667,-108.2
Quercus_mcvaughii,28.35,-108.033333
Quercus_mcvaughii,28.475771,-107.327904
Quercus_mcvaughii,28.166667,-108.216667
Quercus_mcvaughii,28.3167,-108.217
Quercus_mcvaughii,28.31667,-108.21667
Quercus_mcvaughii,23.983333,-104.966667
Quercus_mcvaughii,27.75,-107.666667
Quercus_mcvaughii,28.32704,-108.812007
Quercus_mcvaughii,28.333826,-109.034858
Quercus_mcvaughii,27.35,-108.2
