Species,Latitude,Longitude
Quercus_mexicana,19.405012,-98.471703
Quercus_mexicana,25.337315,-100.969103
Quercus_mexicana,17.688347,-97.437935
Quercus_mexicana,17.68832,-97.438141
Quercus_mexicana,19.47535,-99.281758
Quercus_mexicana,22.033225,-100.935919
Quercus_mexicana,25.33795,-100.974053
Quercus_mexicana,23.874574,-99.781238
Quercus_mexicana,24.240987,-99.915476
Quercus_mexicana,24.227862,-99.963368
Quercus_mexicana,24.230428,-99.96406
Quercus_mexicana,24.228899,-99.963441
Quercus_mexicana,24.228716,-99.962819
Quercus_mexicana,24.237836,-99.947348
Quercus_mexicana,24.233928,-99.953399
Quercus_mexicana,24.24531,-99.936662
Quercus_mexicana,24.238761,-99.946511
Quercus_mexicana,24.235958,-99.949322
Quercus_mexicana,24.231712,-99.96354
Quercus_mexicana,24.230445,-99.961102
Quercus_mexicana,24.2385,-99.946897
Quercus_mexicana,22.096125,-100.653655
Quercus_mexicana,23.75002,-99.808975
Quercus_mexicana,19.8442,-97.75545
Quercus_mexicana,19.8442,-97.7554
Quercus_mexicana,19.884128,-98.04065
Quercus_mexicana,25.061149,-100.157118
Quercus_mexicana,22.06837,-100.640627
Quercus_mexicana,20.93972,-99.25424
Quercus_mexicana,20.842583,-98.918333
Quercus_mexicana,23.98808,-99.6847
Quercus_mexicana,21.264582,-99.683306
Quercus_mexicana,20.659167,-99.279167
Quercus_mexicana,20.645,-99.279722
Quercus_mexicana,20.945278,-99.344167
Quercus_mexicana,20.638056,-99.279722
Quercus_mexicana,20.169444,-98.729167
Quercus_mexicana,20.008889,-98.306389
Quercus_mexicana,19.951944,-98.324167
Quercus_mexicana,19.968333,-98.289167
Quercus_mexicana,20.219444,-98.220278
Quercus_mexicana,20.158611,-98.6625
Quercus_mexicana,24.035277,-99.831944
Quercus_mexicana,23.209722,-99.304999
Quercus_mexicana,24.032944,-99.584805
Quercus_mexicana,20.804722,-99.604639
Quercus_mexicana,21.176833,-99.706111
Quercus_mexicana,20.83825,-99.598361
Quercus_mexicana,20.952861,-100.138
Quercus_mexicana,20.945417,-100.126722
Quercus_mexicana,21.35575,-101.593111
Quercus_mexicana,20.180278,-98.570833
Quercus_mexicana,19.939444,-99.384444
Quercus_mexicana,20.183889,-99.518889
Quercus_mexicana,20.283333,-99.533333
Quercus_mexicana,19.8275,-99.359444
Quercus_mexicana,21.364139,-101.595361
Quercus_mexicana,20.824722,-99.256111
Quercus_mexicana,20.960278,-99.203889
Quercus_mexicana,20.689167,-99.135833
Quercus_mexicana,20.805278,-99.202778
Quercus_mexicana,20.038333,-99.445278
Quercus_mexicana,20.668333,-99.137222
Quercus_mexicana,20.786389,-99.203611
Quercus_mexicana,20.789167,-99.323889
Quercus_mexicana,20.841667,-99.256389
Quercus_mexicana,20.858611,-99.224722
Quercus_mexicana,20.92,-99.338333
Quercus_mexicana,20.171944,-98.719722
Quercus_mexicana,20.925278,-99.535
Quercus_mexicana,21.1775,-99.706667
Quercus_mexicana,20.848056,-99.249722
Quercus_mexicana,20.827778,-99.256389
Quercus_mexicana,20.178056,-98.2525
Quercus_mexicana,20.116667,-98.233333
Quercus_mexicana,20.125,-99.975
Quercus_mexicana,20.143611,-99.955278
Quercus_mexicana,23.935278,-99.7325
Quercus_mexicana,19.888056,-98.41
Quercus_mexicana,20.879444,-99.199167
Quercus_mexicana,22.095053,-100.659925
Quercus_mexicana,22.095833,-100.659722
Quercus_mexicana,20.905278,-99.499167
Quercus_mexicana,20.113889,-98.316111
Quercus_mexicana,20.298361,-98.345278
Quercus_mexicana,20.113944,-98.316333
Quercus_mexicana,20.005278,-100.130833
Quercus_mexicana,20.154389,-98.692222
Quercus_mexicana,20.675833,-98.753889
Quercus_mexicana,25.174167,-100.123611
Quercus_mexicana,25.339167,-100.258611
Quercus_mexicana,20.819139,-99.583583
Quercus_mexicana,20.879278,-99.66125
Quercus_mexicana,24.394167,-99.838333
Quercus_mexicana,17.653833,-97.560083
Quercus_mexicana,21.384722,-99.146389
Quercus_mexicana,21.384444,-99.146389
Quercus_mexicana,20.807306,-99.259917
Quercus_mexicana,24.48,-99.68
Quercus_mexicana,25.244167,-100.912222
Quercus_mexicana,21.140833,-98.967778
Quercus_mexicana,20.161944,-98.685
Quercus_mexicana,22.633889,-101.134167
Quercus_mexicana,25.326389,-100.975
Quercus_mexicana,20.350278,-98.492778
Quercus_mexicana,20.442778,-98.526111
Quercus_mexicana,17.3,-97.08167
Quercus_mexicana,20.361667,-98.521667
Quercus_mexicana,22.643978,-100.420378
Quercus_mexicana,25.334444,-100.958333
Quercus_mexicana,25.340278,-100.953611
Quercus_mexicana,25.336389,-100.941389
Quercus_mexicana,19.402778,-98.436667
Quercus_mexicana,20.19568,-98.717338
Quercus_mexicana,20.889167,-99.2025
Quercus_mexicana,19.407778,-98.543889
Quercus_mexicana,25.293056,-101.306111
Quercus_mexicana,16.807778,-97.053056
Quercus_mexicana,20.942087,-99.558411
Quercus_mexicana,21.073889,-99.175
Quercus_mexicana,22.7152187543962,-100.39541573068163
Quercus_mexicana,21.236606,-99.404186
Quercus_mexicana,24.520833,-99.975
Quercus_mexicana,18.934167,-98.118611
Quercus_mexicana,20.191667,-98.708333
Quercus_mexicana,22.596667,-100.454444
Quercus_mexicana,22.59667,-100.45444
Quercus_mexicana,18.992222,-98.161111
Quercus_mexicana,20.215,-98.731667
Quercus_mexicana,20.752778,-98.712778
Quercus_mexicana,20.068611,-98.748611
Quercus_mexicana,20.170556,-98.730833
Quercus_mexicana,22.041667,-100.608333
