Species,Latitude,Longitude
Quercus_michauxii,29.72587,-82.462505
Quercus_michauxii,30.499713,-84.317454
Quercus_michauxii,29.715078,-82.391663
Quercus_michauxii,30.566732,-88.625838
Quercus_michauxii,30.383017,-81.498253
Quercus_michauxii,30.435639,-84.847447
Quercus_michauxii,30.351255,-90.034935
Quercus_michauxii,28.669633,-82.402267
Quercus_michauxii,29.47384,-82.298079
Quercus_michauxii,30.471108,-94.350073
Quercus_michauxii,30.135092,-95.171347
Quercus_michauxii,36.131261,-79.160233
Quercus_michauxii,33.154586,-89.048999
Quercus_michauxii,29.646056,-82.346917
Quercus_michauxii,29.643423,-82.354528
Quercus_michauxii,35.73618,-79.118975
Quercus_michauxii,29.711203,-82.45533
Quercus_michauxii,30.369847,-84.663003
Quercus_michauxii,29.711672,-82.456528
Quercus_michauxii,35.69221,-79.033379
Quercus_michauxii,36.314632,-76.249207
Quercus_michauxii,35.449326,-78.264084
Quercus_michauxii,30.23202,-84.303348
Quercus_michauxii,33.219128,-80.347252
Quercus_michauxii,34.99348,-78.836075
Quercus_michauxii,29.669094,-81.761894
Quercus_michauxii,30.555252,-90.956607
Quercus_michauxii,30.487247,-90.828
Quercus_michauxii,28.703327,-82.441598
Quercus_michauxii,34.823544,-77.154081
Quercus_michauxii,30.571718,-91.167976
Quercus_michauxii,30.474612,-90.129119
Quercus_michauxii,35.974527,-79.101581
Quercus_michauxii,30.634664,-88.597558
Quercus_michauxii,30.359783,-90.030109
Quercus_michauxii,30.390883,-88.782653
Quercus_michauxii,29.637377,-82.404003
Quercus_michauxii,31.203345,-92.581787
Quercus_michauxii,30.348721,-82.685089
Quercus_michauxii,32.853547,-80.084043
Quercus_michauxii,30.178685,-81.757699
Quercus_michauxii,30.143188,-95.096313
Quercus_michauxii,29.867825,-92.136972
Quercus_michauxii,30.569467,-88.620369
Quercus_michauxii,30.575504,-94.393451
Quercus_michauxii,30.191588,-81.562813
Quercus_michauxii,35.62357,-78.146765
Quercus_michauxii,30.839103,-94.163811
Quercus_michauxii,30.474549,-94.342555
Quercus_michauxii,30.25458,-93.871863
Quercus_michauxii,35.986441,-79.006167
Quercus_michauxii,30.533645,-91.087804
Quercus_michauxii,28.609883,-82.474883
Quercus_michauxii,28.609962,-82.474838
Quercus_michauxii,30.520998,-91.006907
Quercus_michauxii,33.596663,-85.010142
