Species,Latitude,Longitude
Quercus_minima,28.603323,-81.155562
Quercus_minima,28.238797,-82.580346
Quercus_minima,28.490499,-81.113962
Quercus_minima,28.497598,-81.120814
Quercus_minima,30.47867,-81.503425
Quercus_minima,30.119745,-81.894312
Quercus_minima,30.121589,-81.889687
Quercus_minima,30.122733,-81.884963
Quercus_minima,30.227495,-81.716592
Quercus_minima,27.185249,-81.337779
Quercus_minima,30.741062,-82.075469
Quercus_minima,30.708703,-82.073211
Quercus_minima,26.296799,-81.815415
Quercus_minima,29.5431,-81.262871
Quercus_minima,29.543173,-81.262999
Quercus_minima,30.40038,-81.923233
Quercus_minima,25.748703,-80.203396
Quercus_minima,32.981346,-79.788371
Quercus_minima,29.919392,-81.382164
Quercus_minima,29.643194,-81.260383
Quercus_minima,27.584087,-81.045306
Quercus_minima,29.643197,-81.261006
Quercus_minima,29.817733,-82.068139
Quercus_minima,26.710148,-81.664329
Quercus_minima,29.696011,-81.460275
Quercus_minima,26.456358,-81.562414
Quercus_minima,29.17786,-82.579369
Quercus_minima,28.129742,-81.021733
Quercus_minima,27.557281,-81.5269
Quercus_minima,26.870479,-81.61008
Quercus_minima,30.845892,-88.33774
Quercus_minima,29.669384,-82.310418
Quercus_minima,26.16582,-81.798158
Quercus_minima,26.740688,-81.680819
Quercus_minima,25.998847,-81.607414
Quercus_minima,26.740809,-81.681282
Quercus_minima,26.099903,-81.613251
Quercus_minima,27.070742,-82.2809
Quercus_minima,25.621095,-80.387672
Quercus_minima,26.989279,-81.961988
Quercus_minima,27.856556,-81.152649
Quercus_minima,26.234841,-80.94433
Quercus_minima,25.979661,-81.371501
Quercus_minima,26.732201,-82.064421
Quercus_minima,25.394385,-80.586527
Quercus_minima,27.22705,-80.25702
Quercus_minima,29.985186,-81.937461
Quercus_minima,29.533279,-81.214408
Quercus_minima,33.052945,-79.703574
Quercus_minima,26.864961,-81.93159
Quercus_minima,25.972422,-80.254495
Quercus_minima,26.551588,-82.093517
Quercus_minima,28.353056,-81.202013
Quercus_minima,28.486372,-81.099323
Quercus_minima,27.042931,-81.382408
Quercus_minima,30.277292,-82.496444
Quercus_minima,27.55757,-81.417699
Quercus_minima,29.662119,-82.276961
Quercus_minima,27.810539,-81.490483
Quercus_minima,27.219668,-81.381526
Quercus_minima,30.424625,-86.836119
Quercus_minima,26.491557,-81.533585
Quercus_minima,26.441861,-81.836131
Quercus_minima,26.150284,-81.548416
Quercus_minima,26.445583,-81.839255
Quercus_minima,26.442469,-81.837276
Quercus_minima,26.816905,-81.973537
Quercus_minima,28.498474,-80.997629
Quercus_minima,25.391713,-80.603067
Quercus_minima,27.181827,-81.355191
Quercus_minima,28.118617,-81.435197
Quercus_minima,26.452789,-81.842564
Quercus_minima,26.452692,-81.561494
Quercus_minima,27.242276,-82.335164
Quercus_minima,27.827469,-81.607842
Quercus_minima,27.808162,-81.492067
Quercus_minima,30.371737,-84.445628
Quercus_minima,30.3616,-84.2894
Quercus_minima,26.876585,-81.82335
Quercus_minima,26.711194,-81.66393
Quercus_minima,27.326417,-81.438468
Quercus_minima,28.4994,-80.989331
Quercus_minima,29.645337,-81.256547
Quercus_minima,29.641656,-81.295631
Quercus_minima,34.300911,-77.845359
Quercus_minima,30.256727,-81.512924
Quercus_minima,30.093427,-85.040848
Quercus_minima,28.506993,-80.980804
Quercus_minima,30.352673,-84.277428
Quercus_minima,25.651572,-80.400447
Quercus_minima,30.357342,-84.328953
Quercus_minima,28.704334,-81.123679
Quercus_minima,27.633275,-81.324611
Quercus_minima,28.12505,-81.43619
Quercus_minima,29.627164,-82.314788
Quercus_minima,30.192406,-81.86785
Quercus_minima,30.477736,-81.505981
Quercus_minima,26.886142,-81.857479
Quercus_minima,33.039754,-79.713981
Quercus_minima,26.446483,-81.82415
Quercus_minima,26.442185,-81.835108
Quercus_minima,26.44227,-81.836957
Quercus_minima,26.442183,-81.836937
Quercus_minima,28.107889,-81.428215
Quercus_minima,26.657818,-81.748782
Quercus_minima,28.498161,-81.129387
Quercus_minima,30.123694,-81.558992
Quercus_minima,26.828833,-81.493125
Quercus_minima,26.658254,-81.749324
Quercus_minima,26.65793,-81.749682
Quercus_minima,28.483165,-81.113047
Quercus_minima,34.567454,-78.496412
Quercus_minima,26.657994,-81.750059
Quercus_minima,26.657921,-81.749026
Quercus_minima,30.117241,-85.022673
Quercus_minima,30.041061,-84.959022
Quercus_minima,28.260955,-81.241302
Quercus_minima,29.672969,-81.24305
Quercus_minima,26.873058,-80.0615
Quercus_minima,31.238737,-81.499819
Quercus_minima,29.838125,-81.851806
Quercus_minima,30.26439,-85.902592
Quercus_minima,28.057875,-81.402625
Quercus_minima,29.733958,-82.217338
Quercus_minima,28.046662,-81.401888
Quercus_minima,28.11859,-81.435161
Quercus_minima,28.092969,-81.399332
Quercus_minima,28.0967,-81.418579
Quercus_minima,28.07559,-81.395234
Quercus_minima,30.020861,-82.005408
Quercus_minima,28.093628,-81.018568
Quercus_minima,27.948606,-81.143231
Quercus_minima,28.648608,-82.571808
Quercus_minima,27.675767,-81.309745
Quercus_minima,29.378226,-83.045536
Quercus_minima,30.709285,-86.87683
Quercus_minima,29.641758,-81.260811
Quercus_minima,30.425292,-86.755531
Quercus_minima,29.7789,-83.3078
Quercus_minima,29.6989,-83.3711
Quercus_minima,30.424445,-86.769444
Quercus_minima,26.9658,-81.8708
Quercus_minima,30.274833,-85.936194
Quercus_minima,26.9381,-81.3033
Quercus_minima,26.9981,-81.9753
Quercus_minima,30.104284,-85.02545
Quercus_minima,29.654403,-82.276362
Quercus_minima,28.2828,-82.0256
Quercus_minima,27.3333,-82.25
Quercus_minima,27.0472,-82.0028
Quercus_minima,29.2091,-82.038433
Quercus_minima,30.289194,-84.826444
Quercus_minima,27.1175,-82.3278
Quercus_minima,30.2892,-84.8264
Quercus_minima,30.4291,-85.2905
Quercus_minima,27.83288,-81.46983
Quercus_minima,27.65421,-81.57473
Quercus_minima,26.7377,-81.88953
Quercus_minima,26.7377,-81.8895
Quercus_minima,30.2076,-83.7358
Quercus_minima,30.2786,-83.6862
Quercus_minima,30.1786,-83.7962
Quercus_minima,28.1094,-80.6767
Quercus_minima,29.765,-83.3367
Quercus_minima,33.2125,-79.1305
Quercus_minima,30.037427,-84.387677
Quercus_minima,30.131217,-84.08955
Quercus_minima,33.5541,-79.9314
Quercus_minima,30.044,-84.4674
Quercus_minima,30.1672,-84.9772
Quercus_minima,30.755167,-81.744
Quercus_minima,30.373,-86.300183
Quercus_minima,30.177674,-84.439897
Quercus_minima,30.212096,-84.446764
Quercus_minima,27.0761,-82.3356
Quercus_minima,27.076111,-82.335556
Quercus_minima,30.66027,-86.70527
Quercus_minima,33.3235,-79.0736
Quercus_minima,27.3589,-81.435
Quercus_minima,30.66222,-86.71638
Quercus_minima,30.43694,-86.77888
Quercus_minima,30.65777,-86.70722
Quercus_minima,31.11,-85.08
Quercus_minima,30.803095,-81.546485
Quercus_minima,30.57639,-87.50389
Quercus_minima,30.440185,-86.136052
Quercus_minima,26.64027,-81.8725
Quercus_minima,25.813153,-80.191714
Quercus_minima,25.784468,-80.224901
Quercus_minima,27.357644,-81.31596
Quercus_minima,26.138336,-80.131363
Quercus_minima,32.38666,-80.56083
Quercus_minima,30.18944,-82.63944
Quercus_minima,29.725768,-84.983243
Quercus_minima,28.85277,-81.68527
Quercus_minima,28.852768,-81.685353
Quercus_minima,30.39255,-81.430123
Quercus_minima,30.33194,-81.65583
Quercus_minima,28.0,-82.0
Quercus_minima,30.57575,-85.016864
Quercus_minima,29.725768,-84.983244
Quercus_minima,30.789805,-81.565674
