Species,Latitude,Longitude
Quercus_mohriana,32.230352,-101.495624
Quercus_mohriana,32.231935,-99.885149
Quercus_mohriana,34.952807,-101.668537
Quercus_mohriana,32.230367,-101.495537
Quercus_mohriana,32.229917,-101.4952
Quercus_mohriana,29.177331,-102.546165
Quercus_mohriana,30.206896,-101.35691
Quercus_mohriana,30.48224,-102.93131
Quercus_mohriana,33.515911,-101.239303
Quercus_mohriana,33.513891,-101.807325
Quercus_mohriana,33.515239,-101.238483
Quercus_mohriana,33.515408,-101.238795
Quercus_mohriana,34.396045,-101.129297
Quercus_mohriana,35.610234,-99.767688
Quercus_mohriana,29.091667,-101.875
Quercus_mohriana,30.2808,-103.4422
Quercus_mohriana,34.88167,-101.65694
Quercus_mohriana,28.46365,-102.075117
Quercus_mohriana,28.27806,-102.045
Quercus_mohriana,28.471111,-102.072222
Quercus_mohriana,28.4711,-102.072
Quercus_mohriana,28.45,-102.066667
Quercus_mohriana,28.558659987167758,-102.0601514540998
Quercus_mohriana,28.283056,-102.0425
Quercus_mohriana,28.450278,-102.066944
Quercus_mohriana,28.475278,-102.074167
Quercus_mohriana,28.46667,-102.06667
Quercus_mohriana,28.47111,-102.07222
Quercus_mohriana,28.28306,-102.0425
Quercus_mohriana,28.9071,-102.5592
Quercus_mohriana,29.0164,-102.675
Quercus_mohriana,32.18806,-100.02806
Quercus_mohriana,28.612781,-102.803061
Quercus_mohriana,28.66667,-102.25
Quercus_mohriana,29.191667,-108.141111
Quercus_mohriana,34.442693,-100.997841
Quercus_mohriana,35.518611,-100.365672
Quercus_mohriana,28.716667,-102.516667
Quercus_mohriana,28.71667,-102.51667
Quercus_mohriana,36.839722,-102.961667
Quercus_mohriana,34.795492,-101.69346
Quercus_mohriana,34.905464,-101.361201
Quercus_mohriana,34.908587,-101.36278
Quercus_mohriana,29.025,-102.125833
Quercus_mohriana,29.025,-102.125
Quercus_mohriana,29.097222,-101.830556
Quercus_mohriana,29.09722,-101.83056
Quercus_mohriana,29.025,-102.12583
Quercus_mohriana,29.025,-102.12556
Quercus_mohriana,28.55829000225892,-102.05965143990097
Quercus_mohriana,28.46667,-102.075
Quercus_mohriana,28.56083,-102.05333
Quercus_mohriana,28.458333,-102.066667
Quercus_mohriana,36.586944,-100.295833
Quercus_mohriana,34.4625,-101.109722
Quercus_mohriana,34.441403,-101.084901
Quercus_mohriana,34.4625,-101.11389
Quercus_mohriana,34.46111,-101.11528
Quercus_mohriana,28.45833,-102.06667
Quercus_mohriana,34.4625,-101.10972
Quercus_mohriana,35.89242,-103.68667
Quercus_mohriana,35.27212,-100.60386
Quercus_mohriana,35.35715,-100.44025
Quercus_mohriana,36.81373,-103.02349
Quercus_mohriana,34.99145,-103.32806
Quercus_mohriana,36.84273,-103.02348
Quercus_mohriana,36.84483,-103.71789
Quercus_mohriana,35.371667,-100.529183
Quercus_mohriana,34.47402,-101.11059
Quercus_mohriana,36.13851,-103.95487
Quercus_mohriana,29.183333,-102.783333
Quercus_mohriana,29.183333,-102.8
Quercus_mohriana,27.128611,-102.416667
Quercus_mohriana,27.12861,-102.41667
Quercus_mohriana,29.18333,-102.78333
Quercus_mohriana,29.19167,-102.8
Quercus_mohriana,29.2,-102.758333
Quercus_mohriana,29.208333,-102.75
Quercus_mohriana,29.2,-102.75
Quercus_mohriana,29.316361,-102.025147
Quercus_mohriana,29.425,-102.091667
Quercus_mohriana,29.20833,-102.75
Quercus_mohriana,29.41667,-102.08333
Quercus_mohriana,29.2,-102.75833
Quercus_mohriana,34.47404,-101.12819
Quercus_mohriana,28.278056,-102.045
Quercus_mohriana,29.123056,-101.590556
Quercus_mohriana,29.12306,-101.59056
Quercus_mohriana,28.733333,-102.516667
Quercus_mohriana,28.73333,-102.51667
Quercus_mohriana,34.90133,-101.36278
Quercus_mohriana,33.606817,-105.645531
Quercus_mohriana,34.967778,-102.6075
Quercus_mohriana,35.091912,-103.042168
Quercus_mohriana,36.81373,-103.04161
Quercus_mohriana,33.518162,-98.497831
Quercus_mohriana,29.3,-102.333333
Quercus_mohriana,33.66,-101.237778
Quercus_mohriana,27.6,-102.408333
Quercus_mohriana,31.451111,-104.473333
Quercus_mohriana,31.974444,-104.754722
Quercus_mohriana,27.6,-102.40833
Quercus_mohriana,31.9833,-104.7776
Quercus_mohriana,34.78944,-101.48611
Quercus_mohriana,34.942778,-101.700555
Quercus_mohriana,33.079116,-105.71205
Quercus_mohriana,31.30667,-104.93611
Quercus_mohriana,30.2925,-102.699444
Quercus_mohriana,30.335597,-102.434194
Quercus_mohriana,30.324572,-103.439653
Quercus_mohriana,30.522136,-102.553461
Quercus_mohriana,30.349668,-102.436604
Quercus_mohriana,34.850172,-101.418704
Quercus_mohriana,30.480165,-102.114578
Quercus_mohriana,31.038074,-101.582705
Quercus_mohriana,30.783431,-104.22941
Quercus_mohriana,27.880278,-101.519722
Quercus_mohriana,32.35486,-100.40594
Quercus_mohriana,32.29665,-99.79675
Quercus_mohriana,34.81,-101.49139
Quercus_mohriana,36.93208,-102.963262
Quercus_mohriana,35.218634,-99.640097
Quercus_mohriana,28.310833,-101.855
Quercus_mohriana,28.31083,-101.855
Quercus_mohriana,28.42,-101.92
Quercus_mohriana,29.177055,-101.968395
Quercus_mohriana,28.15111,-101.75306
Quercus_mohriana,33.184518,-102.549629
Quercus_mohriana,36.310491,-99.543342
Quercus_mohriana,26.936163,-98.135283
Quercus_mohriana,32.237463,-101.469525
Quercus_mohriana,32.468479,-100.411426
Quercus_mohriana,32.30349,-100.406052
Quercus_mohriana,32.47095,-100.40594
Quercus_mohriana,32.470952,-100.405938
Quercus_mohriana,31.887367,-100.29176
Quercus_mohriana,34.525,-102.408333
Quercus_mohriana,30.231604,-100.960079
Quercus_mohriana,32.64244,-99.678896
Quercus_mohriana,32.458998,-99.720984
