Species,Latitude,Longitude
Quercus_mongolica,36.671531,127.519538
Quercus_mongolica,44.103597,133.326399
Quercus_mongolica,43.23693,132.783187
Quercus_mongolica,42.7951,133.054033
Quercus_mongolica,43.496973,131.814322
Quercus_mongolica,43.479013,131.799876
Quercus_mongolica,43.497307,131.814297
Quercus_mongolica,43.2343,131.3674
Quercus_mongolica,43.12021,132.792635
Quercus_mongolica,30.144705,118.166206
Quercus_mongolica,43.323512,132.335372
Quercus_mongolica,43.18391,133.288482
Quercus_mongolica,44.530695,132.659934
Quercus_mongolica,43.171616,131.899862
Quercus_mongolica,43.088813,131.945413
Quercus_mongolica,43.08911,131.947979
Quercus_mongolica,43.120233,131.93828
Quercus_mongolica,36.201944,129.289722
Quercus_mongolica,36.2019,129.29
Quercus_mongolica,43.218978,131.989352
Quercus_mongolica,43.697177,132.156855
Quercus_mongolica,43.028625,131.90358
Quercus_mongolica,36.167222,128.979444
Quercus_mongolica,36.1672,128.979
Quercus_mongolica,43.84855,135.4946
Quercus_mongolica,37.607319,126.445643
Quercus_mongolica,37.696953,126.297729
Quercus_mongolica,42.607331,130.930061
Quercus_mongolica,43.021873,131.898425
Quercus_mongolica,43.020366,131.849175
Quercus_mongolica,44.274128,135.08966
Quercus_mongolica,44.338062,135.324044
Quercus_mongolica,44.173531,135.602359
Quercus_mongolica,44.173081,135.600599
Quercus_mongolica,44.208356,135.540409
Quercus_mongolica,44.172797,135.605416
Quercus_mongolica,43.224396,131.99216
Quercus_mongolica,37.720298,126.440491
Quercus_mongolica,43.056081,133.560038
Quercus_mongolica,44.76705,132.054505
Quercus_mongolica,45.03183,136.6397
Quercus_mongolica,34.511236,126.333811
Quercus_mongolica,40.147449,116.92997
Quercus_mongolica,35.212278,127.276722
Quercus_mongolica,36.257944,129.039361
Quercus_mongolica,38.174861,127.236722
Quercus_mongolica,38.179611,128.260139
Quercus_mongolica,37.59775,128.625778
Quercus_mongolica,37.67155,128.686181
Quercus_mongolica,36.461056,127.537833
Quercus_mongolica,37.201236,128.488708
Quercus_mongolica,38.040556,128.273833
Quercus_mongolica,37.380556,128.526394
Quercus_mongolica,38.252778,128.5615
Quercus_mongolica,36.632917,129.2115
Quercus_mongolica,38.474028,128.399722
