Species,Latitude,Longitude
Quercus_montana,40.596591,-74.904199
Quercus_montana,40.256146,-77.102049
Quercus_montana,35.968187,-81.110314
Quercus_montana,37.929145,-78.334486
Quercus_montana,40.368555,-74.612956
Quercus_montana,40.610292,-74.536823
Quercus_montana,42.611448,-72.465345
Quercus_montana,39.776336,-75.142263
Quercus_montana,42.306821,-72.479298
Quercus_montana,39.236195,-75.99267
Quercus_montana,42.581425,-71.544425
Quercus_montana,41.720024,-81.170231
Quercus_montana,41.784852,-73.617
Quercus_montana,42.609742,-72.466982
Quercus_montana,42.616567,-72.460715
Quercus_montana,42.57987,-71.548338
Quercus_montana,41.785066,-73.620558
Quercus_montana,42.306973,-72.475676
Quercus_montana,39.626778,-79.86203
Quercus_montana,40.997409,-74.47857
Quercus_montana,39.655416,-76.779941
Quercus_montana,41.49447,-73.950395
Quercus_montana,42.355977,-71.4432
Quercus_montana,40.783633,-74.540556
Quercus_montana,40.634665,-74.455294
Quercus_montana,40.873866,-73.947808
Quercus_montana,39.633676,-82.562444
Quercus_montana,40.608166,-82.304708
Quercus_montana,39.440262,-82.129958
Quercus_montana,34.102233,-89.482422
Quercus_montana,42.1955,-71.082511
Quercus_montana,42.264961,-72.346399
Quercus_montana,42.5969,-70.771889
Quercus_montana,42.604015,-72.531693
Quercus_montana,36.077386,-79.025969
Quercus_montana,42.286135,-72.491818
Quercus_montana,42.289074,-72.488907
Quercus_montana,42.721075,-71.617395
Quercus_montana,42.1862,-72.664331
Quercus_montana,39.353297,-82.010953
Quercus_montana,41.25436,-72.541765
Quercus_montana,39.269208,-77.395247
Quercus_montana,40.436112,-74.266357
Quercus_montana,39.333371,-77.677662
Quercus_montana,39.339531,-82.067856
Quercus_montana,40.439667,-74.27164
Quercus_montana,38.866378,-76.961113
Quercus_montana,40.415473,-77.11866
Quercus_montana,39.716374,-80.115614
Quercus_montana,40.156486,-74.129244
Quercus_montana,38.866546,-76.961099
Quercus_montana,40.705929,-79.560747
Quercus_montana,42.299824,-72.522591
Quercus_montana,37.545686,-77.565233
Quercus_montana,40.27753,-77.416277
Quercus_montana,35.153392,-85.317558
Quercus_montana,41.666217,-81.039433
Quercus_montana,36.508472,-82.610351
Quercus_montana,35.152528,-85.318695
Quercus_montana,35.008225,-85.362525
Quercus_montana,41.997938,-74.10987
Quercus_montana,42.51713,-72.50903
Quercus_montana,35.495305,-82.605864
Quercus_montana,36.079517,-86.314964
Quercus_montana,42.299066,-72.574658
Quercus_montana,35.701295,-83.040961
Quercus_montana,40.085759,-75.464197
Quercus_montana,40.668547,-74.401306
Quercus_montana,35.181931,-85.678543
Quercus_montana,42.299377,-72.516495
Quercus_montana,42.127251,-77.071358
Quercus_montana,40.406455,-73.981347
Quercus_montana,40.404715,-73.980482
Quercus_montana,42.299611,-72.459666
Quercus_montana,40.606545,-74.108054
Quercus_montana,42.435717,-71.106253
Quercus_montana,33.988678,-86.458206
Quercus_montana,40.612812,-75.20542
Quercus_montana,39.680691,-76.773013
Quercus_montana,40.405928,-73.981575
Quercus_montana,42.296388,-72.507927
Quercus_montana,36.060587,-86.800496
Quercus_montana,37.390681,-77.583198
Quercus_montana,34.746575,-86.51718
Quercus_montana,42.265827,-72.22885
Quercus_montana,41.247264,-81.542814
Quercus_montana,39.64353,-76.732887
Quercus_montana,40.222784,-77.188821
Quercus_montana,40.6816,-74.379289
Quercus_montana,40.603997,-75.363975
Quercus_montana,42.096438,-76.872461
Quercus_montana,42.094119,-76.872909
Quercus_montana,42.096414,-76.872535
Quercus_montana,35.008228,-85.362612
Quercus_montana,42.215983,-73.826937
Quercus_montana,40.421096,-74.467533
Quercus_montana,39.62547,-76.712242
Quercus_montana,39.623613,-76.699897
Quercus_montana,39.62173,-76.70852
Quercus_montana,42.080863,-76.918515
Quercus_montana,40.200852,-74.305629
Quercus_montana,42.360746,-72.470588
Quercus_montana,38.994416,-77.251492
Quercus_montana,42.289468,-72.640718
Quercus_montana,35.977045,-79.11023
Quercus_montana,42.435828,-71.10623
Quercus_montana,40.492184,-74.433677
