Species,Latitude,Longitude
Quercus_muehlenbergii,29.572713,-98.575478
Quercus_muehlenbergii,39.339008,-82.01046
Quercus_muehlenbergii,39.70788,-89.627366
Quercus_muehlenbergii,37.66517,-89.213531
Quercus_muehlenbergii,40.147852,-89.493009
Quercus_muehlenbergii,43.236844,-79.92839
Quercus_muehlenbergii,39.367358,-84.152005
Quercus_muehlenbergii,38.155935,-90.188327
Quercus_muehlenbergii,43.007217,-76.109863
Quercus_muehlenbergii,36.594571,-94.384103
Quercus_muehlenbergii,43.006329,-76.093735
Quercus_muehlenbergii,37.056693,-88.112272
Quercus_muehlenbergii,41.181421,-82.108462
Quercus_muehlenbergii,41.96388,-87.633717
Quercus_muehlenbergii,44.253029,-76.906273
Quercus_muehlenbergii,42.97954,-85.833062
Quercus_muehlenbergii,42.984253,-85.831437
Quercus_muehlenbergii,39.707519,-89.626703
Quercus_muehlenbergii,39.707775,-89.626876
Quercus_muehlenbergii,43.380268,-79.895109
Quercus_muehlenbergii,42.265333,-82.979286
Quercus_muehlenbergii,43.25242,-81.852084
Quercus_muehlenbergii,40.501129,-83.868951
Quercus_muehlenbergii,38.090136,-85.844171
Quercus_muehlenbergii,39.868907,-89.618694
Quercus_muehlenbergii,43.11855,-79.06413
Quercus_muehlenbergii,43.119968,-79.066068
Quercus_muehlenbergii,43.11872,-79.06412
Quercus_muehlenbergii,42.999225,-76.106011
Quercus_muehlenbergii,39.69767,-89.597202
Quercus_muehlenbergii,33.224492,-96.940822
Quercus_muehlenbergii,32.967243,-96.659232
Quercus_muehlenbergii,43.007179,-76.110687
Quercus_muehlenbergii,30.372429,-98.160895
Quercus_muehlenbergii,33.305434,-86.75741
Quercus_muehlenbergii,44.212725,-76.68196
Quercus_muehlenbergii,41.206383,-81.540259
Quercus_muehlenbergii,38.853463,-83.338582
Quercus_muehlenbergii,31.198299,-97.467065
Quercus_muehlenbergii,38.558717,-90.42855
Quercus_muehlenbergii,32.884474,-97.282373
Quercus_muehlenbergii,29.459537,-98.456966
Quercus_muehlenbergii,32.995628,-96.699452
Quercus_muehlenbergii,42.212868,-82.79065
Quercus_muehlenbergii,32.989642,-96.700993
Quercus_muehlenbergii,33.224511,-96.940921
Quercus_muehlenbergii,29.584703,-98.543915
Quercus_muehlenbergii,37.583303,-89.439902
Quercus_muehlenbergii,43.11952,-79.06541
Quercus_muehlenbergii,43.12567,-79.05884
Quercus_muehlenbergii,32.847464,-96.702856
Quercus_muehlenbergii,33.258648,-96.650843
Quercus_muehlenbergii,32.84758,-96.712905
Quercus_muehlenbergii,36.230206,-94.964966
Quercus_muehlenbergii,36.076499,-95.991478
Quercus_muehlenbergii,32.966397,-96.659997
Quercus_muehlenbergii,41.043134,-81.26741
Quercus_muehlenbergii,32.998405,-96.703339
Quercus_muehlenbergii,35.619105,-96.061844
Quercus_muehlenbergii,32.993525,-96.701953
Quercus_muehlenbergii,35.68885,-97.506527
Quercus_muehlenbergii,35.916379,-95.25016
Quercus_muehlenbergii,32.623572,-97.092269
Quercus_muehlenbergii,32.846556,-96.674046
Quercus_muehlenbergii,32.822892,-96.760519
Quercus_muehlenbergii,32.007668,-104.72631
Quercus_muehlenbergii,44.267853,-76.90006
Quercus_muehlenbergii,32.808202,-96.738482
Quercus_muehlenbergii,32.87328,-97.275488
Quercus_muehlenbergii,32.809121,-96.739059
Quercus_muehlenbergii,36.293027,-95.653225
Quercus_muehlenbergii,32.803531,-96.749798
Quercus_muehlenbergii,32.809225,-96.737873
Quercus_muehlenbergii,32.794467,-96.760744
Quercus_muehlenbergii,32.854911,-96.864243
Quercus_muehlenbergii,33.257205,-96.654359
Quercus_muehlenbergii,35.772181,-94.176087
Quercus_muehlenbergii,33.226178,-96.637802
Quercus_muehlenbergii,32.803814,-96.697503
Quercus_muehlenbergii,32.808928,-96.737319
Quercus_muehlenbergii,32.793659,-96.7853
Quercus_muehlenbergii,32.808931,-96.737415
Quercus_muehlenbergii,32.809288,-96.737796
Quercus_muehlenbergii,36.157772,-94.003342
Quercus_muehlenbergii,32.808882,-96.739118
Quercus_muehlenbergii,32.804509,-96.696552
Quercus_muehlenbergii,32.804614,-96.696525
Quercus_muehlenbergii,32.809313,-96.737863
Quercus_muehlenbergii,32.803957,-96.697008
Quercus_muehlenbergii,32.793843,-96.784671
Quercus_muehlenbergii,32.808951,-96.737558
Quercus_muehlenbergii,29.996447,-98.109108
Quercus_muehlenbergii,32.804194,-96.697558
Quercus_muehlenbergii,29.813069,-98.077797
Quercus_muehlenbergii,32.808,-96.738584
Quercus_muehlenbergii,32.808422,-96.738771
Quercus_muehlenbergii,33.260202,-96.655076
Quercus_muehlenbergii,32.80865,-96.737795
Quercus_muehlenbergii,32.808905,-96.739174
Quercus_muehlenbergii,32.808703,-96.737752
Quercus_muehlenbergii,32.993164,-96.640051
Quercus_muehlenbergii,32.804239,-96.697538
Quercus_muehlenbergii,32.978674,-96.673534
Quercus_muehlenbergii,32.809202,-96.737787
Quercus_muehlenbergii,32.809295,-96.738957
Quercus_muehlenbergii,32.808937,-96.737356
Quercus_muehlenbergii,32.809091,-96.739034
Quercus_muehlenbergii,32.804577,-96.696409
Quercus_muehlenbergii,32.808942,-96.739149
Quercus_muehlenbergii,32.808546,-96.737909
Quercus_muehlenbergii,36.1758,-96.02115
Quercus_muehlenbergii,32.808594,-96.738713
Quercus_muehlenbergii,32.793883,-96.784706
Quercus_muehlenbergii,38.585205,-77.25969
Quercus_muehlenbergii,32.86121,-96.720296
Quercus_muehlenbergii,35.029697,-85.548338
Quercus_muehlenbergii,32.848202,-96.701776
Quercus_muehlenbergii,30.497838,-97.558692
Quercus_muehlenbergii,32.860823,-96.721541
Quercus_muehlenbergii,32.860732,-96.720695
Quercus_muehlenbergii,30.283221,-97.753664
Quercus_muehlenbergii,29.807872,-98.764113
Quercus_muehlenbergii,32.872858,-97.275462
Quercus_muehlenbergii,38.983625,-95.242888
Quercus_muehlenbergii,30.292333,-97.749387
Quercus_muehlenbergii,30.269712,-97.761078
Quercus_muehlenbergii,30.359134,-97.604657
Quercus_muehlenbergii,30.184664,-97.83406
Quercus_muehlenbergii,29.456515,-98.478382
Quercus_muehlenbergii,32.753788,-96.848647
Quercus_muehlenbergii,35.029378,-85.54853
Quercus_muehlenbergii,32.860652,-96.721405
Quercus_muehlenbergii,32.964832,-96.6568
Quercus_muehlenbergii,32.826978,-96.732269
Quercus_muehlenbergii,32.965179,-96.656787
Quercus_muehlenbergii,35.677499,-97.465183
Quercus_muehlenbergii,32.929604,-96.788336
Quercus_muehlenbergii,32.96337,-96.652859
Quercus_muehlenbergii,31.893247,-92.909513
Quercus_muehlenbergii,32.795833,-96.742729
Quercus_muehlenbergii,32.795859,-96.74265
Quercus_muehlenbergii,41.871026,-73.957308
Quercus_muehlenbergii,32.854603,-96.719262
Quercus_muehlenbergii,34.808611,-87.696111
Quercus_muehlenbergii,40.349788,-89.129014
Quercus_muehlenbergii,40.110184,-88.179034
Quercus_muehlenbergii,30.441978,-97.756483
Quercus_muehlenbergii,40.187717,-87.719135
Quercus_muehlenbergii,30.079631,-99.225953
Quercus_muehlenbergii,29.550961,-98.53025
Quercus_muehlenbergii,30.693721,-97.712025
Quercus_muehlenbergii,34.819405,-87.316375
