Species,Latitude,Longitude
Quercus_myrtifolia,27.175159,-82.470864
Quercus_myrtifolia,27.177567,-82.458957
Quercus_myrtifolia,30.463532,-81.419641
Quercus_myrtifolia,28.694278,-80.715444
Quercus_myrtifolia,28.69006,-80.713022
Quercus_myrtifolia,28.697322,-80.716931
Quercus_myrtifolia,27.509175,-82.359204
Quercus_myrtifolia,28.693776,-80.715635
Quercus_myrtifolia,28.447582,-81.536997
Quercus_myrtifolia,30.38602,-86.449535
Quercus_myrtifolia,30.479662,-81.501008
Quercus_myrtifolia,27.172942,-82.462778
Quercus_myrtifolia,26.312693,-81.805758
Quercus_myrtifolia,27.173984,-82.460073
Quercus_myrtifolia,28.734355,-81.483546
Quercus_myrtifolia,29.307905,-81.772392
Quercus_myrtifolia,30.279903,-87.608247
Quercus_myrtifolia,29.171111,-81.1625
Quercus_myrtifolia,29.307525,-81.768417
Quercus_myrtifolia,29.309692,-81.792433
Quercus_myrtifolia,30.27262,-87.587463
Quercus_myrtifolia,29.30887,-81.771295
Quercus_myrtifolia,29.312492,-81.797958
Quercus_myrtifolia,30.27228,-87.587538
Quercus_myrtifolia,27.780614,-81.4596
Quercus_myrtifolia,28.709919,-81.475991
Quercus_myrtifolia,28.710152,-81.477777
Quercus_myrtifolia,27.134523,-81.325981
Quercus_myrtifolia,26.567962,-80.075241
Quercus_myrtifolia,26.435485,-81.821808
Quercus_myrtifolia,30.282947,-87.584153
Quercus_myrtifolia,26.567931,-80.07535
Quercus_myrtifolia,30.038672,-84.409517
Quercus_myrtifolia,26.315069,-81.790684
Quercus_myrtifolia,30.291529,-86.046948
Quercus_myrtifolia,28.60356,-81.194014
Quercus_myrtifolia,30.227358,-81.716903
Quercus_myrtifolia,30.291503,-86.047077
Quercus_myrtifolia,28.606468,-81.193325
Quercus_myrtifolia,29.234116,-81.189005
Quercus_myrtifolia,27.9293,-81.933575
Quercus_myrtifolia,28.603753,-81.19392
Quercus_myrtifolia,28.60385,-81.191974
Quercus_myrtifolia,28.603723,-81.193948
Quercus_myrtifolia,26.568103,-80.07275
Quercus_myrtifolia,30.279426,-87.605673
Quercus_myrtifolia,26.295028,-81.814133
Quercus_myrtifolia,26.56618,-80.074708
Quercus_myrtifolia,26.315255,-81.877145
Quercus_myrtifolia,27.031588,-82.416353
Quercus_myrtifolia,30.128113,-85.733168
Quercus_myrtifolia,30.128221,-85.733175
Quercus_myrtifolia,27.298478,-80.254942
Quercus_myrtifolia,29.41085,-81.098525
Quercus_myrtifolia,30.083761,-81.338105
Quercus_myrtifolia,29.677175,-85.206886
Quercus_myrtifolia,27.183395,-81.349826
Quercus_myrtifolia,30.27585,-87.598739
Quercus_myrtifolia,30.278336,-87.589219
Quercus_myrtifolia,29.715409,-81.235161
Quercus_myrtifolia,30.236389,-87.828383
Quercus_myrtifolia,27.847477,-82.606904
Quercus_myrtifolia,26.860015,-82.292063
Quercus_myrtifolia,30.245222,-87.826272
Quercus_myrtifolia,29.713936,-81.233093
Quercus_myrtifolia,30.231688,-87.815287
Quercus_myrtifolia,29.919389,-81.382181
