Species,Latitude,Longitude
Quercus_nigra,31.532288,-89.84877
Quercus_nigra,30.284662,-87.580178
Quercus_nigra,31.532469,-89.848878
Quercus_nigra,30.350331,-88.714033
Quercus_nigra,27.267842,-82.439399
Quercus_nigra,30.376939,-88.6268
Quercus_nigra,31.357507,-95.196607
Quercus_nigra,28.446131,-81.536892
Quercus_nigra,29.58851,-95.150151
Quercus_nigra,28.734355,-81.483546
Quercus_nigra,31.357017,-95.196608
Quercus_nigra,32.703738,-80.877747
Quercus_nigra,30.623932,-96.322297
Quercus_nigra,30.39515,-88.788222
Quercus_nigra,30.370133,-91.106933
Quercus_nigra,29.710713,-82.394058
Quercus_nigra,30.23778,-81.69915
Quercus_nigra,29.474872,-82.296658
Quercus_nigra,30.351255,-90.034935
Quercus_nigra,27.510897,-82.35887
Quercus_nigra,30.429522,-81.434167
Quercus_nigra,30.973892,-91.95755
Quercus_nigra,29.559694,-95.210577
Quercus_nigra,27.555743,-82.539659
Quercus_nigra,30.499713,-84.317454
Quercus_nigra,30.567049,-88.622784
Quercus_nigra,33.755284,-80.706098
Quercus_nigra,29.670408,-82.385028
Quercus_nigra,30.611729,-96.29434
Quercus_nigra,30.2394,-81.698142
Quercus_nigra,30.004873,-84.560273
Quercus_nigra,30.584547,-96.317995
Quercus_nigra,30.898478,-91.341541
Quercus_nigra,30.621253,-96.318908
Quercus_nigra,29.585633,-95.150249
Quercus_nigra,30.324848,-97.182741
Quercus_nigra,30.237308,-81.702012
Quercus_nigra,30.236408,-81.704117
Quercus_nigra,30.238828,-81.700638
Quercus_nigra,30.236887,-81.705047
Quercus_nigra,30.243887,-81.699738
Quercus_nigra,28.902643,-95.566489
Quercus_nigra,35.7804,-78.6391
Quercus_nigra,34.237335,-80.626
Quercus_nigra,31.62315,-94.647
Quercus_nigra,30.208522,-95.518966
Quercus_nigra,32.172455,-81.074792
Quercus_nigra,27.519235,-82.395033
Quercus_nigra,28.94589,-81.3387
Quercus_nigra,30.329328,-81.78208
Quercus_nigra,30.147129,-95.176609
Quercus_nigra,30.399083,-92.07364
Quercus_nigra,35.613933,-78.818845
Quercus_nigra,27.51877,-82.396058
Quercus_nigra,29.689434,-95.497882
Quercus_nigra,34.834533,-92.481597
Quercus_nigra,30.490261,-91.032198
Quercus_nigra,34.933612,-83.849155
Quercus_nigra,29.569969,-95.015872
Quercus_nigra,27.296904,-82.467858
Quercus_nigra,27.954529,-82.205664
Quercus_nigra,35.703332,-79.106789
Quercus_nigra,27.935386,-81.925862
Quercus_nigra,30.476635,-84.62329
Quercus_nigra,27.295456,-82.466187
Quercus_nigra,30.566749,-88.638183
Quercus_nigra,30.226272,-81.717758
Quercus_nigra,30.737495,-82.14353
