Species,Latitude,Longitude
Quercus_oblongifolia,32.334707,-110.692891
Quercus_oblongifolia,31.584642,-110.737723
Quercus_oblongifolia,32.299369,-110.708756
Quercus_oblongifolia,31.54307,-110.525214
Quercus_oblongifolia,31.763013,-110.845542
Quercus_oblongifolia,31.885653,-109.172375
Quercus_oblongifolia,31.885789,-109.172628
Quercus_oblongifolia,31.458333,-109.942955
Quercus_oblongifolia,31.814172,-110.725489
Quercus_oblongifolia,29.094475,-108.247639
Quercus_oblongifolia,32.093494,-110.456103
Quercus_oblongifolia,31.733945,-110.883052
Quercus_oblongifolia,32.581749,-110.847023
Quercus_oblongifolia,31.740127,-110.886375
Quercus_oblongifolia,31.16083,-110.55417
Quercus_oblongifolia,31.760352,-110.844098
Quercus_oblongifolia,29.095345,-110.176661
Quercus_oblongifolia,31.551837,-110.726447
Quercus_oblongifolia,32.33717,-110.691033
Quercus_oblongifolia,32.338047,-110.689107
Quercus_oblongifolia,32.338053,-110.688513
Quercus_oblongifolia,29.85434,-110.40223
Quercus_oblongifolia,29.877218,-110.393945
Quercus_oblongifolia,28.350058,-102.537524
Quercus_oblongifolia,30.240835,-110.487198
Quercus_oblongifolia,32.184301,-110.488626
Quercus_oblongifolia,30.414432,-109.567375
Quercus_oblongifolia,32.162635,-110.484953
Quercus_oblongifolia,31.453162,-111.19448
Quercus_oblongifolia,30.331932,-109.608719
Quercus_oblongifolia,32.49393,-110.68427
Quercus_oblongifolia,31.76034,-110.84427
Quercus_oblongifolia,32.336,-110.70171
Quercus_oblongifolia,31.738888,-110.891212
Quercus_oblongifolia,32.430363,-110.895705
Quercus_oblongifolia,31.739708,-110.885476
Quercus_oblongifolia,32.337359,-110.609051
Quercus_oblongifolia,27.578213,-113.023589
Quercus_oblongifolia,31.740098,-110.885557
Quercus_oblongifolia,32.338056,-110.688333
Quercus_oblongifolia,31.740019,-110.886218
Quercus_oblongifolia,30.927718,-110.273422
Quercus_oblongifolia,30.92415,-110.239518
Quercus_oblongifolia,30.70169,-104.10126
Quercus_oblongifolia,29.26821,-103.28422
Quercus_oblongifolia,30.70065,-104.10138
Quercus_oblongifolia,30.69778,-104.10476
Quercus_oblongifolia,29.140245,-110.166534
Quercus_oblongifolia,32.009267,-109.3835
Quercus_oblongifolia,31.761213,-110.845192
Quercus_oblongifolia,32.326553,-110.70018
Quercus_oblongifolia,31.109283,-110.430223
Quercus_oblongifolia,31.421925,-110.264708
Quercus_oblongifolia,31.345975,-110.253717
Quercus_oblongifolia,31.405097,-110.241487
Quercus_oblongifolia,31.401505,-110.263908
Quercus_oblongifolia,31.487325,-110.736595
Quercus_oblongifolia,31.39945,-110.241837
Quercus_oblongifolia,30.288377,-109.55984
Quercus_oblongifolia,30.28389,-109.56028
Quercus_oblongifolia,31.759813,-110.844227
Quercus_oblongifolia,31.739687,-110.885453
Quercus_oblongifolia,32.000627,-109.331106
Quercus_oblongifolia,32.34663,-110.679616
