Species,Latitude,Longitude
Quercus_obtusata,23.613496,-99.204953
Quercus_obtusata,23.622163,-99.207702
Quercus_obtusata,19.424486,-102.071454
Quercus_obtusata,21.341355,-100.157394
Quercus_obtusata,19.69261,-101.965607
Quercus_obtusata,20.924944,-100.264069
Quercus_obtusata,19.474911,-99.28159
Quercus_obtusata,19.616389,-101.156667
Quercus_obtusata,25.610606,-100.328965
Quercus_obtusata,25.608493,-100.344905
Quercus_obtusata,20.360037,-103.022652
Quercus_obtusata,19.478611,-101.363889
Quercus_obtusata,23.006962,-104.486929
Quercus_obtusata,21.870278,-100.336944
Quercus_obtusata,23.589554,-105.870223
Quercus_obtusata,19.126757,-98.773815
Quercus_obtusata,19.643972,-101.106722
Quercus_obtusata,19.9403,-97.69945
Quercus_obtusata,19.9403,-97.6994
Quercus_obtusata,19.9805,-97.7116
Quercus_obtusata,19.81033,-97.66998
Quercus_obtusata,19.8103,-97.67
Quercus_obtusata,24.3968,-106.41793
Quercus_obtusata,17.669621,-97.270503
Quercus_obtusata,16.328499,-96.26236
Quercus_obtusata,24.550939,-105.728247
Quercus_obtusata,18.622478,-97.165267
Quercus_obtusata,18.616667,-97.149444
Quercus_obtusata,21.322583,-101.545139
Quercus_obtusata,24.496472,-105.972027
Quercus_obtusata,17.592166,-97.529583
Quercus_obtusata,20.819778,-99.928889
Quercus_obtusata,20.748694,-99.965417
Quercus_obtusata,17.241444,-97.917472
Quercus_obtusata,22.717361,-104.029999
Quercus_obtusata,19.9567,-97.5538
Quercus_obtusata,19.95675,-97.55378
Quercus_obtusata,19.9497,-97.567
Quercus_obtusata,19.94969,-97.56703
Quercus_obtusata,18.918944,-99.814417
Quercus_obtusata,20.158611,-98.6625
Quercus_obtusata,20.618611,-98.6025
Quercus_obtusata,16.253222,-96.685861
Quercus_obtusata,16.951583,-96.049444
Quercus_obtusata,18.616914,-97.149444
Quercus_obtusata,18.786944,-97.276667
Quercus_obtusata,25.637645,-105.92
Quercus_obtusata,18.865666,-100.009305
Quercus_obtusata,23.29666,-104.906194
Quercus_obtusata,20.709472,-104.898611
Quercus_obtusata,20.578611,-104.606666
Quercus_obtusata,17.021833,-96.92025
Quercus_obtusata,21.35575,-101.593111
Quercus_obtusata,21.38875,-101.658139
Quercus_obtusata,21.446889,-101.567805
Quercus_obtusata,17.668333,-97.161944
Quercus_obtusata,21.364139,-101.595361
Quercus_obtusata,21.215194,-101.535222
Quercus_obtusata,21.317972,-101.364167
Quercus_obtusata,20.799068,-103.853169
Quercus_obtusata,21.026167,-100.187305
Quercus_obtusata,21.374194,-101.314639
Quercus_obtusata,21.377194,-101.665611
Quercus_obtusata,21.213083,-101.536917
Quercus_obtusata,19.118556,-100.118083
Quercus_obtusata,18.916111,-99.795555
Quercus_obtusata,18.652222,-97.00775
Quercus_obtusata,21.345,-100.178333
Quercus_obtusata,19.961944,-100.147222
Quercus_obtusata,19.627222,-101.386944
Quercus_obtusata,20.004444,-100.141944
Quercus_obtusata,19.636944,-101.224444
Quercus_obtusata,19.625833,-101.403056
Quercus_obtusata,19.716667,-100.863055
Quercus_obtusata,21.535833,-100.406389
Quercus_obtusata,19.635,-101.340278
Quercus_obtusata,16.656139,-97.755777
Quercus_obtusata,19.373611,-100.374639
Quercus_obtusata,19.014508,-99.117275
Quercus_obtusata,21.736389,-102.716667
Quercus_obtusata,17.908333,-96.926051
Quercus_obtusata,17.905513,-96.926773
Quercus_obtusata,17.908604,-96.926925
Quercus_obtusata,17.906397,-96.924083
Quercus_obtusata,17.906421,-96.924639
Quercus_obtusata,17.906409,-96.925186
Quercus_obtusata,19.649722,-101.366111
Quercus_obtusata,19.623056,-101.348611
Quercus_obtusata,17.660722,-97.2085
Quercus_obtusata,17.840917,-96.917306
Quercus_obtusata,17.567194,-97.206389
Quercus_obtusata,20.81835,-100.75305
Quercus_obtusata,20.818333,-100.751944
Quercus_obtusata,17.795528,-96.933
Quercus_obtusata,21.671667,-100.055
Quercus_obtusata,21.973989,-100.581917
Quercus_obtusata,17.38875,-96.528028
Quercus_obtusata,24.09,-105.685833
Quercus_obtusata,19.619167,-101.375833
Quercus_obtusata,19.46,-101.375
Quercus_obtusata,19.633889,-101.259167
Quercus_obtusata,19.614167,-101.376944
Quercus_obtusata,19.6417,-101.458
Quercus_obtusata,20.108333,-99.965
Quercus_obtusata,21.897778,-100.58575
Quercus_obtusata,20.313278,-100.235528
Quercus_obtusata,16.90286,-97.57983
Quercus_obtusata,17.784333,-97.109111
Quercus_obtusata,17.755083,-97.1055
Quercus_obtusata,17.815722,-97.249028
Quercus_obtusata,17.616278,-97.043
Quercus_obtusata,17.611611,-97.039972
Quercus_obtusata,17.642806,-97.120306
Quercus_obtusata,20.7025,-99.281111
Quercus_obtusata,19.356389,-100.271667
Quercus_obtusata,19.603611,-101.105
Quercus_obtusata,19.994722,-100.127222
Quercus_obtusata,19.365567,-100.2772
Quercus_obtusata,19.993056,-100.1275
Quercus_obtusata,19.9923,-100.1312
Quercus_obtusata,20.001667,-100.13
Quercus_obtusata,19.363611,-100.351389
Quercus_obtusata,17.66075,-97.134528
Quercus_obtusata,19.9948,-100.124589
Quercus_obtusata,20.229861,-98.648555
Quercus_obtusata,20.885833,-98.675417
Quercus_obtusata,20.298361,-98.345278
Quercus_obtusata,20.241056,-98.644889
Quercus_obtusata,20.008333,-100.126944
Quercus_obtusata,19.428056,-102.095
Quercus_obtusata,20.144722,-102.022778
Quercus_obtusata,19.533056,-101.7125
Quercus_obtusata,19.533611,-101.710833
Quercus_obtusata,19.975,-100.1609
Quercus_obtusata,20.241528,-98.726278
