Species,Latitude,Longitude
Quercus_oglethorpensis,32.343013,-89.356262
Quercus_oglethorpensis,32.135221,-89.202144
Quercus_oglethorpensis,32.37774,-89.563029
Quercus_oglethorpensis,32.330544,-89.456541
Quercus_oglethorpensis,32.288137,-89.364779
Quercus_oglethorpensis,32.389415,-89.549031
Quercus_oglethorpensis,32.231389,-87.543611
Quercus_oglethorpensis,32.177222,-87.523056
Quercus_oglethorpensis,34.158563,-82.048479
Quercus_oglethorpensis,32.47,-88.2
Quercus_oglethorpensis,34.015676,-82.782074
Quercus_oglethorpensis,33.865,-82.97611
Quercus_oglethorpensis,33.82454,-83.02719
Quercus_oglethorpensis,32.0,-84.0
Quercus_oglethorpensis,33.86972,-83.11194
Quercus_oglethorpensis,33.84758,-83.08994
Quercus_oglethorpensis,33.870553,-83.109585
