Species,Latitude,Longitude
Quercus_pagoda,37.361613,-88.925466
Quercus_pagoda,35.772413,-79.040314
Quercus_pagoda,30.353987,-90.031337
Quercus_pagoda,35.660335,-79.06458
Quercus_pagoda,35.631401,-79.096509
Quercus_pagoda,35.691901,-79.030773
Quercus_pagoda,33.806008,-80.786383
Quercus_pagoda,38.268822,-85.542662
Quercus_pagoda,37.75413,-75.773287
Quercus_pagoda,35.900141,-79.032879
Quercus_pagoda,33.293957,-88.848907
Quercus_pagoda,35.976471,-78.960985
Quercus_pagoda,38.66992,-76.53981
Quercus_pagoda,35.949965,-78.979021
Quercus_pagoda,35.780203,-78.522761
Quercus_pagoda,35.955017,-78.977813
Quercus_pagoda,35.946658,-78.977888
Quercus_pagoda,33.071327,-80.331403
Quercus_pagoda,38.850558,-77.09223
Quercus_pagoda,36.443674,-78.388241
Quercus_pagoda,36.57732,-76.152676
Quercus_pagoda,32.257476,-82.511467
Quercus_pagoda,32.69685,-87.255233
Quercus_pagoda,33.783593,-84.377298
Quercus_pagoda,36.12389,-78.833526
Quercus_pagoda,35.323834,-93.12989
Quercus_pagoda,35.721683,-78.693237
Quercus_pagoda,33.279055,-79.614236
Quercus_pagoda,35.702727,-78.474945
Quercus_pagoda,30.815992,-88.733208
Quercus_pagoda,32.501851,-89.122709
Quercus_pagoda,35.902471,-78.891187
Quercus_pagoda,33.499822,-86.807947
Quercus_pagoda,32.337994,-90.286525
Quercus_pagoda,33.236973,-94.729172
Quercus_pagoda,37.361593,-88.925606
Quercus_pagoda,36.863738,-76.444654
Quercus_pagoda,32.66673,-94.155259
Quercus_pagoda,36.138306,-78.798492
Quercus_pagoda,35.955244,-79.062258
Quercus_pagoda,35.061603,-80.084267
Quercus_pagoda,32.603295,-92.049218
Quercus_pagoda,37.361703,-88.925771
Quercus_pagoda,35.885442,-78.960385
Quercus_pagoda,35.668888,-78.629692
Quercus_pagoda,35.875516,-79.019429
Quercus_pagoda,35.956956,-78.978815
Quercus_pagoda,35.770091,-78.570351
Quercus_pagoda,35.780236,-78.663061
Quercus_pagoda,37.361653,-88.925576
Quercus_pagoda,38.590871,-77.110164
Quercus_pagoda,36.338712,-77.661422
Quercus_pagoda,33.705308,-91.723022
Quercus_pagoda,35.783497,-90.707363
Quercus_pagoda,37.545611,-89.441345
Quercus_pagoda,31.492669,-94.744289
Quercus_pagoda,36.003232,-78.96386
Quercus_pagoda,36.901872,-88.03671
Quercus_pagoda,39.216202,-76.721326
Quercus_pagoda,38.813157,-76.511588
Quercus_pagoda,30.351363,-90.035736
Quercus_pagoda,37.85385,-89.2315
Quercus_pagoda,32.580727,-92.068869
Quercus_pagoda,35.811991,-90.684354
Quercus_pagoda,32.848617,-88.225822
Quercus_pagoda,32.405297,-92.148547
Quercus_pagoda,30.847261,-94.170792
Quercus_pagoda,39.707011,-75.124115
Quercus_pagoda,32.591257,-92.032443
Quercus_pagoda,36.722143,-76.236829
Quercus_pagoda,38.234918,-76.961167
Quercus_pagoda,36.071511,-78.866617
Quercus_pagoda,30.305151,-92.01264
Quercus_pagoda,33.518491,-94.644924
Quercus_pagoda,35.30363,-93.147642
Quercus_pagoda,38.443617,-76.107733
Quercus_pagoda,39.021602,-77.007427
Quercus_pagoda,37.361592,-88.925828
Quercus_pagoda,33.979055,-81.224749
Quercus_pagoda,38.439237,-76.088818
Quercus_pagoda,37.83202,-87.98967
Quercus_pagoda,37.361595,-88.925767
Quercus_pagoda,35.760399,-78.625023
Quercus_pagoda,37.832448,-87.98518
Quercus_pagoda,30.356734,-91.095336
Quercus_pagoda,36.00037,-79.043457
Quercus_pagoda,30.345884,-90.990733
Quercus_pagoda,29.167425,-95.43092
Quercus_pagoda,36.070317,-78.870933
Quercus_pagoda,35.721767,-78.694729
Quercus_pagoda,35.883695,-79.017128
Quercus_pagoda,30.024529,-95.287221
Quercus_pagoda,37.361709,-88.923644
Quercus_pagoda,29.763995,-95.441429
Quercus_pagoda,30.300892,-95.693248
Quercus_pagoda,35.917594,-78.970913
Quercus_pagoda,37.361622,-88.925583
Quercus_pagoda,37.046319,-76.487439
Quercus_pagoda,38.758944,-77.521274
Quercus_pagoda,36.418705,-90.623524
Quercus_pagoda,36.418407,-90.623508
Quercus_pagoda,34.906182,-87.10574
Quercus_pagoda,32.694098,-87.243568
Quercus_pagoda,37.360088,-89.09453
Quercus_pagoda,33.418383,-81.86792
Quercus_pagoda,33.122182,-79.775326
Quercus_pagoda,32.678712,-80.267207
Quercus_pagoda,32.69348,-87.2375
Quercus_pagoda,32.67403,-80.271312
Quercus_pagoda,32.20257,-89.261275
Quercus_pagoda,38.985295,-77.052361
Quercus_pagoda,31.810695,-89.236973
Quercus_pagoda,30.563841,-91.163553
Quercus_pagoda,36.829678,-88.081192
Quercus_pagoda,29.337984,-95.286554
Quercus_pagoda,35.125384,-85.357248
Quercus_pagoda,36.29823,-77.546965
Quercus_pagoda,37.361672,-88.925935
Quercus_pagoda,34.974666,-92.384523
Quercus_pagoda,31.628122,-94.648415
Quercus_pagoda,35.885135,-78.970161
Quercus_pagoda,34.995456,-92.373041
Quercus_pagoda,32.209933,-95.208365
Quercus_pagoda,38.443619,-76.107521
Quercus_pagoda,38.066076,-76.913672
Quercus_pagoda,38.997433,-76.941429
Quercus_pagoda,34.286541,-85.171335
Quercus_pagoda,33.738455,-95.080745
Quercus_pagoda,35.83493,-78.99173
Quercus_pagoda,36.14053,-91.448779
Quercus_pagoda,36.418794,-90.623378
Quercus_pagoda,39.05686,-76.721943
Quercus_pagoda,33.811303,-80.796775
Quercus_pagoda,30.810651,-91.376368
Quercus_pagoda,30.898282,-91.342462
Quercus_pagoda,33.262712,-79.566476
Quercus_pagoda,32.574078,-85.945168
Quercus_pagoda,37.123531,-88.480963
Quercus_pagoda,37.123671,-88.480993
Quercus_pagoda,33.229301,-88.912552
Quercus_pagoda,36.315471,-77.024888
Quercus_pagoda,36.285666,-76.907359
Quercus_pagoda,36.418475,-90.625491
Quercus_pagoda,36.498464,-90.490304
Quercus_pagoda,33.262165,-94.266678
Quercus_pagoda,39.911794,-74.947742
Quercus_pagoda,36.753835,-76.331322
Quercus_pagoda,30.48976,-91.031198
Quercus_pagoda,35.822745,-90.712572
Quercus_pagoda,36.625458,-91.177162
Quercus_pagoda,36.292901,-76.13499
Quercus_pagoda,36.2949,-76.134917
Quercus_pagoda,32.994993,-79.777916
Quercus_pagoda,34.846897,-92.463417
Quercus_pagoda,37.754628,-75.773475
Quercus_pagoda,34.359489,-77.679702
Quercus_pagoda,36.071109,-78.859957
Quercus_pagoda,35.719026,-78.753047
Quercus_pagoda,37.36161,-88.92553
Quercus_pagoda,33.81295,-80.822941
Quercus_pagoda,37.361547,-88.925841
Quercus_pagoda,37.357663,-88.913856
Quercus_pagoda,35.927041,-78.970431
Quercus_pagoda,35.927383,-78.970362
Quercus_pagoda,30.233333,-95.052222
Quercus_pagoda,36.070472,-78.860153
Quercus_pagoda,36.070763,-78.859616
Quercus_pagoda,35.015065,-78.832778
Quercus_pagoda,35.882305,-79.015517
Quercus_pagoda,37.287887,-88.92204
Quercus_pagoda,32.684184,-94.177068
Quercus_pagoda,32.52031,-94.759778
Quercus_pagoda,30.221355,-93.253135
Quercus_pagoda,30.974028,-85.006578
Quercus_pagoda,30.024858,-95.287413
Quercus_pagoda,34.792284,-87.679558
Quercus_pagoda,38.586472,-77.773462
Quercus_pagoda,35.895557,-78.911667
Quercus_pagoda,35.821083,-79.087053
Quercus_pagoda,32.173555,-81.076847
Quercus_pagoda,30.617747,-88.17302
Quercus_pagoda,35.937087,-76.575088
Quercus_pagoda,32.382885,-94.857269
Quercus_pagoda,39.216421,-76.72126
Quercus_pagoda,34.647268,-86.819615
Quercus_pagoda,32.60445,-88.192849
Quercus_pagoda,37.969922,-87.502258
Quercus_pagoda,33.621883,-93.972342
Quercus_pagoda,34.350891,-89.923988
Quercus_pagoda,36.016033,-78.899925
Quercus_pagoda,37.362358,-88.925941
Quercus_pagoda,29.31221,-95.26604
Quercus_pagoda,35.278275,-91.571175
Quercus_pagoda,33.344876,-89.389882
Quercus_pagoda,31.92605,-82.274422
Quercus_pagoda,29.33874,-95.28511
Quercus_pagoda,34.856884,-85.832758
