Species,Latitude,Longitude
Quercus_palustris,40.532272,-74.58719
Quercus_palustris,40.511082,-74.575192
Quercus_palustris,40.577218,-74.569087
Quercus_palustris,40.511143,-74.794447
Quercus_palustris,39.855528,-75.192816
Quercus_palustris,42.069345,-82.879372
Quercus_palustris,40.557508,-74.58952
Quercus_palustris,40.554768,-74.584368
Quercus_palustris,39.780306,-75.138928
Quercus_palustris,40.803369,-74.477844
Quercus_palustris,40.429344,-74.468601
Quercus_palustris,41.146125,-81.339355
Quercus_palustris,42.34157,-72.494687
Quercus_palustris,42.103428,-80.053855
Quercus_palustris,42.107175,-80.050253
Quercus_palustris,42.103303,-80.054222
Quercus_palustris,40.614417,-74.497862
Quercus_palustris,42.103906,-80.0512
Quercus_palustris,42.10382,-80.050247
Quercus_palustris,42.104017,-80.050972
Quercus_palustris,40.566193,-74.555088
Quercus_palustris,40.607632,-74.585059
Quercus_palustris,42.102856,-80.05403
Quercus_palustris,40.602546,-74.53254
Quercus_palustris,42.101606,-80.053986
Quercus_palustris,42.102372,-80.053925
Quercus_palustris,42.101483,-80.052322
Quercus_palustris,40.597266,-74.572814
Quercus_palustris,42.114525,-80.033622
Quercus_palustris,40.695106,-74.889459
Quercus_palustris,38.928183,-77.054183
Quercus_palustris,42.102495,-80.052544
Quercus_palustris,42.125472,-80.147239
Quercus_palustris,40.162169,-84.500914
Quercus_palustris,40.429413,-74.46709
Quercus_palustris,41.608009,-81.29501
Quercus_palustris,40.555039,-74.588528
Quercus_palustris,42.267162,-82.982925
Quercus_palustris,40.559704,-74.606803
Quercus_palustris,42.270075,-72.588814
Quercus_palustris,42.304755,-72.616342
Quercus_palustris,42.340446,-72.494415
Quercus_palustris,43.034702,-76.136634
Quercus_palustris,42.279033,-83.02648
Quercus_palustris,42.348125,-72.650288
Quercus_palustris,42.268108,-82.982637
Quercus_palustris,39.992095,-76.777581
Quercus_palustris,41.404514,-71.646014
Quercus_palustris,40.684004,-74.304542
Quercus_palustris,40.516574,-83.895222
Quercus_palustris,41.313472,-82.125267
Quercus_palustris,40.504294,-74.581909
Quercus_palustris,41.250924,-81.515982
Quercus_palustris,39.348756,-76.630552
Quercus_palustris,39.335614,-82.075384
Quercus_palustris,40.290717,-74.72994
Quercus_palustris,42.080894,-82.605511
Quercus_palustris,42.390356,-72.603722
Quercus_palustris,40.248167,-80.045273
Quercus_palustris,42.0325,-82.771433
Quercus_palustris,42.082037,-76.835595
Quercus_palustris,42.033214,-82.776689
Quercus_palustris,42.041881,-72.601989
Quercus_palustris,42.365945,-72.584787
Quercus_palustris,42.450216,-71.685451
Quercus_palustris,42.33418,-71.162335
Quercus_palustris,40.997129,-81.19185
Quercus_palustris,42.415556,-71.415833
Quercus_palustris,40.602862,-74.532921
Quercus_palustris,40.583765,-74.599036
Quercus_palustris,43.142904,-79.103306
Quercus_palustris,41.948324,-82.523271
Quercus_palustris,40.738928,-73.870348
Quercus_palustris,42.396988,-72.540888
Quercus_palustris,42.420653,-72.53752
Quercus_palustris,42.297251,-72.63866
Quercus_palustris,42.723469,-72.46056
Quercus_palustris,42.049943,-71.905044
Quercus_palustris,41.30454,-73.392898
Quercus_palustris,40.601841,-75.559567
Quercus_palustris,42.288656,-71.349906
Quercus_palustris,37.880962,-84.576226
Quercus_palustris,39.418042,-77.2881
Quercus_palustris,40.713326,-74.049266
Quercus_palustris,40.510585,-74.56022
Quercus_palustris,39.384858,-76.611978
Quercus_palustris,40.471617,-74.455319
Quercus_palustris,40.395663,-74.707512
Quercus_palustris,40.539261,-74.554595
Quercus_palustris,39.685495,-76.664025
Quercus_palustris,38.906902,-77.197981
Quercus_palustris,42.034644,-71.474843
Quercus_palustris,38.910973,-76.951489
Quercus_palustris,40.409977,-74.441495
Quercus_palustris,39.077446,-77.132109
Quercus_palustris,41.338709,-81.474714
Quercus_palustris,42.280979,-71.185861
Quercus_palustris,42.488384,-71.020618
Quercus_palustris,42.62991,-70.844883
Quercus_palustris,40.775602,-73.94425
Quercus_palustris,42.390399,-71.136893
Quercus_palustris,42.474009,-71.066967
Quercus_palustris,41.723591,-72.817486
Quercus_palustris,41.875293,-72.86913
Quercus_palustris,42.648036,-71.129884
Quercus_palustris,42.483806,-71.230328
Quercus_palustris,38.028988,-84.493889
Quercus_palustris,39.632824,-75.127596
Quercus_palustris,40.540889,-80.187677
Quercus_palustris,42.269189,-83.37415
Quercus_palustris,42.757796,-84.375622
Quercus_palustris,39.396042,-76.462525
Quercus_palustris,40.153842,-75.218428
Quercus_palustris,42.269339,-83.374314
Quercus_palustris,38.888676,-77.068558
Quercus_palustris,40.692419,-74.427014
Quercus_palustris,42.343786,-72.568088
Quercus_palustris,42.386578,-71.108342
Quercus_palustris,39.901742,-75.180201
Quercus_palustris,43.160812,-79.154128
Quercus_palustris,40.657744,-73.560168
Quercus_palustris,40.155249,-74.058881
Quercus_palustris,39.143631,-77.068236
Quercus_palustris,40.438073,-74.459836
Quercus_palustris,40.468871,-74.696709
Quercus_palustris,41.105965,-81.54004
Quercus_palustris,40.472882,-74.695258
Quercus_palustris,40.473213,-74.695081
Quercus_palustris,40.652,-74.546791
Quercus_palustris,38.844364,-77.23533
Quercus_palustris,40.28484,-75.095528
Quercus_palustris,41.657499,-71.421656
Quercus_palustris,40.65219,-74.501194
Quercus_palustris,40.660352,-74.650651
Quercus_palustris,40.412706,-76.472744
Quercus_palustris,40.646152,-74.649078
Quercus_palustris,38.840129,-77.238786
Quercus_palustris,40.794909,-74.04983
Quercus_palustris,41.141149,-74.316457
Quercus_palustris,40.731132,-73.996667
Quercus_palustris,41.5076,-71.716178
Quercus_palustris,42.08105,-82.924033
Quercus_palustris,42.087131,-82.926955
Quercus_palustris,39.15207,-77.640483
Quercus_palustris,38.408301,-82.439274
Quercus_palustris,40.296003,-80.210245
Quercus_palustris,38.299568,-77.463826
Quercus_palustris,38.904312,-77.018999
Quercus_palustris,37.959997,-84.479755
Quercus_palustris,37.754308,-84.30069
Quercus_palustris,38.021483,-84.498317
Quercus_palustris,38.000947,-84.211604
Quercus_palustris,40.407455,-80.096808
Quercus_palustris,38.992655,-80.233651
Quercus_palustris,39.928875,-75.002062
Quercus_palustris,41.5527,-74.183542
Quercus_palustris,40.323976,-80.055768
Quercus_palustris,41.509847,-81.595664
Quercus_palustris,40.869851,-74.174557
Quercus_palustris,42.394717,-72.519829
Quercus_palustris,40.701011,-73.738101
Quercus_palustris,40.407373,-80.097366
Quercus_palustris,39.570526,-77.772977
Quercus_palustris,40.205132,-75.072199
Quercus_palustris,40.697754,-74.320249
Quercus_palustris,38.753056,-77.713611
Quercus_palustris,41.015993,-73.743265
Quercus_palustris,38.751846,-78.100776
Quercus_palustris,41.572964,-74.284504
Quercus_palustris,40.36853,-80.022092
Quercus_palustris,41.127589,-81.433621
Quercus_palustris,42.317383,-72.626505
Quercus_palustris,41.250834,-74.351033
Quercus_palustris,40.376995,-74.603593
Quercus_palustris,41.585029,-72.241217
Quercus_palustris,39.386134,-84.526198
Quercus_palustris,39.459312,-76.306656
Quercus_palustris,39.143169,-76.834391
Quercus_palustris,42.265481,-83.076347
Quercus_palustris,41.205647,-73.886812
Quercus_palustris,40.62393,-74.121263
Quercus_palustris,40.742218,-74.055313
Quercus_palustris,42.07385,-82.87503
Quercus_palustris,42.352093,-72.465325
Quercus_palustris,41.460699,-71.717743
Quercus_palustris,39.753594,-75.353091
Quercus_palustris,42.836956,-78.992014
Quercus_palustris,40.435934,-74.277782
Quercus_palustris,42.913547,-79.29957
Quercus_palustris,42.622843,-81.92731
Quercus_palustris,40.64264,-73.432094
Quercus_palustris,40.701914,-74.699689
Quercus_palustris,40.704916,-74.698003
Quercus_palustris,40.701455,-74.702227
Quercus_palustris,40.44007,-74.271632
Quercus_palustris,40.300266,-74.491944
Quercus_palustris,40.098456,-75.46517
Quercus_palustris,41.41382,-74.327928
Quercus_palustris,40.440805,-74.271596
Quercus_palustris,41.851233,-71.448739
Quercus_palustris,40.452374,-79.917039
Quercus_palustris,38.935652,-77.055558
Quercus_palustris,38.028394,-84.481492
Quercus_palustris,40.672311,-80.022289
Quercus_palustris,41.12014,-73.460076
Quercus_palustris,41.135457,-80.151659
Quercus_palustris,40.253978,-75.300429
Quercus_palustris,40.36863,-75.299831
Quercus_palustris,40.264535,-74.254246
Quercus_palustris,40.236896,-75.271886
Quercus_palustris,42.43818,-83.402758
Quercus_palustris,40.98121,-81.518869
Quercus_palustris,39.125072,-77.15023
Quercus_palustris,39.999207,-75.265111
Quercus_palustris,40.668688,-80.053565
Quercus_palustris,42.434208,-71.685551
Quercus_palustris,42.96502,-78.796011
Quercus_palustris,40.090464,-76.30979
Quercus_palustris,40.257625,-75.801919
Quercus_palustris,42.460592,-83.134648
Quercus_palustris,42.74221,-71.048656
Quercus_palustris,41.916581,-71.376742
Quercus_palustris,40.284309,-75.139647
Quercus_palustris,40.454922,-74.45925
Quercus_palustris,40.362695,-75.304108
Quercus_palustris,38.840283,-77.241867
Quercus_palustris,40.747107,-74.04531
Quercus_palustris,40.174683,-77.176962
Quercus_palustris,39.295109,-77.12089
Quercus_palustris,41.44085,-82.228011
Quercus_palustris,40.473293,-74.425796
Quercus_palustris,40.669297,-73.47033
Quercus_palustris,40.919444,-73.883333
Quercus_palustris,37.860445,-84.304797
Quercus_palustris,40.66031,-74.481147
Quercus_palustris,40.734914,-74.307228
Quercus_palustris,40.703861,-73.625146
Quercus_palustris,40.464379,-80.205306
Quercus_palustris,40.484722,-79.938889
Quercus_palustris,40.834757,-82.087044
Quercus_palustris,42.311511,-83.026578
Quercus_palustris,40.525954,-79.843056
Quercus_palustris,40.508411,-82.585195
Quercus_palustris,39.739166,-75.544998
Quercus_palustris,38.876462,-76.970617
Quercus_palustris,38.84008,-77.238945
Quercus_palustris,38.841125,-77.243347
Quercus_palustris,43.06314,-78.98422
Quercus_palustris,41.813734,-81.117795
Quercus_palustris,41.439467,-82.231192
Quercus_palustris,40.158077,-75.256577
Quercus_palustris,40.735111,-73.843226
Quercus_palustris,42.996955,-79.25882
Quercus_palustris,40.635326,-74.49165
Quercus_palustris,40.226798,-74.437955
Quercus_palustris,39.19142,-84.426961
Quercus_palustris,40.921356,-72.890811
Quercus_palustris,40.816459,-74.13592
Quercus_palustris,42.364981,-72.510686
Quercus_palustris,40.336471,-74.434124
Quercus_palustris,40.68163,-74.717262
Quercus_palustris,41.838161,-74.169003
Quercus_palustris,40.547675,-74.519325
Quercus_palustris,42.032998,-72.544699
Quercus_palustris,40.96532,-73.056777
Quercus_palustris,42.063202,-82.830543
Quercus_palustris,42.063161,-82.830247
Quercus_palustris,39.804903,-76.305461
Quercus_palustris,38.977952,-77.013494
Quercus_palustris,40.136935,-83.079042
Quercus_palustris,39.982974,-82.843614
Quercus_palustris,39.669157,-77.721054
Quercus_palustris,40.143135,-74.048977
Quercus_palustris,40.301758,-83.167182
Quercus_palustris,39.288796,-76.58356
Quercus_palustris,43.085777,-76.17324
Quercus_palustris,40.223012,-76.132068
Quercus_palustris,42.771415,-78.649845
Quercus_palustris,41.44083,-82.22737
Quercus_palustris,43.01507,-79.00023
Quercus_palustris,41.441628,-81.846275
Quercus_palustris,40.773409,-80.282059
Quercus_palustris,41.412239,-81.956209
Quercus_palustris,41.415141,-82.068945
Quercus_palustris,41.287778,-82.163461
Quercus_palustris,41.441433,-82.029769
Quercus_palustris,42.103364,-80.05456
Quercus_palustris,39.397188,-84.062797
Quercus_palustris,39.654432,-79.959156
Quercus_palustris,41.365346,-83.670666
Quercus_palustris,41.647328,-83.783143
Quercus_palustris,40.772687,-73.967872
Quercus_palustris,42.266592,-82.983088
Quercus_palustris,40.658157,-74.501988
Quercus_palustris,41.368953,-72.896112
Quercus_palustris,41.467817,-82.128717
Quercus_palustris,41.12722,-78.75268
Quercus_palustris,42.077556,-82.491828
