Species,Latitude,Longitude
Quercus_peduncularis,16.116223,-91.73367
Quercus_peduncularis,16.809484,-93.08374
Quercus_peduncularis,16.421831,-92.401487
Quercus_peduncularis,16.280222,-92.144296
Quercus_peduncularis,16.130542,-91.887658
Quercus_peduncularis,16.538333,-97.070833
Quercus_peduncularis,16.755205,-93.940123
Quercus_peduncularis,16.509983,-92.52797
Quercus_peduncularis,16.829962,-93.090923
Quercus_peduncularis,16.230393,-93.589277
Quercus_peduncularis,16.766965,-92.776907
Quercus_peduncularis,16.728632,-93.853885
Quercus_peduncularis,16.25554,-93.601
Quercus_peduncularis,16.778825,-94.01963
Quercus_peduncularis,16.83109,-98.67449
Quercus_peduncularis,16.8311,-98.6745
Quercus_peduncularis,16.77697,-94.01832
Quercus_peduncularis,17.281916,-99.891555
Quercus_peduncularis,16.249822,-93.590384
Quercus_peduncularis,16.392929,-93.676535
Quercus_peduncularis,14.37986,-89.39372
Quercus_peduncularis,16.039528,-97.332389
Quercus_peduncularis,16.32136,-97.33747
Quercus_peduncularis,16.574751,-93.194494
Quercus_peduncularis,17.142306,-96.136944
Quercus_peduncularis,17.246917,-95.979417
Quercus_peduncularis,13.44,-88.27
Quercus_peduncularis,13.943889,-88.074722
Quercus_peduncularis,13.762222,-88.191111
Quercus_peduncularis,17.592166,-97.529583
Quercus_peduncularis,16.811224,-93.076793
Quercus_peduncularis,16.879658,-93.123087
Quercus_peduncularis,16.90725,-95.927972
Quercus_peduncularis,16.919556,-95.896778
Quercus_peduncularis,16.857265,-92.451876
Quercus_peduncularis,16.261361,-93.088055
Quercus_peduncularis,16.948611,-90.821666
Quercus_peduncularis,17.02525,-95.947611
Quercus_peduncularis,16.945583,-97.128305
Quercus_peduncularis,17.954306,-96.75075
Quercus_peduncularis,16.525274,-92.515762
Quercus_peduncularis,14.10913,-89.68263
Quercus_peduncularis,16.83036,-98.67769
Quercus_peduncularis,16.8304,-98.6777
Quercus_peduncularis,15.760278,-92.9825
Quercus_peduncularis,16.449444,-93.012222
Quercus_peduncularis,16.939425,-93.009667
Quercus_peduncularis,16.961417,-93.052694
Quercus_peduncularis,15.9475,-92.726389
Quercus_peduncularis,15.992139,-96.0985
Quercus_peduncularis,16.786611,-94.026583
Quercus_peduncularis,15.967222,-96.109444
Quercus_peduncularis,15.96728,-96.10953
Quercus_peduncularis,17.906222,-96.921305
Quercus_peduncularis,16.702389,-97.442472
Quercus_peduncularis,15.730444,-92.965972
Quercus_peduncularis,19.513056,-96.801944
Quercus_peduncularis,16.69233,-97.28839
Quercus_peduncularis,17.159028,-93.148361
Quercus_peduncularis,15.549083,-92.607722
Quercus_peduncularis,16.383333,-93.967222
Quercus_peduncularis,16.427222,-94.018611
Quercus_peduncularis,16.327778,-93.578056
Quercus_peduncularis,14.8975,-91.51611
Quercus_peduncularis,18.24833,-93.68638
