Species,Latitude,Longitude
Quercus_phellos,37.529075,-77.96125
Quercus_phellos,36.095017,-79.520555
Quercus_phellos,29.77097,-95.56849
Quercus_phellos,35.0789,-80.090783
Quercus_phellos,40.368555,-74.612956
Quercus_phellos,39.094167,-76.128144
Quercus_phellos,35.930969,-78.605689
Quercus_phellos,40.378381,-74.471539
Quercus_phellos,39.74348,-75.159524
Quercus_phellos,30.490261,-91.032199
Quercus_phellos,32.645095,-85.245893
Quercus_phellos,38.982067,-76.95092
Quercus_phellos,33.807553,-84.248797
Quercus_phellos,30.366331,-90.049796
Quercus_phellos,33.394367,-84.608192
Quercus_phellos,34.652778,-92.436683
Quercus_phellos,40.444024,-74.15182
Quercus_phellos,29.957667,-95.170732
Quercus_phellos,30.10014,-95.40778
Quercus_phellos,29.5858,-95.099413
Quercus_phellos,33.805338,-84.305035
Quercus_phellos,30.566435,-91.167339
Quercus_phellos,40.650557,-73.96835
Quercus_phellos,35.54467,-81.372925
Quercus_phellos,32.63675,-95.48088
Quercus_phellos,32.636688,-95.481133
Quercus_phellos,32.204117,-89.259942
Quercus_phellos,30.236513,-95.485603
Quercus_phellos,33.211243,-79.463651
Quercus_phellos,29.776658,-95.440067
Quercus_phellos,35.880112,-79.06461
Quercus_phellos,31.786362,-95.644312
Quercus_phellos,35.772525,-78.173682
Quercus_phellos,30.563207,-96.213199
Quercus_phellos,35.931174,-79.054055
Quercus_phellos,33.047855,-97.164793
Quercus_phellos,30.737296,-95.030025
Quercus_phellos,33.291083,-89.686285
Quercus_phellos,30.385466,-87.37557
Quercus_phellos,29.424444,-81.604444
Quercus_phellos,29.591856,-95.032813
Quercus_phellos,29.555449,-95.221618
Quercus_phellos,33.890074,-83.65189
Quercus_phellos,33.793295,-83.716238
Quercus_phellos,36.022933,-77.854169
Quercus_phellos,30.351576,-90.984009
Quercus_phellos,33.97261,-84.12254
Quercus_phellos,30.351557,-90.033156
Quercus_phellos,33.774688,-84.341125
Quercus_phellos,33.505947,-82.132404
Quercus_phellos,37.678925,-77.455188
Quercus_phellos,30.446512,-91.013314
Quercus_phellos,35.353401,-80.180852
Quercus_phellos,36.003405,-78.904604
Quercus_phellos,34.181013,-84.439238
Quercus_phellos,35.21145,-81.156914
Quercus_phellos,34.257132,-81.362495
Quercus_phellos,35.994155,-78.911688
Quercus_phellos,37.558521,-77.649102
Quercus_phellos,36.002919,-78.91361
Quercus_phellos,35.273751,-80.168222
Quercus_phellos,35.884533,-78.64847
Quercus_phellos,38.847062,-77.10572
Quercus_phellos,34.755371,-83.053023
Quercus_phellos,36.103094,-79.832785
Quercus_phellos,35.725142,-80.390489
Quercus_phellos,35.027386,-85.16987
Quercus_phellos,36.569547,-95.395244
Quercus_phellos,32.709315,-86.000033
Quercus_phellos,34.945447,-85.245899
Quercus_phellos,38.713951,-77.282053
Quercus_phellos,35.05292,-81.141693
Quercus_phellos,34.752658,-84.973506
Quercus_phellos,29.590209,-95.110716
Quercus_phellos,35.899677,-78.680684
Quercus_phellos,38.712776,-76.537525
Quercus_phellos,35.830722,-78.71553
Quercus_phellos,39.033819,-76.433859
Quercus_phellos,35.794241,-78.532959
Quercus_phellos,29.572836,-95.12698
Quercus_phellos,34.768541,-84.97144
Quercus_phellos,39.033999,-77.433781
Quercus_phellos,35.62837,-78.742387
Quercus_phellos,35.764446,-78.341328
Quercus_phellos,36.41661,-90.627323
Quercus_phellos,38.997675,-76.866327
Quercus_phellos,31.34895,-85.868708
Quercus_phellos,38.842395,-77.595025
Quercus_phellos,38.935316,-76.987761
Quercus_phellos,35.783017,-78.380837
Quercus_phellos,35.929032,-79.085229
