Species,Latitude,Longitude
Quercus_pinnativenulosa,16.02375,-97.245666
Quercus_pinnativenulosa,17.997361,-96.667361
Quercus_pinnativenulosa,18.102056,-96.717083
Quercus_pinnativenulosa,18.106583,-96.715083
Quercus_pinnativenulosa,17.325028,-96.072889
Quercus_pinnativenulosa,18.218667,-96.901805
Quercus_pinnativenulosa,21.111111,-98.766722
Quercus_pinnativenulosa,18.649167,-96.996944
Quercus_pinnativenulosa,20.953333,-98.671667
Quercus_pinnativenulosa,25.186667,-100.082778
Quercus_pinnativenulosa,25.194167,-100.115278
Quercus_pinnativenulosa,21.140833,-98.967778
Quercus_pinnativenulosa,21.383483,-99.161667
Quercus_pinnativenulosa,20.719167,-98.373055
Quercus_pinnativenulosa,21.169167,-98.917222
Quercus_pinnativenulosa,21.385801,-99.09894
Quercus_pinnativenulosa,21.163889,-98.900833
Quercus_pinnativenulosa,21.883333,-99.583333
Quercus_pinnativenulosa,19.491667,-96.95
Quercus_pinnativenulosa,19.191667,-96.943333
Quercus_pinnativenulosa,19.497222,-96.977778
Quercus_pinnativenulosa,21.510861,-99.1925
Quercus_pinnativenulosa,21.227778,-99.107278
Quercus_pinnativenulosa,21.229528,-99.113111
Quercus_pinnativenulosa,19.546389,-96.880278
Quercus_pinnativenulosa,19.592778,-96.926944
Quercus_pinnativenulosa,21.238642,-99.110833
Quercus_pinnativenulosa,21.2304,-99.11206
Quercus_pinnativenulosa,19.793889,-96.8225
Quercus_pinnativenulosa,19.616667,-96.9375
Quercus_pinnativenulosa,19.615,-97.049722
Quercus_pinnativenulosa,19.79,-96.723611
Quercus_pinnativenulosa,19.833333,-96.783333
Quercus_pinnativenulosa,19.631111,-96.935833
Quercus_pinnativenulosa,19.097222,-97.029167
Quercus_pinnativenulosa,19.513611,-96.940278
Quercus_pinnativenulosa,19.513056,-96.943611
Quercus_pinnativenulosa,19.624722,-96.941389
Quercus_pinnativenulosa,19.627778,-96.941667
Quercus_pinnativenulosa,25.403991,-100.131859
Quercus_pinnativenulosa,23.0,-102.0
Quercus_pinnativenulosa,25.268889,-100.084444
Quercus_pinnativenulosa,21.219167,-99.125
Quercus_pinnativenulosa,19.508333,-96.925
Quercus_pinnativenulosa,21.231944,-99.112778
Quercus_pinnativenulosa,21.413333,-98.990278
