Species,Latitude,Longitude
Quercus_planipocula,17.291722,-100.828388
Quercus_planipocula,16.69694,-97.8403
Quercus_planipocula,20.844444,-104.94975
Quercus_planipocula,23.066667,-105.516667
Quercus_planipocula,17.235278,-96.226389
Quercus_planipocula,18.217778,-101.470556
Quercus_planipocula,18.217778,-101.470555
Quercus_planipocula,15.995833,-96.114722
Quercus_planipocula,15.968889,-96.129167
Quercus_planipocula,18.169056,-101.511306
Quercus_planipocula,18.248194,-101.508444
Quercus_planipocula,18.169167,-101.511389
Quercus_planipocula,18.213722,-101.388917
Quercus_planipocula,18.179861,-101.469167
Quercus_planipocula,18.179722,-101.469167
Quercus_planipocula,21.5,-103.483333
Quercus_planipocula,21.522222,-105.015833
Quercus_planipocula,21.519167,-105.044444
Quercus_planipocula,21.52222,-105.01583
Quercus_planipocula,20.76028,-104.96611
Quercus_planipocula,21.45,-105.058333
Quercus_planipocula,21.36666,-104.88333
Quercus_planipocula,21.46666,-104.96666
Quercus_planipocula,21.522222,-104.964167
Quercus_planipocula,21.512222,-104.968611
Quercus_planipocula,17.318056,-100.396389
Quercus_planipocula,21.316667,-104.916667
Quercus_planipocula,21.236667,-104.9
Quercus_planipocula,21.333333,-104.85
Quercus_planipocula,20.80833,-104.91829
Quercus_planipocula,20.814714195363038,-104.90941423261049
Quercus_planipocula,19.46,-104.346944
Quercus_planipocula,19.283611,-100.351389
Quercus_planipocula,19.272222,-100.324444
Quercus_planipocula,19.283333,-100.35
Quercus_planipocula,19.633333,-104.291667
Quercus_planipocula,19.625,-104.31
Quercus_planipocula,21.443889,-104.998056
Quercus_planipocula,17.474722,-99.419722
Quercus_planipocula,21.503056,-104.983889
Quercus_planipocula,17.171667,-99.539444
Quercus_planipocula,16.985833,-99.387222
Quercus_planipocula,19.513708,-101.123636
Quercus_planipocula,19.858333,-101.508333
Quercus_planipocula,17.250626,-100.36696
Quercus_planipocula,17.250738273823405,-100.36832920446547
Quercus_planipocula,21.532256,-105.033222
Quercus_planipocula,19.558333,-104.458333
Quercus_planipocula,19.538555100493788,-104.44569829032255
Quercus_planipocula,19.599444,-104.448333
Quercus_planipocula,19.55,-104.483333
Quercus_planipocula,17.070517,-99.749917
Quercus_planipocula,17.245833,-100.338056
Quercus_planipocula,17.288056,-100.284167
Quercus_planipocula,17.208333,-100.441667
Quercus_planipocula,19.553381,-104.46364
Quercus_planipocula,19.496667,-104.434444
Quercus_planipocula,19.511667,-104.463056
Quercus_planipocula,19.55,-104.36667
Quercus_planipocula,19.508333,-104.391667
Quercus_planipocula,19.5,-104.38333
Quercus_planipocula,17.536667,-101.27
Quercus_planipocula,17.836667,-101.331944
Quercus_planipocula,17.836669,-101.331939
Quercus_planipocula,21.465,-104.890278
Quercus_planipocula,17.341667,-99.575
Quercus_planipocula,19.475,-102.091667
Quercus_planipocula,17.689444,-99.725556
Quercus_planipocula,21.333611,-104.588056
Quercus_planipocula,21.494167,-105.0025
Quercus_planipocula,21.354167,-104.931389
Quercus_planipocula,21.283056,-104.641944
Quercus_planipocula,21.578333,-104.8075
Quercus_planipocula,21.291667,-104.658333
Quercus_planipocula,17.2875,-99.481944
Quercus_planipocula,19.293333,-101.817222
Quercus_planipocula,21.504167,-104.078611
Quercus_planipocula,17.117283,-99.567872
Quercus_planipocula,17.114825,-99.705283
Quercus_planipocula,17.097222,-99.7125
Quercus_planipocula,17.102778,-99.712222
Quercus_planipocula,17.976240181368173,-101.60071741837156
Quercus_planipocula,17.916667,-101.316667
Quercus_planipocula,22.43,-105.17
Quercus_planipocula,22.432778,-105.17
Quercus_planipocula,17.525,-99.675
Quercus_planipocula,21.533834042011907,-105.05025056914567
Quercus_planipocula,20.760278,-104.966111
Quercus_planipocula,22.438056,-105.186944
