Species,Latitude,Longitude
Quercus_polymorpha,25.321104,-100.155449
Quercus_polymorpha,29.442066,-98.571567
Quercus_polymorpha,29.441602,-98.494172
Quercus_polymorpha,25.418801,-100.967812
Quercus_polymorpha,29.357767,-100.787607
Quercus_polymorpha,29.464094,-98.468142
Quercus_polymorpha,23.624393,-99.207809
Quercus_polymorpha,29.573477,-98.564095
Quercus_polymorpha,29.76283,-95.391778
Quercus_polymorpha,29.462991,-98.473218
Quercus_polymorpha,29.765163,-95.443737
Quercus_polymorpha,30.931383,-95.908272
Quercus_polymorpha,25.630033,-100.250212
Quercus_polymorpha,23.614055,-99.207461
Quercus_polymorpha,25.733882,-100.417
Quercus_polymorpha,30.506928,-99.777078
Quercus_polymorpha,16.676687,-92.63108
Quercus_polymorpha,29.541505,-98.58582
Quercus_polymorpha,33.237049,-97.170617
Quercus_polymorpha,30.541062,-103.83598
Quercus_polymorpha,25.627291,-100.212956
Quercus_polymorpha,25.62569,-100.214203
Quercus_polymorpha,23.616875,-99.208271
Quercus_polymorpha,29.455174,-98.463337
Quercus_polymorpha,32.586961,-97.102932
Quercus_polymorpha,30.225533,-99.015519
Quercus_polymorpha,33.029893,-97.12753
Quercus_polymorpha,29.474462,-98.443156
Quercus_polymorpha,25.353925,-100.172538
Quercus_polymorpha,25.351936,-100.178326
Quercus_polymorpha,25.361938,-100.162856
Quercus_polymorpha,25.656044,-100.257349
Quercus_polymorpha,25.343375,-100.17304
Quercus_polymorpha,29.392925,-98.497413
Quercus_polymorpha,25.853147,-100.247245
Quercus_polymorpha,25.625104,-100.339364
Quercus_polymorpha,23.60377,-99.207696
Quercus_polymorpha,23.94758,-99.764075
Quercus_polymorpha,30.554078,-97.784958
Quercus_polymorpha,29.33969,-98.330963
Quercus_polymorpha,29.761135,-95.407487
Quercus_polymorpha,25.736389,-100.2925
Quercus_polymorpha,25.562881,-100.278557
Quercus_polymorpha,29.363291,-98.479129
Quercus_polymorpha,29.699082,-95.452014
Quercus_polymorpha,25.761921,-100.299698
Quercus_polymorpha,25.425617,-100.165497
Quercus_polymorpha,25.648038,-100.279725
Quercus_polymorpha,25.615472,-100.364165
Quercus_polymorpha,29.535334,-98.640951
Quercus_polymorpha,29.761887,-95.397289
Quercus_polymorpha,29.69898,-95.451918
Quercus_polymorpha,29.760675,-95.401367
Quercus_polymorpha,29.705296,-95.296699
Quercus_polymorpha,29.538881,-98.398437
Quercus_polymorpha,25.235589,-99.948251
Quercus_polymorpha,29.872128,-100.991333
Quercus_polymorpha,29.767104,-95.447943
Quercus_polymorpha,29.469775,-98.668902
Quercus_polymorpha,29.981817,-95.566814
Quercus_polymorpha,29.745386,-95.726823
Quercus_polymorpha,25.3418,-100.244488
Quercus_polymorpha,25.778395,-100.348504
Quercus_polymorpha,25.778399,-100.348487
Quercus_polymorpha,25.772755,-100.345955
Quercus_polymorpha,25.116023,-99.953894
Quercus_polymorpha,25.773012,-100.346153
Quercus_polymorpha,25.625422,-100.218575
Quercus_polymorpha,25.773277,-100.346115
Quercus_polymorpha,25.773312,-100.34613
Quercus_polymorpha,25.627678,-100.212115
Quercus_polymorpha,25.625332,-100.218811
Quercus_polymorpha,29.888975,-97.945115
Quercus_polymorpha,25.521108,-100.264063
Quercus_polymorpha,23.953136,-99.770302
Quercus_polymorpha,25.658808,-100.262413
Quercus_polymorpha,25.65877,-100.262437
Quercus_polymorpha,25.556783,-100.264008
Quercus_polymorpha,25.661907,-100.255928
Quercus_polymorpha,25.619658,-100.358597
Quercus_polymorpha,25.714704,-100.416284
Quercus_polymorpha,25.759035,-100.301079
Quercus_polymorpha,25.549862,-100.270419
Quercus_polymorpha,25.724266,-100.311433
Quercus_polymorpha,29.36413,-98.480384
Quercus_polymorpha,25.300762,-100.140739
Quercus_polymorpha,25.40378,-100.184062
Quercus_polymorpha,25.394495,-100.238793
Quercus_polymorpha,25.651878,-100.265145
Quercus_polymorpha,25.618763,-100.360263
Quercus_polymorpha,16.527421,-92.506812
Quercus_polymorpha,24.53948,-99.83007
Quercus_polymorpha,25.676944,-100.162691
Quercus_polymorpha,29.806242,-95.399369
Quercus_polymorpha,29.775438,-95.599053
Quercus_polymorpha,16.766293,-92.77738
Quercus_polymorpha,23.947657,-99.763763
Quercus_polymorpha,25.658432,-100.262488
Quercus_polymorpha,25.41331,-100.267239
Quercus_polymorpha,25.662722,-100.255083
Quercus_polymorpha,23.948812,-99.766439
Quercus_polymorpha,25.538141,-100.275076
Quercus_polymorpha,25.454443,-100.206898
Quercus_polymorpha,25.66241,-100.254683
Quercus_polymorpha,25.233107,-100.040741
Quercus_polymorpha,25.628939,-100.211319
Quercus_polymorpha,29.878503,-100.98959
Quercus_polymorpha,29.885717,-100.994131
Quercus_polymorpha,25.431818,-100.166725
Quercus_polymorpha,29.872247,-100.991414
Quercus_polymorpha,32.587177,-97.102589
Quercus_polymorpha,25.549828,-100.270271
Quercus_polymorpha,25.492193,-100.180153
Quercus_polymorpha,25.63763,-100.193962
Quercus_polymorpha,25.662561,-100.254555
Quercus_polymorpha,23.947116,-99.765526
Quercus_polymorpha,23.969772,-99.449992
Quercus_polymorpha,25.553925,-100.267267
Quercus_polymorpha,25.60793,-100.354227
Quercus_polymorpha,32.839778,-96.778926
Quercus_polymorpha,25.548533,-100.270867
Quercus_polymorpha,25.542793,-100.271141
Quercus_polymorpha,25.557805,-100.26285
Quercus_polymorpha,16.485604,-92.518821
Quercus_polymorpha,25.655457,-100.22982
Quercus_polymorpha,25.542808,-100.289332
Quercus_polymorpha,29.872047,-100.991753
Quercus_polymorpha,25.549814,-100.270165
Quercus_polymorpha,26.254452,-99.921234
Quercus_polymorpha,25.466667,-100.433333
