Species,Latitude,Longitude
Quercus_pontica,41.690926,41.710369
Quercus_pontica,51.616657,7.950153
Quercus_pontica,49.012909,8.400599
Quercus_pontica,41.69806,41.71694
Quercus_pontica,41.52889,42.045
Quercus_pontica,41.6981,41.7169
Quercus_pontica,41.5289,42.045
Quercus_pontica,51.01,-1.42
Quercus_pontica,-38.559694,177.713778
Quercus_pontica,-38.559694,177.713694
Quercus_pontica,-38.783333,177.533333
Quercus_pontica,47.83621,2.75735
Quercus_pontica,53.5766,23.1015
Quercus_pontica,43.278,41.044
Quercus_pontica,41.71667,41.96667
Quercus_pontica,41.74748,42.04966
Quercus_pontica,43.27778,41.04389
Quercus_pontica,40.633,40.82
Quercus_pontica,40.63333,40.88333
Quercus_pontica,50.75558,6.077055
Quercus_pontica,50.920978,5.888885
Quercus_pontica,-38.5605,177.713167
