Species,Latitude,Longitude
Quercus_prinoides,43.232389,-80.233548
Quercus_prinoides,39.729835,-76.078699
Quercus_prinoides,42.631582,-71.660479
Quercus_prinoides,42.362155,-72.430022
Quercus_prinoides,41.371177,-70.575285
Quercus_prinoides,40.926306,-73.04093
Quercus_prinoides,42.280434,-72.335315
Quercus_prinoides,40.555601,-74.106535
Quercus_prinoides,40.555752,-74.106421
Quercus_prinoides,42.21682,-71.348201
Quercus_prinoides,42.346255,-72.232839
Quercus_prinoides,41.880666,-69.999281
Quercus_prinoides,42.572328,-72.520637
Quercus_prinoides,41.644859,-70.375655
Quercus_prinoides,41.644847,-70.375613
Quercus_prinoides,42.323534,-72.43786
Quercus_prinoides,42.702895,-73.869593
Quercus_prinoides,43.182586,-80.289093
Quercus_prinoides,41.655365,-69.965636
Quercus_prinoides,42.663739,-80.530729
Quercus_prinoides,42.920774,-80.597484
Quercus_prinoides,42.82751,-80.447944
Quercus_prinoides,42.942634,-80.469835
Quercus_prinoides,43.331006,-81.808699
Quercus_prinoides,42.69926,-73.868559
Quercus_prinoides,37.922042,-93.984317
Quercus_prinoides,43.121356,-80.245005
Quercus_prinoides,35.232672,-97.236988
Quercus_prinoides,43.084208,-80.347497
Quercus_prinoides,42.200045,-72.259202
Quercus_prinoides,40.782383,-73.305946
Quercus_prinoides,43.004199,-80.283367
Quercus_prinoides,42.355208,-72.228955
Quercus_prinoides,42.353946,-72.225987
Quercus_prinoides,41.859086,-70.673789
Quercus_prinoides,43.00921,-80.381239
Quercus_prinoides,43.128721,-80.227839
Quercus_prinoides,42.661228,-71.507847
Quercus_prinoides,42.412117,-83.988252
Quercus_prinoides,42.199097,-72.260059
Quercus_prinoides,42.215689,-72.258903
Quercus_prinoides,42.11326,-71.216768
Quercus_prinoides,42.555319,-72.521093
Quercus_prinoides,42.197391,-72.262262
Quercus_prinoides,39.726519,-76.07705
Quercus_prinoides,42.347846,-72.232685
Quercus_prinoides,42.924649,-73.653527
Quercus_prinoides,39.734058,-76.03931
Quercus_prinoides,41.895239,-82.485428
Quercus_prinoides,42.702916,-73.868922
Quercus_prinoides,42.7197,-73.885628
Quercus_prinoides,41.734008,-70.382211
Quercus_prinoides,39.731792,-76.039975
Quercus_prinoides,39.726926,-76.074878
Quercus_prinoides,42.692297,-71.10493
Quercus_prinoides,42.408225,-83.989508
Quercus_prinoides,41.746639,-70.117114
Quercus_prinoides,42.718095,-73.862992
Quercus_prinoides,42.717089,-73.85561
Quercus_prinoides,42.905265,-80.491123
Quercus_prinoides,42.425267,-71.670831
Quercus_prinoides,41.880717,-70.00031
Quercus_prinoides,39.940948,-95.750641
Quercus_prinoides,43.196382,-80.397956
Quercus_prinoides,43.180139,-80.352694
Quercus_prinoides,39.787921,-74.547011
Quercus_prinoides,42.028434,-70.072829
Quercus_prinoides,41.388809,-70.641785
Quercus_prinoides,40.882643,-73.072608
Quercus_prinoides,40.882518,-73.072977
Quercus_prinoides,41.880653,-70.000725
Quercus_prinoides,41.641598,-70.554947
Quercus_prinoides,42.257831,-72.642088
Quercus_prinoides,43.368833,-81.880657
Quercus_prinoides,42.716454,-73.862846
Quercus_prinoides,43.268792,-80.278757
Quercus_prinoides,43.292832,-80.347442
Quercus_prinoides,43.203146,-80.394163
Quercus_prinoides,43.325844,-80.330965
Quercus_prinoides,42.474163,-72.263762
Quercus_prinoides,43.101519,-80.219279
Quercus_prinoides,39.732342,-76.037225
