Species,Latitude,Longitude
Quercus_pyrenaica,39.815218,-7.501121
Quercus_pyrenaica,40.436633,-3.764975
Quercus_pyrenaica,39.811634,-7.495506
Quercus_pyrenaica,40.878092,-3.566565
Quercus_pyrenaica,40.721533,-3.741076
Quercus_pyrenaica,40.818974,-3.782386
Quercus_pyrenaica,40.780014,-3.676091
Quercus_pyrenaica,40.81838,-3.781963
Quercus_pyrenaica,40.75513,-3.794452
Quercus_pyrenaica,40.819595,-3.78345
Quercus_pyrenaica,40.8399,-3.806533
Quercus_pyrenaica,40.754607,-3.789527
Quercus_pyrenaica,40.80745,-3.7717
Quercus_pyrenaica,40.786617,-6.966044
Quercus_pyrenaica,40.799425,-3.77909
Quercus_pyrenaica,40.796497,-3.780273
Quercus_pyrenaica,40.809633,-3.775385
Quercus_pyrenaica,40.794255,-3.783112
Quercus_pyrenaica,40.794883,-3.781913
Quercus_pyrenaica,40.586362,-4.13616
Quercus_pyrenaica,43.593369,1.367835
Quercus_pyrenaica,42.717197,-0.290667
Quercus_pyrenaica,46.676484,-1.420827
Quercus_pyrenaica,41.193777,-3.569958
Quercus_pyrenaica,40.458095,-3.795955
Quercus_pyrenaica,40.327279,-3.904377
Quercus_pyrenaica,41.799908,2.099123
Quercus_pyrenaica,48.843578,2.39275
Quercus_pyrenaica,45.030487,-0.267942
Quercus_pyrenaica,48.609417,-1.958744
Quercus_pyrenaica,40.797602,-3.779075
Quercus_pyrenaica,40.798262,-3.779353
Quercus_pyrenaica,40.757943,-3.822307
Quercus_pyrenaica,40.798192,-3.779297
Quercus_pyrenaica,42.326904,-6.145889
Quercus_pyrenaica,42.459985,-6.259622
Quercus_pyrenaica,40.563584,-4.157164
Quercus_pyrenaica,40.563583,-4.157165
Quercus_pyrenaica,42.881432,-3.808137
Quercus_pyrenaica,42.537943,-5.732255
Quercus_pyrenaica,38.829118,-9.208942
Quercus_pyrenaica,41.059715,-3.534801
Quercus_pyrenaica,40.682858,-7.571717
Quercus_pyrenaica,43.419639,-1.601974
Quercus_pyrenaica,40.293021,-7.510121
Quercus_pyrenaica,43.504657,1.44031
Quercus_pyrenaica,43.419668,-1.602036
Quercus_pyrenaica,41.549172,2.315833
Quercus_pyrenaica,43.504522,1.440387
Quercus_pyrenaica,39.83496,-7.458691
Quercus_pyrenaica,38.904877,-9.184456
Quercus_pyrenaica,43.427059,-5.773156
Quercus_pyrenaica,43.193874,0.116016
Quercus_pyrenaica,43.588035,1.456649
Quercus_pyrenaica,41.953456,2.403369
Quercus_pyrenaica,40.199917,-5.106956
Quercus_pyrenaica,46.660765,-1.784096
Quercus_pyrenaica,47.642263,-0.074698
Quercus_pyrenaica,47.420813,-0.715573
Quercus_pyrenaica,48.425848,-2.643061
Quercus_pyrenaica,43.109955,-3.423106
Quercus_pyrenaica,39.506515,-8.722919
Quercus_pyrenaica,41.014057,-7.975327
Quercus_pyrenaica,41.247106,-7.830819
Quercus_pyrenaica,41.025821,-7.843105
Quercus_pyrenaica,40.038866,-5.065252
Quercus_pyrenaica,40.63412,-8.113981
Quercus_pyrenaica,40.870349,-3.767009
Quercus_pyrenaica,40.866558,-3.781643
Quercus_pyrenaica,40.715052,-4.076153
Quercus_pyrenaica,41.925295,-2.876014
Quercus_pyrenaica,41.308533,0.998287
Quercus_pyrenaica,41.308217,1.001213
Quercus_pyrenaica,43.971133,-0.198522
Quercus_pyrenaica,39.570953,-4.66128
Quercus_pyrenaica,44.069444,-1.169722
Quercus_pyrenaica,40.143331,-5.656836
Quercus_pyrenaica,43.454621,-3.632705
Quercus_pyrenaica,41.077026,-3.464951
Quercus_pyrenaica,41.308336,0.99985
Quercus_pyrenaica,40.567833,-4.152959
Quercus_pyrenaica,41.825032,-1.825757
Quercus_pyrenaica,40.863362,-3.612333
Quercus_pyrenaica,40.863298,-3.610341
Quercus_pyrenaica,40.793224,-3.775004
Quercus_pyrenaica,40.867503,-3.61873
Quercus_pyrenaica,40.864687,-3.607505
Quercus_pyrenaica,40.868013,-3.613408
Quercus_pyrenaica,39.282844,-7.429252
Quercus_pyrenaica,40.655892,-8.150258
Quercus_pyrenaica,39.284836,-7.427116
Quercus_pyrenaica,40.977493,-3.792693
Quercus_pyrenaica,42.400021,-7.983788
Quercus_pyrenaica,40.638822,-7.6992
Quercus_pyrenaica,40.86698,-3.626898
Quercus_pyrenaica,40.871182,-3.612373
Quercus_pyrenaica,40.931493,-3.630387
Quercus_pyrenaica,40.85267,-3.628088
Quercus_pyrenaica,40.868803,-3.601152
Quercus_pyrenaica,40.20348,-5.100768
Quercus_pyrenaica,40.999552,-3.727203
Quercus_pyrenaica,40.99736,-3.7281
Quercus_pyrenaica,40.992152,-3.727043
Quercus_pyrenaica,41.00026,-3.726732
Quercus_pyrenaica,40.997093,-3.728155
Quercus_pyrenaica,40.998583,-3.727452
Quercus_pyrenaica,40.998433,-3.7275
Quercus_pyrenaica,40.997272,-3.72813
Quercus_pyrenaica,42.773421,-4.925854
Quercus_pyrenaica,40.804161,-3.803386
Quercus_pyrenaica,40.865178,-3.607687
Quercus_pyrenaica,40.887335,-3.57442
Quercus_pyrenaica,42.368611,-3.375
Quercus_pyrenaica,42.676291,-6.999335
Quercus_pyrenaica,40.376868,-4.461412
Quercus_pyrenaica,36.967818,-3.356982
Quercus_pyrenaica,41.490749,-3.517588
Quercus_pyrenaica,46.753223,1.624943
Quercus_pyrenaica,41.924309,-2.886141
Quercus_pyrenaica,40.513158,-1.604242
Quercus_pyrenaica,43.185491,-4.547756
Quercus_pyrenaica,47.989599,-1.749564
Quercus_pyrenaica,40.11903,-5.851214
Quercus_pyrenaica,42.920498,-4.475576
Quercus_pyrenaica,42.842009,-5.673761
Quercus_pyrenaica,42.731037,-6.648419
Quercus_pyrenaica,40.103408,-5.599785
Quercus_pyrenaica,44.886006,-0.740061
Quercus_pyrenaica,40.548466,-7.239053
Quercus_pyrenaica,40.548486,-7.239715
Quercus_pyrenaica,40.324698,-4.702539
Quercus_pyrenaica,43.265161,-1.065438
Quercus_pyrenaica,40.204971,-5.772395
Quercus_pyrenaica,43.26485,-1.065546
Quercus_pyrenaica,40.86593,-3.631995
Quercus_pyrenaica,42.150863,-7.619736
Quercus_pyrenaica,40.998603,-3.727507
Quercus_pyrenaica,40.993847,-3.727872
Quercus_pyrenaica,40.859522,-3.622197
Quercus_pyrenaica,41.127545,-3.581383
Quercus_pyrenaica,40.867548,-3.627102
Quercus_pyrenaica,43.271596,-8.557642
Quercus_pyrenaica,40.865845,-3.632516
Quercus_pyrenaica,40.999197,-3.727062
Quercus_pyrenaica,40.999203,-3.72703
Quercus_pyrenaica,40.85759,-3.618085
Quercus_pyrenaica,41.916389,-7.898611
Quercus_pyrenaica,39.403841,-7.455301
Quercus_pyrenaica,40.852495,-3.628282
Quercus_pyrenaica,42.932243,-5.101317
Quercus_pyrenaica,40.85226,-3.62859
Quercus_pyrenaica,41.682778,-7.813056
Quercus_pyrenaica,41.675,-7.717222
Quercus_pyrenaica,39.348219,-7.407899
Quercus_pyrenaica,40.571263,-7.232578
Quercus_pyrenaica,41.733242,-6.866605
Quercus_pyrenaica,40.672643,-8.197558
Quercus_pyrenaica,41.732337,-6.864878
Quercus_pyrenaica,40.872296,-8.291788
Quercus_pyrenaica,42.511459,-5.145682
Quercus_pyrenaica,39.370669,-7.382982
Quercus_pyrenaica,41.640517,-7.743075
Quercus_pyrenaica,42.802601,-5.576993
Quercus_pyrenaica,40.914728,-4.002175
Quercus_pyrenaica,43.063213,-7.198689
Quercus_pyrenaica,42.67061,-4.505948
Quercus_pyrenaica,42.313438,-3.466832
Quercus_pyrenaica,43.237658,-0.515679
Quercus_pyrenaica,42.834793,-7.501086
Quercus_pyrenaica,37.903158,-6.591732
Quercus_pyrenaica,42.232564,-6.879354
Quercus_pyrenaica,48.589118,2.568117
Quercus_pyrenaica,40.567074,-6.13634
Quercus_pyrenaica,41.783401,-1.787515
Quercus_pyrenaica,41.815276,-2.551616
Quercus_pyrenaica,42.273306,-3.466108
Quercus_pyrenaica,44.252184,-0.513526
Quercus_pyrenaica,43.1496,-4.707473
Quercus_pyrenaica,42.671788,-3.025951
Quercus_pyrenaica,41.852177,-2.780775
Quercus_pyrenaica,40.345649,-5.910189
Quercus_pyrenaica,40.498821,-6.088607
Quercus_pyrenaica,46.673585,-1.640478
Quercus_pyrenaica,43.184349,-4.652286
Quercus_pyrenaica,44.938305,-0.687239
Quercus_pyrenaica,42.984962,-2.832677
Quercus_pyrenaica,41.313436,0.998589
Quercus_pyrenaica,40.758201,-4.049989
Quercus_pyrenaica,44.167278,-0.780048
Quercus_pyrenaica,42.083611,-6.355833
Quercus_pyrenaica,40.623083,-4.279778
Quercus_pyrenaica,40.840735,-3.657035
Quercus_pyrenaica,40.99469,-3.70993
Quercus_pyrenaica,40.99754,-3.70946
Quercus_pyrenaica,40.842398,-3.655877
Quercus_pyrenaica,40.995217,-3.708642
Quercus_pyrenaica,40.89013,-3.772033
Quercus_pyrenaica,41.025661,-3.517406
Quercus_pyrenaica,40.861077,-4.028688
Quercus_pyrenaica,39.283002,-7.429444
Quercus_pyrenaica,38.901384,-9.182519
Quercus_pyrenaica,40.7544,-3.92183
Quercus_pyrenaica,40.755805,-3.922382
Quercus_pyrenaica,38.439488,-4.345057
Quercus_pyrenaica,39.284242,-7.428455
Quercus_pyrenaica,41.399139,-7.465535
Quercus_pyrenaica,41.397491,-7.471294
Quercus_pyrenaica,41.039365,-3.52512
Quercus_pyrenaica,41.072252,-3.531823
Quercus_pyrenaica,41.067235,-3.530145
Quercus_pyrenaica,40.321746,-7.853505
Quercus_pyrenaica,42.901054,-2.310143
Quercus_pyrenaica,40.108348,-7.454731
Quercus_pyrenaica,42.89304,-4.311645
Quercus_pyrenaica,43.142036,-4.545593
Quercus_pyrenaica,43.153012,-5.578597
Quercus_pyrenaica,40.876012,-3.882927
Quercus_pyrenaica,43.127606,-4.614162
Quercus_pyrenaica,47.645,-0.255018
Quercus_pyrenaica,41.04347,-3.604895
Quercus_pyrenaica,41.369103,-6.111122
Quercus_pyrenaica,38.485445,-4.339486
Quercus_pyrenaica,42.871313,-5.399099
Quercus_pyrenaica,42.752724,-5.766543
Quercus_pyrenaica,41.41267,-7.685505
Quercus_pyrenaica,40.793116,-3.858043
Quercus_pyrenaica,41.040097,-3.549476
Quercus_pyrenaica,40.792881,-3.858112
Quercus_pyrenaica,41.431787,-8.268726
Quercus_pyrenaica,41.033946,-3.474348
Quercus_pyrenaica,40.86771,-3.869772
Quercus_pyrenaica,40.875721,-3.875808
Quercus_pyrenaica,40.871083,-3.873276
Quercus_pyrenaica,42.667366,-1.15516
Quercus_pyrenaica,41.879108,-7.870096
Quercus_pyrenaica,47.006764,0.065226
Quercus_pyrenaica,42.213122,-7.663477
Quercus_pyrenaica,42.967735,-2.763792
Quercus_pyrenaica,47.785531,-0.23037
Quercus_pyrenaica,41.063378,-3.52202
Quercus_pyrenaica,42.799322,-2.47262
Quercus_pyrenaica,41.930794,-6.617085
Quercus_pyrenaica,41.047116,-3.529845
Quercus_pyrenaica,41.113922,-3.505599
Quercus_pyrenaica,40.869564,-3.872847
Quercus_pyrenaica,37.905933,-6.605831
Quercus_pyrenaica,41.110123,-3.494175
Quercus_pyrenaica,40.95787,-3.810225
Quercus_pyrenaica,42.674881,-5.054775
Quercus_pyrenaica,41.090178,-3.622479
Quercus_pyrenaica,40.674849,-7.130415
Quercus_pyrenaica,40.9,-4.03
Quercus_pyrenaica,41.091311,-3.621378
Quercus_pyrenaica,41.037193,-3.470227
Quercus_pyrenaica,40.835217,-3.673613
Quercus_pyrenaica,41.025598,-3.470862
Quercus_pyrenaica,40.76258,-3.75797
Quercus_pyrenaica,40.704418,-3.743603
Quercus_pyrenaica,41.118324,-3.599831
Quercus_pyrenaica,40.792896,-3.827537
Quercus_pyrenaica,40.70616,-3.738125
Quercus_pyrenaica,40.436745,-3.764886
Quercus_pyrenaica,41.09897,-3.495545
Quercus_pyrenaica,40.855985,-3.729777
Quercus_pyrenaica,41.041198,-3.539934
Quercus_pyrenaica,40.760788,-3.759545
Quercus_pyrenaica,40.943413,-3.466408
Quercus_pyrenaica,40.760788,-3.759552
Quercus_pyrenaica,40.761347,-3.756978
Quercus_pyrenaica,40.43661,-3.764673
Quercus_pyrenaica,41.245505,-8.532741
Quercus_pyrenaica,41.089054,-3.609632
Quercus_pyrenaica,40.718926,-3.863321
Quercus_pyrenaica,43.006155,-7.570446
Quercus_pyrenaica,40.693223,-4.061496
Quercus_pyrenaica,43.205616,-6.978848
Quercus_pyrenaica,40.866502,-3.627103
Quercus_pyrenaica,40.755837,-3.922314
Quercus_pyrenaica,40.801565,-3.846821
Quercus_pyrenaica,40.866573,-3.781433
Quercus_pyrenaica,42.671013,-5.0189
Quercus_pyrenaica,40.678353,-3.825166
Quercus_pyrenaica,43.365474,-6.829392
Quercus_pyrenaica,42.568353,-6.509895
Quercus_pyrenaica,46.63109,-1.64293
Quercus_pyrenaica,40.423526,-3.732437
Quercus_pyrenaica,40.137963,-7.501077
Quercus_pyrenaica,40.261944,-5.8925
Quercus_pyrenaica,40.203517,-5.768354
Quercus_pyrenaica,39.472015,-6.384119
Quercus_pyrenaica,40.186934,-5.041374
Quercus_pyrenaica,40.174593,-5.066156
Quercus_pyrenaica,43.521365,-5.615034
Quercus_pyrenaica,43.32806,-1.794411
Quercus_pyrenaica,43.328091,-1.794419
Quercus_pyrenaica,39.472382,-6.383294
