Species,Latitude,Longitude
Quercus_resinosa,22.273397,-103.539413
Quercus_resinosa,20.60447,-103.469554
Quercus_resinosa,21.073056,-101.193889
Quercus_resinosa,20.601751,-103.456564
Quercus_resinosa,20.718454,-103.526871
Quercus_resinosa,20.602471,-103.456348
Quercus_resinosa,20.602374,-103.456194
Quercus_resinosa,19.657968,-101.169712
Quercus_resinosa,21.54237,-100.366951
Quercus_resinosa,20.84657,-102.783997
Quercus_resinosa,20.771917,-103.410451
Quercus_resinosa,20.299795,-104.039751
Quercus_resinosa,20.70359,-103.536488
Quercus_resinosa,20.30595,-104.034976
Quercus_resinosa,22.217222,-103.657222
Quercus_resinosa,20.79098,-103.396274
Quercus_resinosa,20.677647,-103.580187
Quercus_resinosa,20.694442,-103.58949
Quercus_resinosa,20.697578,-103.591512
Quercus_resinosa,20.783703,-103.381592
Quercus_resinosa,21.780556,-102.531389
Quercus_resinosa,21.554785,-100.37211
Quercus_resinosa,20.673303,-103.515787
Quercus_resinosa,21.856566,-101.83313
Quercus_resinosa,21.857444,-101.833169
Quercus_resinosa,20.766088,-103.413448
Quercus_resinosa,20.626251,-103.505246
Quercus_resinosa,21.941667,-100.578056
Quercus_resinosa,21.172867,-103.047531
Quercus_resinosa,20.79115,-103.395169
Quercus_resinosa,20.719056,-103.534831
Quercus_resinosa,20.839341,-103.45292
Quercus_resinosa,20.353892,-100.702742
Quercus_resinosa,21.405353,-100.135454
Quercus_resinosa,21.898056,-100.354444
Quercus_resinosa,21.886944,-100.342222
Quercus_resinosa,21.921667,-100.346192
Quercus_resinosa,21.904267,-100.361105
Quercus_resinosa,21.920453,-100.358667
Quercus_resinosa,21.961947,-100.351355
Quercus_resinosa,21.379592,-99.782388
Quercus_resinosa,21.011045,-103.001354
Quercus_resinosa,20.70432,-103.585493
Quercus_resinosa,21.384223,-99.804137
Quercus_resinosa,21.09256,-103.55349
Quercus_resinosa,22.53691,-104.20563
Quercus_resinosa,22.97947,-104.89947
Quercus_resinosa,22.724133,-103.768294
Quercus_resinosa,21.953644,-103.660805
Quercus_resinosa,21.845965,-101.832576
Quercus_resinosa,23.565738,-105.570341
Quercus_resinosa,21.023111,-100.177389
Quercus_resinosa,21.471361,-101.258917
Quercus_resinosa,21.472778,-101.267833
Quercus_resinosa,20.669805,-104.560666
Quercus_resinosa,21.408055,-103.702166
Quercus_resinosa,22.085861,-103.954166
Quercus_resinosa,22.302166,-104.689666
Quercus_resinosa,22.133083,-103.808888
Quercus_resinosa,22.843958,-105.150208
Quercus_resinosa,21.011667,-100.186389
Quercus_resinosa,21.473139,-101.260333
Quercus_resinosa,21.317972,-101.364167
