Species,Latitude,Longitude
Quercus_rugosa,19.938367,-99.819133
Quercus_rugosa,32.372617,-110.693655
Quercus_rugosa,31.396659,-109.925398
Quercus_rugosa,17.191265,-96.449427
Quercus_rugosa,19.259351,-99.135449
Quercus_rugosa,19.966254,-98.045314
Quercus_rugosa,16.754366,-92.633385
Quercus_rugosa,32.391059,-110.706651
Quercus_rugosa,16.720855,-92.659662
Quercus_rugosa,32.426568,-110.78891
Quercus_rugosa,32.417685,-110.732096
Quercus_rugosa,19.262649,-99.180308
Quercus_rugosa,21.34614,-101.66319
Quercus_rugosa,21.065103,-101.185211
Quercus_rugosa,23.450631,-105.427189
Quercus_rugosa,32.007627,-109.310887
Quercus_rugosa,31.429372,-110.306345
Quercus_rugosa,20.188597,-100.145118
Quercus_rugosa,23.673849,-105.44323
Quercus_rugosa,21.213851,-102.948544
Quercus_rugosa,28.586297,-107.627812
Quercus_rugosa,27.870333,-106.710156
Quercus_rugosa,29.338584,-108.181481
Quercus_rugosa,31.789798,-109.281107
Quercus_rugosa,30.535955,-108.589162
Quercus_rugosa,16.733492,-92.645298
Quercus_rugosa,19.271285,-99.22835
Quercus_rugosa,25.688056,-107.026667
Quercus_rugosa,19.343889,-99.09
Quercus_rugosa,32.007623,-109.314729
Quercus_rugosa,32.370614,-110.701361
Quercus_rugosa,32.010483,-109.317173
Quercus_rugosa,28.168635,-108.209557
Quercus_rugosa,23.707648,-105.505657
Quercus_rugosa,23.709544,-105.507503
Quercus_rugosa,23.707891,-105.504492
Quercus_rugosa,23.90298,-99.793983
Quercus_rugosa,32.012181,-109.31652
Quercus_rugosa,21.630347,-100.39322
Quercus_rugosa,31.896226,-109.275968
Quercus_rugosa,23.816877,-105.158195
Quercus_rugosa,19.587817,-99.081614
Quercus_rugosa,31.374778,-110.287675
Quercus_rugosa,31.693522,-110.867758
Quercus_rugosa,20.793333,-100.523889
Quercus_rugosa,21.136798,-103.007647
Quercus_rugosa,31.700292,-110.848525
Quercus_rugosa,23.723842,-105.670917
Quercus_rugosa,18.99383,-99.31102
Quercus_rugosa,21.61156,-102.788836
Quercus_rugosa,19.692146,-101.965637
Quercus_rugosa,19.327381,-100.114012
Quercus_rugosa,20.92564,-100.254448
Quercus_rugosa,19.41498,-99.195497
