Species,Latitude,Longitude
Quercus_sadleriana,41.98784,-123.236354
Quercus_sadleriana,41.561891,-123.182408
Quercus_sadleriana,41.919942,-123.186682
Quercus_sadleriana,41.941698,-123.147085
Quercus_sadleriana,41.047597,-122.796197
Quercus_sadleriana,41.049345,-122.799208
Quercus_sadleriana,42.32206,-124.125561
Quercus_sadleriana,41.941792,-123.145317
Quercus_sadleriana,41.985467,-123.515914
Quercus_sadleriana,42.013603,-123.420775
Quercus_sadleriana,41.811981,-123.699026
Quercus_sadleriana,42.020825,-123.257172
Quercus_sadleriana,41.427281,-123.033797
Quercus_sadleriana,40.96781,-122.5249
Quercus_sadleriana,41.942245,-123.146247
Quercus_sadleriana,41.941769,-123.146263
Quercus_sadleriana,41.091645,-123.517273
Quercus_sadleriana,41.08803,-123.506645
Quercus_sadleriana,41.374,-123.674146
Quercus_sadleriana,41.39141,-123.551179
Quercus_sadleriana,41.346021,-123.662836
Quercus_sadleriana,41.090021,-123.548894
Quercus_sadleriana,41.08152,-123.531341
Quercus_sadleriana,41.100585,-123.502904
Quercus_sadleriana,41.050789,-122.806973
Quercus_sadleriana,40.988398,-122.773439
Quercus_sadleriana,41.061882,-122.767586
Quercus_sadleriana,41.089811,-123.535626
Quercus_sadleriana,41.442371,-123.421669
Quercus_sadleriana,41.935176,-123.488045
Quercus_sadleriana,41.74355,-123.775117
Quercus_sadleriana,42.077611,-123.829138
Quercus_sadleriana,42.091622,-123.376062
Quercus_sadleriana,41.688103,-123.573478
Quercus_sadleriana,40.989646,-122.773302
Quercus_sadleriana,41.101915,-123.536811
Quercus_sadleriana,41.089512,-123.550974
Quercus_sadleriana,41.100689,-123.50289
Quercus_sadleriana,41.417983,-123.64312
Quercus_sadleriana,41.675231,-123.685928
Quercus_sadleriana,41.687728,-123.571586
Quercus_sadleriana,41.600592,-123.715692
Quercus_sadleriana,41.588154,-123.147186
Quercus_sadleriana,42.003694,-123.82875
Quercus_sadleriana,41.965649,-123.308008
Quercus_sadleriana,41.984337,-123.318305
Quercus_sadleriana,42.020325,-123.258797
Quercus_sadleriana,41.562857,-123.19002
Quercus_sadleriana,41.672979,-123.558389
Quercus_sadleriana,42.254444,-123.754444
Quercus_sadleriana,41.818563,-123.693508
Quercus_sadleriana,41.499835,-123.32634
Quercus_sadleriana,41.069021,-123.472829
Quercus_sadleriana,41.88132,-123.70408
Quercus_sadleriana,41.082004,-123.477989
Quercus_sadleriana,42.085,-123.37
Quercus_sadleriana,41.0895,-123.5519
Quercus_sadleriana,42.0152,-123.5495
Quercus_sadleriana,42.27,-123.7
Quercus_sadleriana,42.266667,-123.7
Quercus_sadleriana,42.198,-123.4087
Quercus_sadleriana,42.63189,-123.85484
Quercus_sadleriana,41.9852,-123.5157
Quercus_sadleriana,41.998333,-123.530833
Quercus_sadleriana,41.9983,-123.5308
Quercus_sadleriana,41.98591,-123.51246
Quercus_sadleriana,41.98799999906181,-123.528
Quercus_sadleriana,41.943056,-123.145833
Quercus_sadleriana,41.94306,-123.14583
Quercus_sadleriana,42.287222,-123.829167
Quercus_sadleriana,42.014167,-123.836111
Quercus_sadleriana,42.05,-123.93
Quercus_sadleriana,41.633333,-123.266667
Quercus_sadleriana,41.988611,-123.529167
Quercus_sadleriana,41.9886,-123.5292
Quercus_sadleriana,41.08361099906535,-123.66916700000002
Quercus_sadleriana,41.083289,-123.596064
Quercus_sadleriana,40.6,-122.9
Quercus_sadleriana,42.00056,-123.535
Quercus_sadleriana,41.9978,-123.5292
Quercus_sadleriana,41.849993,-123.065581
Quercus_sadleriana,41.984156,-123.939717
Quercus_sadleriana,41.518172,-123.288247
Quercus_sadleriana,41.98414,-123.93961
Quercus_sadleriana,42.016667,-123.766667
Quercus_sadleriana,41.8333,-123.9333
Quercus_sadleriana,41.9686,-123.1274
Quercus_sadleriana,41.9776,-123.5159
Quercus_sadleriana,41.475,-122.2396
Quercus_sadleriana,41.4215,-122.2015
Quercus_sadleriana,41.9417,-123.1447
Quercus_sadleriana,41.373333,-123.674444
Quercus_sadleriana,41.220556,-123.503333
Quercus_sadleriana,41.5533,-123.6814
Quercus_sadleriana,41.393611,-123.750833
Quercus_sadleriana,41.5488,-123.6817
Quercus_sadleriana,41.391389,-123.556944
Quercus_sadleriana,41.372778,-123.750278
Quercus_sadleriana,41.542778,-123.695
Quercus_sadleriana,40.98972199906577,-122.779444
Quercus_sadleriana,41.921259491223765,-123.1858558593145
Quercus_sadleriana,41.738611,-123.674722
Quercus_sadleriana,41.83,-123.651
Quercus_sadleriana,41.6116,-123.7079
Quercus_sadleriana,41.674722,-123.686111
Quercus_sadleriana,41.687222,-123.691944
Quercus_sadleriana,41.676944,-123.716944
Quercus_sadleriana,41.913083,-123.510061
Quercus_sadleriana,41.7945,-123.6734
Quercus_sadleriana,41.8012,-123.672
Quercus_sadleriana,41.560528,-123.752333
Quercus_sadleriana,41.540167,-123.446639
Quercus_sadleriana,41.763556,-123.750611
Quercus_sadleriana,41.9596,-123.8096
Quercus_sadleriana,41.783944,-123.664083
Quercus_sadleriana,41.789611,-123.665611
Quercus_sadleriana,41.586,-123.819111
Quercus_sadleriana,41.894306,-123.1995
Quercus_sadleriana,41.106389,-123.483972
Quercus_sadleriana,41.606944,-123.715083
Quercus_sadleriana,41.10594,-122.88779
Quercus_sadleriana,41.58375,-123.702694
Quercus_sadleriana,42.0222,-123.46127
Quercus_sadleriana,41.067917,-123.471694
Quercus_sadleriana,42.557,-123.7297
Quercus_sadleriana,41.4786,-123.0918
Quercus_sadleriana,42.3596,-124.1382
Quercus_sadleriana,41.93986,-123.12811
Quercus_sadleriana,41.8035,-123.6703
Quercus_sadleriana,41.45144,-123.41931
Quercus_sadleriana,41.366667,-123.75
Quercus_sadleriana,41.792,-123.7178
Quercus_sadleriana,41.089794,-122.829725
Quercus_sadleriana,40.98936,-122.77565
Quercus_sadleriana,41.049725,-122.798158
Quercus_sadleriana,41.47801,-123.44328
Quercus_sadleriana,41.544504,-123.777084
Quercus_sadleriana,41.493597,-123.429481
Quercus_sadleriana,41.54552,-123.71271
Quercus_sadleriana,41.778404,-123.759507
Quercus_sadleriana,41.8203,-123.6884
Quercus_sadleriana,41.81559,-123.74622
Quercus_sadleriana,41.5907,-123.6928
Quercus_sadleriana,41.952149,-123.036794
Quercus_sadleriana,42.0225,-123.4583
Quercus_sadleriana,41.92039,-123.6559
Quercus_sadleriana,42.24067,-123.76729
Quercus_sadleriana,42.23909,-123.76245
Quercus_sadleriana,41.9925,-123.5277
Quercus_sadleriana,41.96613,-123.50298
Quercus_sadleriana,41.933333,-123.65
Quercus_sadleriana,41.44752,-123.42732
Quercus_sadleriana,41.91975526674247,-123.65486685676863
Quercus_sadleriana,41.9333,-123.65
Quercus_sadleriana,41.94381961912877,-123.13627505461508
Quercus_sadleriana,42.7883,-123.7166
Quercus_sadleriana,41.09333,-123.55833
Quercus_sadleriana,42.78833,-123.71944
Quercus_sadleriana,42.788333,-123.716667
Quercus_sadleriana,42.385,-123.6867
Quercus_sadleriana,42.671667,-124.145
Quercus_sadleriana,41.943333,-123.146667
Quercus_sadleriana,41.55863421957858,-123.24554145203183
Quercus_sadleriana,41.093333,-123.558333
Quercus_sadleriana,41.99,-123.79
Quercus_sadleriana,41.561667,-123.25
Quercus_sadleriana,42.78833,-123.71667
Quercus_sadleriana,42.78833299905946,-123.7
Quercus_sadleriana,41.0933,-123.5583
Quercus_sadleriana,41.56964,-123.25031
Quercus_sadleriana,42.6717,-124.145
Quercus_sadleriana,42.7883,-123.7167
Quercus_sadleriana,41.9362,-123.1488
Quercus_sadleriana,41.6848,-123.9098
Quercus_sadleriana,41.4457,-123.1446
Quercus_sadleriana,41.96244573757458,-123.5363947740735
Quercus_sadleriana,41.97053,-123.53662
Quercus_sadleriana,41.4147,-123.2357
Quercus_sadleriana,41.418889,-123.231656
Quercus_sadleriana,41.85678,-123.61766
Quercus_sadleriana,41.4184,-123.2336
Quercus_sadleriana,41.9853,-123.5244
Quercus_sadleriana,41.94213,-123.13889
Quercus_sadleriana,41.981531,-123.517765
Quercus_sadleriana,41.4346,-123.1797
Quercus_sadleriana,41.8078,-123.7414
Quercus_sadleriana,41.56643,-123.19952
Quercus_sadleriana,41.960114,-123.492158
Quercus_sadleriana,41.95683621002561,-123.49307366536401
Quercus_sadleriana,41.565039,-123.145711
Quercus_sadleriana,41.807,-123.742
Quercus_sadleriana,41.9,-123.65
Quercus_sadleriana,41.561806,-123.185517
Quercus_sadleriana,41.56553,-123.18609
Quercus_sadleriana,42.0603,-123.2991
Quercus_sadleriana,41.57985,-123.17146
Quercus_sadleriana,41.6523,-123.6933
Quercus_sadleriana,41.65233,-123.6933
Quercus_sadleriana,41.58675,-123.15103
Quercus_sadleriana,41.58944399906326,-123.143611
Quercus_sadleriana,41.58679,-123.15099
Quercus_sadleriana,41.56719,-123.20861
Quercus_sadleriana,41.97226,-123.53646
Quercus_sadleriana,41.9316,-123.5455
Quercus_sadleriana,41.971,-123.511
Quercus_sadleriana,41.9526,-123.50521
Quercus_sadleriana,41.928375,-123.562136
Quercus_sadleriana,42.2986,-123.8462
Quercus_sadleriana,41.130811,-122.314933
Quercus_sadleriana,42.065,-123.3022
Quercus_sadleriana,41.99257,-123.52774
Quercus_sadleriana,41.607408,-123.297692
Quercus_sadleriana,41.909503,-122.979875
Quercus_sadleriana,41.983292,-123.529956
Quercus_sadleriana,42.00064,-123.53517
Quercus_sadleriana,41.9294,-122.9633
Quercus_sadleriana,41.90165559566125,-123.64706637914797
