Species,Latitude,Longitude
Quercus_sapotifolia,14.400544,-89.393156
Quercus_sapotifolia,16.881055,-99.888351
Quercus_sapotifolia,16.882575,-99.887149
Quercus_sapotifolia,16.135177,-91.732535
Quercus_sapotifolia,13.726306,-86.328389
Quercus_sapotifolia,16.705703,-92.614574
Quercus_sapotifolia,16.768475,-93.988848
Quercus_sapotifolia,16.880233,-93.456962
Quercus_sapotifolia,17.018611,-89.068333
Quercus_sapotifolia,16.705642,-92.614503
Quercus_sapotifolia,16.662083,-94.011177
Quercus_sapotifolia,17.183887,-93.115028
Quercus_sapotifolia,20.11821,-97.48019
Quercus_sapotifolia,20.1182,-97.4802
Quercus_sapotifolia,13.741722,-86.457917
Quercus_sapotifolia,13.637528,-86.645611
Quercus_sapotifolia,13.751639,-86.456333
Quercus_sapotifolia,14.2918,-89.1002
Quercus_sapotifolia,16.705692,-92.614568
Quercus_sapotifolia,13.969167,-88.092917
Quercus_sapotifolia,14.376667,-89.305
Quercus_sapotifolia,14.37933,-89.36583
Quercus_sapotifolia,13.606972,-86.648305
Quercus_sapotifolia,14.41417,-89.39444
Quercus_sapotifolia,19.9805,-97.7116
Quercus_sapotifolia,12.971417,-86.363111
Quercus_sapotifolia,20.01213,-97.62089
Quercus_sapotifolia,20.0121,-97.6209
Quercus_sapotifolia,16.835427,-93.076859
Quercus_sapotifolia,13.643306,-86.636778
Quercus_sapotifolia,10.1298,-84.1192
Quercus_sapotifolia,19.324167,-96.745
Quercus_sapotifolia,9.136611,-83.065056
Quercus_sapotifolia,16.06638,-97.84491
Quercus_sapotifolia,16.114443,-91.728804
Quercus_sapotifolia,20.0559,-97.4177
Quercus_sapotifolia,20.05593,-97.4177
Quercus_sapotifolia,13.737306,-86.382417
Quercus_sapotifolia,19.9307,-97.7225
Quercus_sapotifolia,19.93071,-97.72247
Quercus_sapotifolia,16.174477,-93.62178
Quercus_sapotifolia,17.217361,-95.7205
Quercus_sapotifolia,9.741111,-84.1675
Quercus_sapotifolia,13.941944,-88.078056
Quercus_sapotifolia,13.94206,-88.07808
Quercus_sapotifolia,16.096231,-91.669887
Quercus_sapotifolia,15.260139,-92.217278
Quercus_sapotifolia,16.859464,-92.447856
Quercus_sapotifolia,13.739139,-86.372861
Quercus_sapotifolia,13.549028,-86.416333
Quercus_sapotifolia,17.216111,-95.896
Quercus_sapotifolia,14.35944,-89.38167
Quercus_sapotifolia,14.359444,-89.381667
Quercus_sapotifolia,13.7375,-86.3825
Quercus_sapotifolia,13.737778,-86.380556
Quercus_sapotifolia,12.983333,-86.366667
Quercus_sapotifolia,13.738806,-86.37325
Quercus_sapotifolia,13.93333,-88.06667
Quercus_sapotifolia,20.943611,-98.7975
Quercus_sapotifolia,13.223611,-86.123333
Quercus_sapotifolia,13.325833,-86.640555
Quercus_sapotifolia,13.281111,-86.6525
Quercus_sapotifolia,9.73161,-83.941475
Quercus_sapotifolia,9.686833,-83.923308
Quercus_sapotifolia,9.519167,-84.045
Quercus_sapotifolia,9.842222,-84.115278
Quercus_sapotifolia,13.071111,-86.428056
Quercus_sapotifolia,16.91736,-92.995239
Quercus_sapotifolia,16.918386,-92.995222
Quercus_sapotifolia,16.952944,-93.035072
Quercus_sapotifolia,17.040283,-93.131339
Quercus_sapotifolia,15.947361,-92.726472
Quercus_sapotifolia,13.31583,-86.63388
Quercus_sapotifolia,10.135111,-84.118722
Quercus_sapotifolia,17.967361,-96.683833
Quercus_sapotifolia,13.033333,-86.3
Quercus_sapotifolia,13.333333,-86.633333
Quercus_sapotifolia,12.95,-86.333333
Quercus_sapotifolia,13.233333,-86.233333
Quercus_sapotifolia,13.216667,-86.25
Quercus_sapotifolia,13.916667,-86.15
Quercus_sapotifolia,13.222222,-86.246944
Quercus_sapotifolia,16.73525,-95.513417
Quercus_sapotifolia,16.83425,-95.296833
Quercus_sapotifolia,9.38898,-83.20962
Quercus_sapotifolia,19.490278,-97.043611
Quercus_sapotifolia,19.369722,-96.973055
Quercus_sapotifolia,16.846111,-97.684833
Quercus_sapotifolia,10.966667,-85.475
Quercus_sapotifolia,13.385278,-86.261667
Quercus_sapotifolia,13.416667,-86.240278
Quercus_sapotifolia,10.180556,-84.241389
Quercus_sapotifolia,15.510556,-92.678056
Quercus_sapotifolia,14.2,-89.01667
Quercus_sapotifolia,14.19556,-89.00389
Quercus_sapotifolia,9.683922,-83.876688
Quercus_sapotifolia,10.141812,-84.117072
Quercus_sapotifolia,15.606389,-92.655278
Quercus_sapotifolia,15.606306,-92.655361
Quercus_sapotifolia,9.54941,-83.79952
Quercus_sapotifolia,9.538917,-83.818861
Quercus_sapotifolia,9.538917,-83.81886
Quercus_sapotifolia,10.235278,-84.117778
Quercus_sapotifolia,9.883245,-84.154632
Quercus_sapotifolia,9.077778,-83.033333
Quercus_sapotifolia,9.956278,-83.878444
Quercus_sapotifolia,15.305833,-91.531111
Quercus_sapotifolia,15.60611,-92.65527
Quercus_sapotifolia,16.549167,-88.827222
Quercus_sapotifolia,15.931667,-93.248055
