Species,Latitude,Longitude
Quercus_scytophylla,16.771833,-94.017675
Quercus_scytophylla,17.195439,-98.408455
Quercus_scytophylla,17.172917,-96.292361
Quercus_scytophylla,28.08776,-107.31123
Quercus_scytophylla,15.915904,-92.842918
Quercus_scytophylla,17.052667,-96.017333
Quercus_scytophylla,16.980917,-96.0475
Quercus_scytophylla,18.192167,-96.917944
Quercus_scytophylla,17.088611,-96.089999
Quercus_scytophylla,17.942667,-96.828917
Quercus_scytophylla,17.135694,-96.20925
Quercus_scytophylla,17.127889,-96.242027
Quercus_scytophylla,17.110278,-96.221111
Quercus_scytophylla,17.329751,-96.472209
Quercus_scytophylla,17.121528,-96.24625
Quercus_scytophylla,19.259722,-103.249444
Quercus_scytophylla,17.964444,-101.232778
Quercus_scytophylla,16.974833,-95.994694
Quercus_scytophylla,19.583611,-101.092778
Quercus_scytophylla,18.982561,-99.487544
Quercus_scytophylla,16.761861,-97.274417
Quercus_scytophylla,19.3,-104.016667
Quercus_scytophylla,19.591667,-104.402778
Quercus_scytophylla,19.503611,-104.294444
Quercus_scytophylla,18.171972,-97.001889
Quercus_scytophylla,18.172,-97.0019
Quercus_scytophylla,18.171944,-97.001944
Quercus_scytophylla,18.17197,-97.00189
Quercus_scytophylla,25.84803,-107.55286
Quercus_scytophylla,18.194722,-101.351667
Quercus_scytophylla,18.184167,-101.184167
Quercus_scytophylla,18.178889,-101.4025
Quercus_scytophylla,18.191111,-101.4125
Quercus_scytophylla,18.2025,-101.411389
Quercus_scytophylla,20.389444,-105.050833
Quercus_scytophylla,18.2065,-101.407
Quercus_scytophylla,18.200028,-101.420139
Quercus_scytophylla,18.18075,-101.402694
Quercus_scytophylla,18.208861,-101.335889
Quercus_scytophylla,18.184861,-101.361583
Quercus_scytophylla,18.217889,-101.330833
Quercus_scytophylla,17.421111,-100.063611
Quercus_scytophylla,23.63333,-105.83333
Quercus_scytophylla,23.48583,-105.84583
Quercus_scytophylla,23.6,-105.86667
Quercus_scytophylla,18.205556,-101.446111
Quercus_scytophylla,17.534444,-99.894444
Quercus_scytophylla,17.525278,-99.952778
Quercus_scytophylla,17.518889,-99.963611
Quercus_scytophylla,18.560278,-99.666667
Quercus_scytophylla,18.623056,-99.833889
Quercus_scytophylla,17.494444,-99.997222
Quercus_scytophylla,18.608056,-99.633611
