Species,Latitude,Longitude
Quercus_serrata,39.625226,140.197087
Quercus_serrata,39.62529,140.196669
Quercus_serrata,35.611106,139.331344
Quercus_serrata,35.631033,139.648766
Quercus_serrata,35.635318,139.523435
Quercus_serrata,35.696141,140.109708
Quercus_serrata,35.910455,139.273696
Quercus_serrata,35.877037,139.315858
Quercus_serrata,35.893266,139.303651
Quercus_serrata,35.9179,139.25454
Quercus_serrata,35.826608,126.41295
Quercus_serrata,35.965294,138.972293
Quercus_serrata,35.965193,138.972429
Quercus_serrata,36.377699,137.802602
Quercus_serrata,35.738785,139.600303
Quercus_serrata,36.512222,126.723333
Quercus_serrata,36.5122,126.723
Quercus_serrata,37.696712,126.298096
Quercus_serrata,37.720298,126.440491
Quercus_serrata,35.313559,138.186865
Quercus_serrata,35.764143,139.281887
Quercus_serrata,35.503986,139.540756
Quercus_serrata,35.778298,139.012402
Quercus_serrata,36.643482,138.312236
Quercus_serrata,35.590261,139.544533
Quercus_serrata,35.458083,127.572317
Quercus_serrata,35.389422,126.410956
Quercus_serrata,34.604561,126.094067
Quercus_serrata,35.184139,127.700389
Quercus_serrata,35.017806,135.669305
Quercus_serrata,35.688049,139.757123
Quercus_serrata,35.670118,139.691441
Quercus_serrata,35.042917,126.470694
Quercus_serrata,36.257944,129.039361
Quercus_serrata,36.410556,127.688361
Quercus_serrata,34.363111,126.572056
Quercus_serrata,34.74025,128.021058
Quercus_serrata,35.017022,126.8311
Quercus_serrata,37.584769,128.263594
Quercus_serrata,35.187778,126.5575
Quercus_serrata,35.274167,126.583333
Quercus_serrata,36.517778,129.047639
Quercus_serrata,35.491389,128.550833
Quercus_serrata,37.121528,129.157944
Quercus_serrata,38.127972,127.155028
Quercus_serrata,35.266444,127.258528
Quercus_serrata,38.040953,128.172794
Quercus_serrata,37.220722,126.122972
Quercus_serrata,36.229186,126.089806
Quercus_serrata,35.207528,127.27725
Quercus_serrata,34.428028,127.041622
Quercus_serrata,35.293417,127.859056
Quercus_serrata,35.314311,129.131803
Quercus_serrata,38.330028,128.514917
Quercus_serrata,34.850144,126.256892
Quercus_serrata,38.056675,128.013244
Quercus_serrata,34.990208,126.551383
Quercus_serrata,34.349361,126.564722
Quercus_serrata,34.77925,126.139417
Quercus_serrata,38.472167,128.403972
Quercus_serrata,35.146611,127.161139
Quercus_serrata,35.305989,126.636739
Quercus_serrata,34.893833,126.049389
Quercus_serrata,35.195194,127.6825
Quercus_serrata,34.69905,128.189269
Quercus_serrata,37.216806,126.165444
Quercus_serrata,34.791611,125.985639
Quercus_serrata,38.195917,128.313028
Quercus_serrata,35.201944,126.54
Quercus_serrata,37.013556,128.837056
Quercus_serrata,37.106717,128.639303
Quercus_serrata,36.696945,128.145035
Quercus_serrata,35.26625,127.342917
Quercus_serrata,36.328736,126.360753
Quercus_serrata,37.058278,129.050833
Quercus_serrata,35.44455,127.697817
Quercus_serrata,35.48125,128.542222
Quercus_serrata,35.205556,126.553333
Quercus_serrata,38.195528,127.371778
Quercus_serrata,37.057111,129.143944
Quercus_serrata,37.099408,128.464394
Quercus_serrata,35.769253,128.782136
Quercus_serrata,35.796592,128.694367
Quercus_serrata,33.628248,133.736211
Quercus_serrata,34.983667,126.560931
Quercus_serrata,34.599267,126.602394
Quercus_serrata,36.826592,127.666761
Quercus_serrata,37.212433,128.771608
Quercus_serrata,34.843028,126.071222
Quercus_serrata,35.782314,128.696467
Quercus_serrata,35.281117,127.2304
Quercus_serrata,34.522086,126.464375
Quercus_serrata,35.265833,126.596111
Quercus_serrata,34.734836,126.163508
Quercus_serrata,35.258611,128.286389
Quercus_serrata,37.101039,128.361914
Quercus_serrata,36.349611,126.358508
Quercus_serrata,38.167744,127.919786
Quercus_serrata,35.279367,129.058878
Quercus_serrata,37.091694,129.11075
Quercus_serrata,37.401897,128.321461
Quercus_serrata,35.228889,126.516667
Quercus_serrata,37.199772,128.345725
Quercus_serrata,36.360269,126.451681
Quercus_serrata,37.239831,128.138164
Quercus_serrata,34.805861,125.99275
Quercus_serrata,36.836464,127.552311
Quercus_serrata,37.211608,128.132719
Quercus_serrata,34.296139,126.52425
Quercus_serrata,36.467278,127.556389
Quercus_serrata,36.507833,128.768639
Quercus_serrata,35.293361,126.732222
Quercus_serrata,37.318456,128.315133
Quercus_serrata,37.116681,128.361611
Quercus_serrata,36.645194,129.212667
Quercus_serrata,35.271389,126.607222
Quercus_serrata,37.383903,128.271956
Quercus_serrata,37.361558,128.307264
Quercus_serrata,37.235564,128.521589
Quercus_serrata,36.557565,139.862871
Quercus_serrata,35.565278,127.281667
Quercus_serrata,37.81825,128.200139
Quercus_serrata,35.278611,128.230833
Quercus_serrata,37.230722,126.121028
Quercus_serrata,37.231806,126.121389
Quercus_serrata,37.6693,125.695956
Quercus_serrata,35.041056,126.459528
Quercus_serrata,38.334361,128.508583
Quercus_serrata,36.161656,128.975675
Quercus_serrata,35.608889,126.797778
Quercus_serrata,37.209969,128.352153
Quercus_serrata,36.54982,139.930618
Quercus_serrata,38.289417,128.509833
Quercus_serrata,34.354889,126.564139
Quercus_serrata,35.196806,128.377778
Quercus_serrata,35.890736,129.416336
Quercus_serrata,37.201328,128.732281
Quercus_serrata,37.860222,128.208139
Quercus_serrata,34.645008,128.265625
Quercus_serrata,36.223419,126.072594
Quercus_serrata,35.555078,127.563606
Quercus_serrata,35.264131,128.909961
Quercus_serrata,37.571306,128.839472
Quercus_serrata,35.2025,128.41625
Quercus_serrata,35.47,128.577083
Quercus_serrata,36.100917,127.752633
Quercus_serrata,38.356944,128.502194
Quercus_serrata,38.199139,128.303389
Quercus_serrata,36.812022,127.665467
Quercus_serrata,37.428114,129.073544
Quercus_serrata,37.820056,128.20125
Quercus_serrata,37.380556,128.526392
Quercus_serrata,34.706808,126.134422
Quercus_serrata,34.711808,126.12785
Quercus_serrata,37.656264,125.696181
Quercus_serrata,37.282967,128.979503
Quercus_serrata,35.261528,128.300278
Quercus_serrata,35.4725,128.54125
Quercus_serrata,36.570525,139.886519
Quercus_serrata,37.222639,126.132694
Quercus_serrata,37.217111,126.124944
Quercus_serrata,36.236306,127.781333
Quercus_serrata,36.208111,127.833167
Quercus_serrata,37.152389,127.451361
Quercus_serrata,33.430667,126.657028
Quercus_serrata,33.392222,126.636528
Quercus_serrata,37.369306,126.833444
Quercus_serrata,37.205119,127.277006
Quercus_serrata,37.052794,127.185794
Quercus_serrata,36.471194,127.041944
Quercus_serrata,36.198389,127.97025
Quercus_serrata,34.998583,128.093244
Quercus_serrata,36.161472,126.837433
Quercus_serrata,36.204803,126.699642
Quercus_serrata,36.424222,126.897
Quercus_serrata,34.945436,127.324861
Quercus_serrata,37.271422,126.460386
Quercus_serrata,33.309472,126.453889
Quercus_serrata,36.2325,126.614444
Quercus_serrata,37.368833,126.834333
Quercus_serrata,36.19125,128.08675
Quercus_serrata,36.195917,128.091056
Quercus_serrata,36.185333,128.079389
Quercus_serrata,36.228611,127.35
Quercus_serrata,34.999392,128.104022
Quercus_serrata,33.311944,126.450917
Quercus_serrata,34.545,127.232222
Quercus_serrata,34.517417,127.423244
Quercus_serrata,34.682222,127.404722
