Species,Latitude,Longitude
Quercus_shumardii,29.652038,-82.346517
Quercus_shumardii,29.709862,-82.454767
Quercus_shumardii,29.470307,-98.470692
Quercus_shumardii,30.715649,-95.556086
Quercus_shumardii,30.566523,-84.947801
Quercus_shumardii,32.80421,-97.463505
Quercus_shumardii,32.807148,-97.450918
Quercus_shumardii,30.507058,-97.685175
Quercus_shumardii,33.9697,-83.729367
Quercus_shumardii,30.849778,-96.980483
Quercus_shumardii,33.211423,-97.148765
Quercus_shumardii,32.734437,-97.364703
Quercus_shumardii,33.211388,-97.148894
Quercus_shumardii,32.746665,-97.27005
Quercus_shumardii,29.66425,-82.397458
Quercus_shumardii,35.979925,-79.002029
Quercus_shumardii,31.216853,-97.456963
Quercus_shumardii,32.667186,-97.438839
Quercus_shumardii,33.224377,-97.128955
Quercus_shumardii,33.260147,-96.654871
Quercus_shumardii,42.298956,-82.881084
Quercus_shumardii,42.398379,-82.870178
Quercus_shumardii,29.715163,-95.439195
Quercus_shumardii,35.151755,-106.57937
Quercus_shumardii,36.614495,-87.268622
Quercus_shumardii,33.051042,-95.091904
Quercus_shumardii,35.974608,-79.100578
Quercus_shumardii,30.053427,-97.829905
Quercus_shumardii,33.05115,-96.67163
Quercus_shumardii,29.7083,-95.404768
Quercus_shumardii,32.588372,-97.096458
Quercus_shumardii,32.588445,-97.096428
Quercus_shumardii,32.828053,-96.671981
Quercus_shumardii,29.563393,-98.525255
Quercus_shumardii,36.074372,-78.868063
Quercus_shumardii,32.79388,-96.770776
Quercus_shumardii,32.868449,-96.921949
Quercus_shumardii,32.79386,-96.761664
Quercus_shumardii,36.073608,-78.902625
Quercus_shumardii,32.868337,-96.921938
Quercus_shumardii,32.810721,-96.676508
Quercus_shumardii,32.762812,-97.67768
Quercus_shumardii,32.808908,-96.761624
Quercus_shumardii,32.793744,-96.784754
Quercus_shumardii,32.858373,-96.716968
Quercus_shumardii,32.860733,-96.722348
Quercus_shumardii,35.952878,-78.977387
Quercus_shumardii,29.888099,-97.935149
Quercus_shumardii,32.811908,-96.800977
Quercus_shumardii,32.851368,-96.840229
Quercus_shumardii,29.712186,-95.382828
Quercus_shumardii,32.850686,-97.069193
Quercus_shumardii,32.797421,-96.742005
Quercus_shumardii,32.707659,-97.48038
Quercus_shumardii,29.612012,-95.344779
Quercus_shumardii,32.858373,-96.716803
Quercus_shumardii,33.31825,-96.779359
Quercus_shumardii,34.510744,-97.967924
Quercus_shumardii,33.157453,-96.815812
Quercus_shumardii,32.855985,-96.730911
Quercus_shumardii,33.051175,-96.670921
Quercus_shumardii,33.156326,-96.877126
Quercus_shumardii,32.811836,-96.800481
Quercus_shumardii,29.429912,-95.490454
Quercus_shumardii,29.712131,-95.383325
Quercus_shumardii,33.828936,-96.567368
Quercus_shumardii,29.808595,-98.764542
Quercus_shumardii,35.214645,-97.228278
Quercus_shumardii,30.66382,-97.716653
Quercus_shumardii,29.955556,-96.463056
Quercus_shumardii,29.661067,-95.480562
Quercus_shumardii,33.786518,-84.303253
Quercus_shumardii,33.165103,-96.858138
Quercus_shumardii,33.091949,-96.706086
Quercus_shumardii,32.329692,-96.653308
Quercus_shumardii,29.230341,-98.562957
Quercus_shumardii,32.884453,-97.222585
Quercus_shumardii,32.811664,-96.802545
Quercus_shumardii,32.808625,-96.803397
Quercus_shumardii,32.809002,-96.80395
Quercus_shumardii,30.317899,-96.613955
Quercus_shumardii,32.886063,-96.727944
Quercus_shumardii,32.807656,-96.80211
Quercus_shumardii,32.886112,-96.727681
Quercus_shumardii,32.886081,-96.728284
Quercus_shumardii,32.788014,-96.880623
Quercus_shumardii,30.578762,-84.947113
Quercus_shumardii,32.787952,-96.880733
Quercus_shumardii,32.687042,-97.37587
Quercus_shumardii,32.999137,-96.703992
Quercus_shumardii,37.361651,-88.925106
Quercus_shumardii,37.782567,-84.242239
Quercus_shumardii,29.37689,-95.587801
Quercus_shumardii,32.788912,-96.88012
Quercus_shumardii,32.925857,-97.483981
Quercus_shumardii,34.581184,-86.619527
Quercus_shumardii,38.639093,-77.203628
Quercus_shumardii,36.220232,-94.162414
Quercus_shumardii,33.131124,-96.742827
Quercus_shumardii,33.134197,-96.743523
Quercus_shumardii,34.634695,-92.838287
Quercus_shumardii,37.358462,-88.917939
Quercus_shumardii,29.960809,-82.765075
Quercus_shumardii,33.031284,-96.660418
Quercus_shumardii,32.603932,-92.046466
Quercus_shumardii,33.031298,-96.660118
Quercus_shumardii,32.817698,-97.251887
Quercus_shumardii,32.818273,-97.253232
Quercus_shumardii,35.917737,-78.96765
Quercus_shumardii,31.786008,-97.787061
Quercus_shumardii,30.216737,-95.502293
Quercus_shumardii,29.821777,-96.112317
Quercus_shumardii,32.771212,-97.248149
Quercus_shumardii,30.026835,-95.574216
Quercus_shumardii,37.556867,-84.240868
