Species,Latitude,Longitude
Quercus_sideroxyla,21.510746,-103.659652
Quercus_sideroxyla,23.690015,-105.419917
Quercus_sideroxyla,23.673851,-105.443238
Quercus_sideroxyla,28.963259,-102.57904
Quercus_sideroxyla,23.726598,-105.679939
Quercus_sideroxyla,23.835053,-105.323023
Quercus_sideroxyla,23.831523,-105.321602
Quercus_sideroxyla,23.826733,-105.29605
Quercus_sideroxyla,23.557176,-105.370598
Quercus_sideroxyla,23.637925,-105.040042
Quercus_sideroxyla,23.630238,-105.06793
Quercus_sideroxyla,23.630227,-105.06804
Quercus_sideroxyla,23.640357,-105.058915
Quercus_sideroxyla,23.619198,-105.410222
Quercus_sideroxyla,23.903675,-99.799683
Quercus_sideroxyla,23.897135,-99.796608
Quercus_sideroxyla,26.567587,-106.541457
Quercus_sideroxyla,23.723842,-105.670917
Quercus_sideroxyla,23.672182,-105.454976
Quercus_sideroxyla,23.706899,-105.426478
Quercus_sideroxyla,23.687879,-105.424204
Quercus_sideroxyla,23.89212,-105.013708
Quercus_sideroxyla,26.487917,-106.460609
Quercus_sideroxyla,23.295883,-104.671464
Quercus_sideroxyla,26.39528,-106.33472
Quercus_sideroxyla,24.82771,-105.53719
Quercus_sideroxyla,23.40851,-104.81201
Quercus_sideroxyla,23.34611,-104.71081
Quercus_sideroxyla,27.50816,-107.03317
Quercus_sideroxyla,25.042472,-106.041197
Quercus_sideroxyla,27.86247,-107.64358
Quercus_sideroxyla,25.35952,-106.05061
Quercus_sideroxyla,23.525,-104.86219
Quercus_sideroxyla,27.982167,-107.421611
Quercus_sideroxyla,23.98808,-99.6847
Quercus_sideroxyla,24.999306,-106.091083
Quercus_sideroxyla,23.529333,-104.615972
Quercus_sideroxyla,27.800969,-107.471523
Quercus_sideroxyla,24.556111,-105.479694
Quercus_sideroxyla,23.479916,-104.811666
Quercus_sideroxyla,23.528055,-104.664972
Quercus_sideroxyla,27.995145,-107.57575
Quercus_sideroxyla,27.813055,-107.401138
Quercus_sideroxyla,20.959778,-100.288222
Quercus_sideroxyla,21.369194,-101.635555
Quercus_sideroxyla,21.368972,-101.635389
Quercus_sideroxyla,23.511756,-104.869586
Quercus_sideroxyla,25.076533,-106.123197
Quercus_sideroxyla,24.333083,-105.931083
Quercus_sideroxyla,24.333278,-105.931417
Quercus_sideroxyla,23.873889,-105.424167
Quercus_sideroxyla,23.471944,-104.273889
Quercus_sideroxyla,28.98967,-102.61183
Quercus_sideroxyla,28.96833,-102.57333
Quercus_sideroxyla,19.961417,-100.147917
Quercus_sideroxyla,19.969583,-100.15
Quercus_sideroxyla,24.83,-100.06
Quercus_sideroxyla,27.239722,-107.935833
Quercus_sideroxyla,25.423611,-100.553611
Quercus_sideroxyla,24.420556,-104.456962
Quercus_sideroxyla,28.957222,-102.6
Quercus_sideroxyla,21.056667,-101.17
Quercus_sideroxyla,21.053344,-101.1675
Quercus_sideroxyla,25.3375,-100.923333
Quercus_sideroxyla,23.74,-105.556667
Quercus_sideroxyla,23.67222,-105.725
Quercus_sideroxyla,23.74,-105.55667
Quercus_sideroxyla,23.64028,-105.43
Quercus_sideroxyla,28.179167,-108.280556
Quercus_sideroxyla,28.17917,-108.28056
Quercus_sideroxyla,28.343889,-108.013889
Quercus_sideroxyla,29.331944,-108.374444
Quercus_sideroxyla,29.158056,-108.400833
Quercus_sideroxyla,29.4694,-108.494
Quercus_sideroxyla,29.152222,-108.400833
Quercus_sideroxyla,28.34389,-108.01389
Quercus_sideroxyla,27.3,-107.541667
Quercus_sideroxyla,27.25,-107.583333
Quercus_sideroxyla,24.66761106999166,-98.83400496038867
Quercus_sideroxyla,24.67,-98.836667
Quercus_sideroxyla,30.127828,-108.385878
Quercus_sideroxyla,18.28333,-89.835
Quercus_sideroxyla,21.858889,-103.918611
Quercus_sideroxyla,23.902778,-105.031389
Quercus_sideroxyla,23.914722,-105.031389
Quercus_sideroxyla,26.826667,-106.948333
Quercus_sideroxyla,26.186944,-106.925278
Quercus_sideroxyla,25.388611,-105.817222
Quercus_sideroxyla,23.877222,-105.016944
Quercus_sideroxyla,28.352924,-107.837791
Quercus_sideroxyla,24.0258,-99.72498
Quercus_sideroxyla,23.966667,-99.733333
Quercus_sideroxyla,27.995278,-107.4025
Quercus_sideroxyla,24.991667,-106.308333
Quercus_sideroxyla,28.222222,-108.206667
Quercus_sideroxyla,23.96666,-99.76666
Quercus_sideroxyla,23.28,-97.82
Quercus_sideroxyla,23.985747,-99.473872
Quercus_sideroxyla,23.911939,-99.475
Quercus_sideroxyla,23.911944,-99.475
Quercus_sideroxyla,21.831667,-103.78
Quercus_sideroxyla,21.91844807057105,-103.92516595528156
Quercus_sideroxyla,26.98333,-108.975
Quercus_sideroxyla,25.075,-106.025
Quercus_sideroxyla,24.991667,-105.891667
Quercus_sideroxyla,24.146667,-105.953333
Quercus_sideroxyla,23.291667,-105.541667
