Species,Latitude,Longitude
Quercus_similis,34.190786,-91.961226
Quercus_similis,33.40275,-91.561053
Quercus_similis,32.54167,-92.085913
Quercus_similis,29.433256,-96.009731
Quercus_similis,29.370092,-95.315631
Quercus_similis,29.521261,-95.176878
Quercus_similis,30.064373,-95.25425
Quercus_similis,29.723263,-95.343803
Quercus_similis,29.720401,-95.347134
Quercus_similis,29.725122,-95.343143
Quercus_similis,30.255144,-95.657629
Quercus_similis,29.95409,-95.645992
Quercus_similis,37.732036,-90.105201
Quercus_similis,36.734265,-90.101403
Quercus_similis,32.294525,-94.495888
Quercus_similis,30.025013,-95.283375
Quercus_similis,29.910371,-95.136023
Quercus_similis,30.26871,-95.683784
Quercus_similis,33.794498,-93.919575
Quercus_similis,29.158761,-95.772866
Quercus_similis,29.33375,-95.284383
Quercus_similis,29.372714,-95.317419
Quercus_similis,29.378453,-95.362711
Quercus_similis,29.37232,-95.31788
Quercus_similis,29.33686,-95.28762
Quercus_similis,29.37233,-95.31796
Quercus_similis,29.37859,-95.36274
Quercus_similis,29.29501,-95.26497
Quercus_similis,30.262771,-95.666463
Quercus_similis,31.063886,-94.278892
Quercus_similis,32.541155,-92.085862
Quercus_similis,32.640735,-91.409049
Quercus_similis,33.613611,-88.706389
Quercus_similis,36.721411,-90.113453
Quercus_similis,31.838245,-92.430829
Quercus_similis,32.306944,-93.806111
Quercus_similis,32.306111,-93.808611
Quercus_similis,30.64103,-93.64893
Quercus_similis,32.3075,-93.806667
Quercus_similis,33.83931,-92.74696
Quercus_similis,32.023766,-92.004787
Quercus_similis,30.83805,-88.01778
Quercus_similis,32.094529,-91.69737
Quercus_similis,31.989722,-93.0475
