Species,Latitude,Longitude
Quercus_sinuata,30.667519,-97.750803
Quercus_sinuata,30.488889,-99.775
Quercus_sinuata,29.859138,-98.499854
Quercus_sinuata,31.062558,-97.398497
Quercus_sinuata,31.062567,-97.3982
Quercus_sinuata,31.062597,-97.398742
Quercus_sinuata,30.064154,-98.859714
Quercus_sinuata,30.063208,-99.461267
Quercus_sinuata,30.504821,-97.985574
Quercus_sinuata,32.271895,-99.79843
Quercus_sinuata,30.245814,-97.769598
Quercus_sinuata,30.314842,-97.773936
Quercus_sinuata,31.164894,-97.446061
Quercus_sinuata,31.198087,-97.467903
Quercus_sinuata,29.623453,-98.625725
Quercus_sinuata,30.368334,-97.824722
Quercus_sinuata,31.029597,-97.516564
Quercus_sinuata,30.487903,-97.878028
Quercus_sinuata,30.334774,-98.184782
Quercus_sinuata,30.16595,-98.917302
Quercus_sinuata,31.199778,-97.478417
Quercus_sinuata,31.199967,-97.478989
Quercus_sinuata,30.405765,-97.705769
Quercus_sinuata,30.508292,-97.76168
Quercus_sinuata,30.400309,-97.686205
Quercus_sinuata,29.880605,-98.614054
Quercus_sinuata,30.028601,-98.33317
Quercus_sinuata,30.515047,-97.718736
Quercus_sinuata,30.246245,-97.810804
Quercus_sinuata,30.027722,-98.334598
Quercus_sinuata,30.453953,-97.914528
Quercus_sinuata,30.417972,-97.758536
Quercus_sinuata,29.87188,-98.58249
Quercus_sinuata,30.294445,-97.898241
Quercus_sinuata,30.679957,-97.766271
Quercus_sinuata,30.660157,-98.049628
Quercus_sinuata,32.81089,-96.800949
Quercus_sinuata,32.796387,-97.41554
Quercus_sinuata,29.57881,-98.84972
Quercus_sinuata,30.083828,-98.977548
Quercus_sinuata,29.642902,-98.638573
Quercus_sinuata,30.09205,-99.378342
Quercus_sinuata,30.505992,-97.986953
Quercus_sinuata,31.322778,-97.468973
Quercus_sinuata,31.102144,-97.470428
Quercus_sinuata,31.101622,-97.469833
Quercus_sinuata,31.101664,-97.469308
Quercus_sinuata,30.086195,-98.977178
Quercus_sinuata,31.29795,-97.479033
Quercus_sinuata,31.101606,-97.469917
Quercus_sinuata,31.101703,-97.469575
Quercus_sinuata,31.198048,-97.494986
Quercus_sinuata,31.113544,-97.468422
Quercus_sinuata,31.101772,-97.469528
Quercus_sinuata,30.669989,-97.7417
Quercus_sinuata,30.749547,-98.159206
Quercus_sinuata,31.102597,-97.470506
Quercus_sinuata,31.102647,-97.470161
Quercus_sinuata,29.865203,-98.494245
Quercus_sinuata,29.81573,-98.545403
Quercus_sinuata,30.445541,-99.794813
Quercus_sinuata,29.895471,-98.645757
Quercus_sinuata,30.504897,-97.98652
Quercus_sinuata,33.85,-86.57
Quercus_sinuata,30.184978,-97.867703
Quercus_sinuata,30.311991,-97.771102
