Species,Latitude,Longitude
Quercus_stellata,30.581949,-96.373231
Quercus_stellata,32.75586,-97.138473
Quercus_stellata,30.574093,-96.370331
Quercus_stellata,32.848298,-95.991759
Quercus_stellata,30.582219,-96.374617
Quercus_stellata,40.937766,-73.143468
Quercus_stellata,32.92639,-97.231073
Quercus_stellata,31.087814,-97.469505
Quercus_stellata,33.353603,-97.70022
Quercus_stellata,32.695959,-97.19378
Quercus_stellata,35.452623,-86.023636
Quercus_stellata,33.211005,-97.065719
Quercus_stellata,35.905747,-80.762927
Quercus_stellata,32.76864,-97.190688
Quercus_stellata,39.115593,-77.109899
Quercus_stellata,33.199846,-97.128095
Quercus_stellata,33.214082,-97.152733
Quercus_stellata,33.132564,-97.154655
Quercus_stellata,41.336549,-72.966582
Quercus_stellata,30.383753,-97.025297
Quercus_stellata,29.711992,-82.394363
Quercus_stellata,33.030438,-97.025542
Quercus_stellata,35.546683,-85.0438
Quercus_stellata,33.177789,-97.130334
Quercus_stellata,38.997018,-77.250163
Quercus_stellata,39.855835,-75.190032
Quercus_stellata,37.623412,-89.197061
Quercus_stellata,37.487166,-88.683763
Quercus_stellata,35.650992,-97.361024
Quercus_stellata,34.509391,-81.44086
Quercus_stellata,32.809598,-97.44843
Quercus_stellata,36.07159,-91.877464
Quercus_stellata,30.920333,-96.939912
Quercus_stellata,33.973117,-83.7313
Quercus_stellata,35.714148,-79.095555
Quercus_stellata,34.476949,-89.438398
Quercus_stellata,33.180092,-97.130439
Quercus_stellata,33.212257,-97.149321
Quercus_stellata,33.03046,-97.02565
Quercus_stellata,29.904633,-82.584642
Quercus_stellata,30.135206,-97.491997
Quercus_stellata,30.383614,-97.025232
Quercus_stellata,33.211642,-97.148106
Quercus_stellata,33.21895,-97.159735
Quercus_stellata,35.669773,-79.078224
Quercus_stellata,33.212281,-97.148524
Quercus_stellata,33.199766,-97.128118
Quercus_stellata,33.154007,-97.064732
Quercus_stellata,33.228684,-97.028488
Quercus_stellata,36.139139,-96.265451
Quercus_stellata,33.214268,-79.467903
Quercus_stellata,36.134625,-79.159425
Quercus_stellata,35.652111,-97.361891
Quercus_stellata,33.132739,-97.154533
Quercus_stellata,35.736132,-79.114683
Quercus_stellata,32.746373,-97.270102
Quercus_stellata,39.332401,-81.997487
Quercus_stellata,30.433,-88.604263
Quercus_stellata,37.462953,-89.24795
Quercus_stellata,30.572504,-96.363462
Quercus_stellata,35.631226,-79.097851
Quercus_stellata,39.322791,-81.838182
Quercus_stellata,35.78812,-81.441109
Quercus_stellata,32.773713,-97.204903
Quercus_stellata,35.630895,-79.098623
Quercus_stellata,35.691949,-79.030845
Quercus_stellata,31.781759,-96.068131
Quercus_stellata,32.973516,-97.127387
Quercus_stellata,30.373775,-96.978387
Quercus_stellata,35.691368,-79.025116
Quercus_stellata,39.864533,-74.604197
Quercus_stellata,35.153308,-85.318337
Quercus_stellata,32.610345,-96.986737
Quercus_stellata,35.029522,-85.135378
Quercus_stellata,32.960136,-97.068649
Quercus_stellata,32.610468,-96.986826
Quercus_stellata,36.417484,-90.623216
Quercus_stellata,29.862232,-98.487586
Quercus_stellata,36.029393,-78.976102
Quercus_stellata,37.226161,-84.212453
Quercus_stellata,35.174614,-80.859511
Quercus_stellata,33.652198,-96.932103
Quercus_stellata,32.535081,-98.559298
Quercus_stellata,32.756026,-97.680568
Quercus_stellata,30.232701,-96.054418
Quercus_stellata,35.833467,-78.753937
Quercus_stellata,29.971237,-95.596512
Quercus_stellata,36.362763,-94.231648
Quercus_stellata,36.41833,-90.62443
Quercus_stellata,32.662364,-97.222169
Quercus_stellata,36.913695,-88.020167
Quercus_stellata,30.635946,-96.308426
Quercus_stellata,31.307009,-95.452324
Quercus_stellata,32.77468,-97.094084
Quercus_stellata,40.381739,-89.964733
Quercus_stellata,32.749516,-97.169819
Quercus_stellata,33.797133,-84.31488
Quercus_stellata,36.274272,-92.262324
Quercus_stellata,32.684468,-96.603971
Quercus_stellata,32.440596,-99.692248
Quercus_stellata,32.798654,-97.177998
Quercus_stellata,32.641613,-97.225358
Quercus_stellata,31.638216,-97.138874
Quercus_stellata,33.796807,-84.314841
Quercus_stellata,32.743247,-97.194354
Quercus_stellata,32.753712,-97.182618
Quercus_stellata,33.228581,-96.939815
Quercus_stellata,35.777244,-90.708358
Quercus_stellata,32.788802,-97.829745
Quercus_stellata,32.856644,-97.490056
Quercus_stellata,32.485975,-96.334638
Quercus_stellata,32.76847,-97.189306
Quercus_stellata,32.865225,-97.104673
Quercus_stellata,36.614917,-87.268653
Quercus_stellata,33.382258,-97.023762
Quercus_stellata,38.99197,-76.897623
Quercus_stellata,40.421096,-74.467533
Quercus_stellata,29.779922,-98.708626
Quercus_stellata,33.85,-86.57
Quercus_stellata,33.414387,-97.048515
Quercus_stellata,35.847955,-79.154951
Quercus_stellata,30.358021,-95.698187
Quercus_stellata,32.765386,-97.10789
Quercus_stellata,30.659287,-96.818763
Quercus_stellata,32.775373,-96.800126
Quercus_stellata,36.362395,-94.171869
Quercus_stellata,32.09543,-96.468873
Quercus_stellata,29.714533,-95.401755
Quercus_stellata,32.666244,-97.220606
Quercus_stellata,35.972033,-79.097375
Quercus_stellata,33.949496,-80.057131
Quercus_stellata,35.92128,-78.931009
Quercus_stellata,32.74057,-97.185482
Quercus_stellata,32.661766,-97.223112
Quercus_stellata,30.375192,-88.707519
Quercus_stellata,38.995037,-77.253088
Quercus_stellata,32.98503,-97.06769
Quercus_stellata,32.701341,-97.165735
Quercus_stellata,32.828248,-97.124688
Quercus_stellata,38.993728,-77.250633
Quercus_stellata,32.965723,-97.101115
Quercus_stellata,35.917133,-78.388894
Quercus_stellata,32.780665,-97.067322
Quercus_stellata,30.194211,-97.608805
Quercus_stellata,33.025672,-97.148017
Quercus_stellata,33.153029,-97.032196
Quercus_stellata,30.020227,-98.022076
Quercus_stellata,32.252586,-97.816111
Quercus_stellata,32.691742,-97.190673
Quercus_stellata,36.208742,-96.402578
Quercus_stellata,38.585679,-76.776821
Quercus_stellata,32.661567,-97.223133
Quercus_stellata,30.237872,-98.624713
Quercus_stellata,39.734385,-74.491308
Quercus_stellata,30.131687,-95.440893
Quercus_stellata,32.713206,-96.667658
Quercus_stellata,32.740529,-97.150432
Quercus_stellata,30.400544,-88.754639
Quercus_stellata,35.20137,-79.544189
Quercus_stellata,32.210619,-98.191147
Quercus_stellata,30.629612,-96.308665
Quercus_stellata,34.905108,-76.819025
Quercus_stellata,33.147374,-98.985954
Quercus_stellata,38.765547,-83.452675
