Species,Latitude,Longitude
Quercus_striatula,25.540381,-100.527528
Quercus_striatula,25.084912,-100.36685
Quercus_striatula,24.746364,-100.727469
Quercus_striatula,24.744372,-100.752403
Quercus_striatula,24.765564,-100.772658
Quercus_striatula,25.240614,-100.424271
Quercus_striatula,25.24623,-100.893872
Quercus_striatula,23.898401,-105.015116
Quercus_striatula,23.90178,-105.030025
Quercus_striatula,25.356678,-100.971338
Quercus_striatula,24.517258,-99.989403
Quercus_striatula,24.22842,-99.921967
Quercus_striatula,24.230925,-99.963554
Quercus_striatula,25.376693,-100.900877
Quercus_striatula,25.396425,-100.822945
Quercus_striatula,25.280558,-100.886143
Quercus_striatula,25.248195,-100.909529
Quercus_striatula,25.354444,-100.919444
Quercus_striatula,25.354722,-100.920278
Quercus_striatula,25.35472,-100.92028
Quercus_striatula,25.36667,-100.63333
Quercus_striatula,25.339167,-100.258611
Quercus_striatula,24.83,-100.06
Quercus_striatula,24.819444,-100.125
Quercus_striatula,23.713333,-105.672778
Quercus_striatula,23.71333,-105.67278
Quercus_striatula,25.13306,-100.96111
Quercus_striatula,25.375,-100.991667
Quercus_striatula,25.325833,-100.976389
Quercus_striatula,25.6575,-100.632222
Quercus_striatula,25.467,-100.85
Quercus_striatula,22.78333,-100.38333
Quercus_striatula,25.4,-100.553
Quercus_striatula,25.36361,-100.94833
Quercus_striatula,25.3575,-100.92305
Quercus_striatula,25.3575,-100.923055
Quercus_striatula,25.3575,-100.92306
Quercus_striatula,25.291944,-101.306111
Quercus_striatula,25.1,-100.46
Quercus_striatula,25.429167,-100.581944
Quercus_striatula,25.449722,-100.633056
Quercus_striatula,23.93352,-104.99913
Quercus_striatula,23.9,-105.034167
Quercus_striatula,25.220154,-101.437961
Quercus_striatula,25.229167,-101.430556
Quercus_striatula,25.22917,-101.43056
Quercus_striatula,25.234722,-101.430556
Quercus_striatula,25.23472,-101.43056
Quercus_striatula,25.416667,-101.783333
Quercus_striatula,25.393056,-100.587778
Quercus_striatula,25.41667,-101.78333
Quercus_striatula,22.038611,-100.531667
Quercus_striatula,25.2167,-101.267
Quercus_striatula,25.133611,-101.246944
Quercus_striatula,25.326667,-100.431667
Quercus_striatula,25.266667,-100.583333
Quercus_striatula,25.17,-101.511667
Quercus_striatula,25.248056,-100.493333
Quercus_striatula,25.258333,-100.491667
Quercus_striatula,25.073333,-101.089722
Quercus_striatula,24.958333,-105.975
Quercus_striatula,24.06777,-105.82672
Quercus_striatula,24.391667,-105.475
Quercus_striatula,24.441667,-105.675
Quercus_striatula,24.358333,-105.591667
Quercus_striatula,25.166667,-101.416667
Quercus_striatula,25.333333,-100.65
Quercus_striatula,25.3333,-100.65
Quercus_striatula,25.33333,-100.65
Quercus_striatula,23.841667,-104.775
Quercus_striatula,25.15,-100.15
Quercus_striatula,24.850556,-99.816389
Quercus_striatula,24.728,-100.04
Quercus_striatula,25.375,-100.591667
Quercus_striatula,22.791667,-104.641667
Quercus_striatula,25.341667,-100.658333
Quercus_striatula,25.258333,-101.341667
Quercus_striatula,23.358333,-104.158333
Quercus_striatula,23.306944,-104.1375
Quercus_striatula,23.908333,-105.025
Quercus_striatula,23.906944,-104.994444
Quercus_striatula,23.391667,-104.255556
Quercus_striatula,23.415278,-104.25
Quercus_striatula,23.391667,-104.241667
Quercus_striatula,25.358333,-100.358333
Quercus_striatula,25.248889,-99.9675
Quercus_striatula,23.716667,-100.866667
Quercus_striatula,23.71667,-100.86667
Quercus_striatula,25.0,-101.092222
Quercus_striatula,25.313611,-100.880833
Quercus_striatula,25.0,-101.09222
Quercus_striatula,23.6,-100.875
Quercus_striatula,23.583611,-100.870833
Quercus_striatula,23.600278,-100.875
Quercus_striatula,25.383333,-100.616667
Quercus_striatula,25.38333,-100.61667
Quercus_striatula,23.3,-99.683333
Quercus_striatula,23.918733,-104.997978
Quercus_striatula,23.3,-99.68333
Quercus_striatula,25.425,-100.441667
Quercus_striatula,23.927858,-104.927964
Quercus_striatula,24.56666,-101.075
Quercus_striatula,24.566667,-101.066667
Quercus_striatula,24.575,-101.075
Quercus_striatula,24.59389106135123,-102.21779423402359
Quercus_striatula,24.55,-103.16667
Quercus_striatula,25.134106,-103.231158
Quercus_striatula,25.10833,-103.225
Quercus_striatula,25.266667,-102.266667
Quercus_striatula,25.43333,-102.26667
Quercus_striatula,24.296944,-99.885
Quercus_striatula,24.594167,-99.995278
Quercus_striatula,24.853056,-100.2875
Quercus_striatula,23.141667,-101.006111
Quercus_striatula,23.703056,-100.869167
Quercus_striatula,23.516944,-100.781944
Quercus_striatula,23.323056,-101.121389
Quercus_striatula,22.033889,-100.642778
Quercus_striatula,26.44,-105.501389
Quercus_striatula,24.091667,-105.025
Quercus_striatula,25.12,-101.108889
Quercus_striatula,25.12,-101.10889
Quercus_striatula,24.785556,-101.068889
Quercus_striatula,25.386111,-105.694167
