Species,Latitude,Longitude
Quercus_texana,33.210745,-87.537099
Quercus_texana,30.502852,-90.460768
Quercus_texana,36.418654,-90.623492
Quercus_texana,36.418768,-90.6234
Quercus_texana,29.978017,-90.137932
Quercus_texana,31.335424,-91.612846
Quercus_texana,32.435065,-90.15058
Quercus_texana,30.415211,-94.868919
Quercus_texana,30.568243,-91.164778
Quercus_texana,29.720444,-91.190204
Quercus_texana,34.08714,-90.135427
Quercus_texana,29.129686,-95.768649
Quercus_texana,29.12078,-95.75842
Quercus_texana,29.119,-95.75234
Quercus_texana,29.13334,-95.79177
Quercus_texana,29.13166,-95.78866
Quercus_texana,29.764766,-95.572504
Quercus_texana,29.58288,-95.731047
Quercus_texana,29.793583,-90.12368
Quercus_texana,32.077218,-91.289104
