Species,Latitude,Longitude
Quercus_tomentella,34.109171,-119.997986
Quercus_tomentella,34.150772,-119.789883
Quercus_tomentella,32.881427,-118.444867
Quercus_tomentella,34.041472,-120.07425
Quercus_tomentella,34.101347,-118.046932
Quercus_tomentella,34.118901,-120.177965
Quercus_tomentella,32.879243,-118.434213
Quercus_tomentella,32.877815,-118.435232
Quercus_tomentella,32.877792,-118.435127
Quercus_tomentella,32.875922,-118.429919
Quercus_tomentella,34.011449,-119.964985
Quercus_tomentella,32.877655,-118.435257
Quercus_tomentella,32.877571,-118.435623
Quercus_tomentella,32.877354,-118.435364
Quercus_tomentella,32.877785,-118.434583
Quercus_tomentella,32.914368,-118.481224
Quercus_tomentella,32.852243,-118.450138
Quercus_tomentella,32.877721,-118.435483
Quercus_tomentella,32.877324,-118.435177
Quercus_tomentella,32.877853,-118.435394
Quercus_tomentella,34.01722,-119.7003
Quercus_tomentella,32.876876,-118.434606
Quercus_tomentella,29.058207,-118.28783
Quercus_tomentella,29.083988,-118.322743
Quercus_tomentella,32.877058,-118.434694
Quercus_tomentella,32.877358,-118.435423
Quercus_tomentella,32.87777,-118.435515
Quercus_tomentella,32.87752,-118.435206
Quercus_tomentella,32.876993,-118.434772
Quercus_tomentella,32.876984,-118.434571
Quercus_tomentella,32.877617,-118.435608
Quercus_tomentella,32.90552,-118.47099
Quercus_tomentella,33.837741,-120.145217
Quercus_tomentella,34.106633,-119.55729
Quercus_tomentella,34.073707,-119.950491
Quercus_tomentella,33.938974,-119.961297
Quercus_tomentella,34.093887,-119.740771
Quercus_tomentella,33.965277,-120.026913
Quercus_tomentella,33.805534,-120.004127
Quercus_tomentella,34.02658,-119.69558
Quercus_tomentella,34.01425,-119.79016
Quercus_tomentella,33.943946,-120.056242
Quercus_tomentella,33.806313,-120.16473
Quercus_tomentella,33.828159,-120.146778
Quercus_tomentella,32.840314,-118.426429
Quercus_tomentella,34.163016,-119.922133
Quercus_tomentella,34.184671,-119.788856
Quercus_tomentella,34.122762,-119.612474
Quercus_tomentella,32.85796,-118.446683
Quercus_tomentella,33.896039,-120.037002
Quercus_tomentella,33.904504,-120.173999
Quercus_tomentella,33.81816,-120.173982
Quercus_tomentella,33.899492,-120.12084
Quercus_tomentella,33.809615,-120.07776
Quercus_tomentella,34.113509,-119.799268
Quercus_tomentella,33.809116,-120.054841
Quercus_tomentella,33.932705,-120.118614
Quercus_tomentella,34.187401,-119.625311
Quercus_tomentella,34.00979999912478,-120.0923
Quercus_tomentella,34.051722,-119.873675
Quercus_tomentella,33.829495,-120.118276
Quercus_tomentella,29.15809,-118.31696
Quercus_tomentella,29.09229,-118.30623
Quercus_tomentella,29.1581,-118.317
Quercus_tomentella,29.0923,-118.306
Quercus_tomentella,38.52944399908038,-121.76361100000001
Quercus_tomentella,38.53722199908032,-121.74750000000002
Quercus_tomentella,29.16358,-118.296157
Quercus_tomentella,29.163097,-118.29575
Quercus_tomentella,29.16395,-118.296151
Quercus_tomentella,29.16481,-118.29499
Quercus_tomentella,29.163952,-118.295987
Quercus_tomentella,29.163293,-118.29604
Quercus_tomentella,29.163053,-118.295564
Quercus_tomentella,29.162533,-118.296164
Quercus_tomentella,29.164095,-118.296122
Quercus_tomentella,29.092298,-118.306113
Quercus_tomentella,29.163322,-118.295824
Quercus_tomentella,29.162797,-118.29592
Quercus_tomentella,29.164742,-118.295503
Quercus_tomentella,29.163926,-118.295822
Quercus_tomentella,29.09333,-118.30667
Quercus_tomentella,29.164163,-118.294724
Quercus_tomentella,29.123603,-118.339171
Quercus_tomentella,29.163573,-118.295951
Quercus_tomentella,34.4516,-119.7427
Quercus_tomentella,32.9164,-118.4882
Quercus_tomentella,32.8889,-118.4437
Quercus_tomentella,32.91769999913883,-118.4864
Quercus_tomentella,33.978611,-120.078889
Quercus_tomentella,33.99,-120.065
Quercus_tomentella,33.978999999125165,-120.07800000000002
Quercus_tomentella,29.15944,-118.31806
Quercus_tomentella,29.1594,-118.318
Quercus_tomentella,29.15,-118.316667
Quercus_tomentella,29.2444,-118.331
Quercus_tomentella,29.15944,-118.3181
Quercus_tomentella,29.159444,-118.318055
Quercus_tomentella,29.1594,-118.3181
Quercus_tomentella,29.15,-118.31667
Quercus_tomentella,29.1594,-118.31805
Quercus_tomentella,34.011523,-119.725741
Quercus_tomentella,34.01199999912476,-119.5977
Quercus_tomentella,32.909619,-118.499497
Quercus_tomentella,32.905499999138996,-118.47150000000002
Quercus_tomentella,34.01389999912473,-120.09699999999997
Quercus_tomentella,34.01539999912472,-119.7987
Quercus_tomentella,33.35,-118.42
Quercus_tomentella,34.008199999124805,-119.81014999999998
Quercus_tomentella,33.0695,-116.5481
Quercus_tomentella,33.365382,-118.354918
Quercus_tomentella,33.356341,-118.35773
Quercus_tomentella,33.358133,-118.355241
Quercus_tomentella,32.874336,-118.42745
Quercus_tomentella,32.87433,-118.42744
Quercus_tomentella,33.3,-118.31666
Quercus_tomentella,33.3937,-118.4556
Quercus_tomentella,32.882217,-118.437225
Quercus_tomentella,29.1,-118.30417
Quercus_tomentella,29.1,-118.304167
Quercus_tomentella,34.047903,-119.553989
Quercus_tomentella,34.013399999124736,-119.4287
Quercus_tomentella,33.97949999912516,-120.0818
Quercus_tomentella,33.9759999991252,-120.071
Quercus_tomentella,34.01199999912476,-119.42900000000002
Quercus_tomentella,34.047,-119.7663
Quercus_tomentella,29.13333,-118.33333
Quercus_tomentella,34.00194,-119.74389
Quercus_tomentella,33.98199999912512,-120.0625
Quercus_tomentella,33.99649999912494,-119.7155
Quercus_tomentella,28.375,-115.275
Quercus_tomentella,29.17083,-118.3
Quercus_tomentella,29.14583,-118.14167
Quercus_tomentella,29.145833,-118.141667
Quercus_tomentella,29.170833,-118.3
Quercus_tomentella,29.1512,-118.29164
Quercus_tomentella,34.006999999124815,-119.78800000000001
Quercus_tomentella,34.016528,-119.771088
Quercus_tomentella,34.0410199991244,-119.84301000000002
Quercus_tomentella,34.014199999124735,-119.79060000000001
Quercus_tomentella,34.00949999912479,-119.78800000000001
Quercus_tomentella,34.0080999991248,-119.80950000000001
Quercus_tomentella,33.910899999126,-120.12089999999999
Quercus_tomentella,34.00999999912478,-119.79
Quercus_tomentella,34.01205915745231,-119.42916665318398
Quercus_tomentella,34.016499999124704,-119.80400000000002
Quercus_tomentella,34.012799999124745,-119.6004
Quercus_tomentella,34.01529999912472,-119.8016
Quercus_tomentella,33.9825,-120.07417
Quercus_tomentella,34.4563,-119.7111
Quercus_tomentella,34.01169999912476,-119.58250000000001
Quercus_tomentella,34.456541,-119.710031
Quercus_tomentella,32.9309,-118.5047
Quercus_tomentella,34.016,-119.803
Quercus_tomentella,34.00444399912485,-119.74666700000002
Quercus_tomentella,34.4563,-119.7106
Quercus_tomentella,32.918309,-118.488776
Quercus_tomentella,32.93167,-118.50306
Quercus_tomentella,32.86459,-118.46817
Quercus_tomentella,32.91831,-118.48878
Quercus_tomentella,33.373347,-118.359206
Quercus_tomentella,33.3575,-118.36111
Quercus_tomentella,29.1667,-118.3125
Quercus_tomentella,29.1667,-118.313
Quercus_tomentella,32.87714,-118.44014
Quercus_tomentella,32.87794,-118.43767
Quercus_tomentella,32.880899999139324,-118.4447
Quercus_tomentella,32.88029999913933,-118.4434
Quercus_tomentella,34.4553,-119.70905
Quercus_tomentella,33.99773831972597,-119.6033104354622
Quercus_tomentella,34.00399999912485,-119.61199999999998
Quercus_tomentella,34.02579999912459,-119.6955
Quercus_tomentella,28.97916,-118.27917
Quercus_tomentella,28.9792,-118.2792
Quercus_tomentella,33.363299999132956,-118.41420000000001
Quercus_tomentella,33.37139999913284,-118.41979999999998
Quercus_tomentella,34.05479999912423,-119.84419999999999
Quercus_tomentella,34.01959999912466,-119.7284
Quercus_tomentella,34.043399999124375,-119.8503
Quercus_tomentella,34.043699999124364,-119.8522
Quercus_tomentella,34.04300999912437,-119.85100999999999
Quercus_tomentella,34.04599999912434,-119.85170000000001
Quercus_tomentella,34.043749999124366,-119.85218999999998
Quercus_tomentella,33.97999999912515,-119.74170000000002
Quercus_tomentella,34.029229999124546,-119.7844
Quercus_tomentella,29.0,-118.28333
Quercus_tomentella,29.0423,-118.2742
Quercus_tomentella,34.02899999912455,-119.79350000000001
Quercus_tomentella,29.1,-118.31667
Quercus_tomentella,29.1,-118.316667
Quercus_tomentella,34.004772,-119.755428
Quercus_tomentella,33.98699999912507,-119.7385
Quercus_tomentella,32.8835,-118.457578
Quercus_tomentella,32.8835,-118.45758
Quercus_tomentella,32.931911,-118.501645
Quercus_tomentella,32.93191,-118.50164
Quercus_tomentella,34.00499999912485,-119.74999999999999
Quercus_tomentella,32.93028,-118.50361
Quercus_tomentella,32.930199999138665,-118.50470000000003
Quercus_tomentella,35.461667,-120.991667
Quercus_tomentella,33.367309,-118.423176
Quercus_tomentella,29.1125,-118.283333
Quercus_tomentella,29.108333,-118.291667
Quercus_tomentella,29.10243,-118.28748
Quercus_tomentella,29.1,-118.283333
Quercus_tomentella,29.1125,-118.283
Quercus_tomentella,34.03599999912446,-119.817
Quercus_tomentella,34.01539999912472,-119.79750000000003
Quercus_tomentella,33.361833,-118.417456
Quercus_tomentella,33.36365,-118.4124
Quercus_tomentella,33.37248481592324,-118.40593705811949
Quercus_tomentella,33.37329999913282,-118.42910000000002
Quercus_tomentella,34.013408,-119.616269
Quercus_tomentella,34.01449999912472,-119.7911
Quercus_tomentella,34.02299999912463,-119.69499999999998
Quercus_tomentella,33.332833,-118.313422
Quercus_tomentella,34.022064,-119.697136
Quercus_tomentella,34.4584,-119.7097
Quercus_tomentella,33.94449999912559,-120.11649999999997
Quercus_tomentella,33.995999999124955,-120.06300000000002
Quercus_tomentella,33.3446,-118.8328
Quercus_tomentella,33.99389999912497,-119.82190000000001
Quercus_tomentella,34.01214999912475,-119.59504
Quercus_tomentella,29.008333,-118.258333
Quercus_tomentella,34.01595641352326,-119.7966749788923
Quercus_tomentella,32.88619894086843,-118.45953356267347
Quercus_tomentella,34.0116065123482,-119.8001550120845
Quercus_tomentella,34.012599999124745,-119.4288
Quercus_tomentella,34.012299999124764,-119.4266
Quercus_tomentella,33.329739,-118.31357
Quercus_tomentella,34.02199999912463,-119.58529999999998
Quercus_tomentella,32.86934,-118.43391
Quercus_tomentella,33.32974,-118.31357
Quercus_tomentella,33.32969999913338,-118.31360000000001
Quercus_tomentella,32.86889999913949,-118.4301
Quercus_tomentella,32.8682999991395,-118.4301
Quercus_tomentella,33.995999999124955,-119.62699999999998
Quercus_tomentella,32.877299999139375,-118.45729999999999
Quercus_tomentella,32.93439720308504,-118.50093496077186
Quercus_tomentella,32.934697195407075,-118.50073495913571
Quercus_tomentella,32.904699999139005,-118.47150000000002
Quercus_tomentella,33.32999999913338,-118.31400000000001
Quercus_tomentella,33.33,-118.314
Quercus_tomentella,29.15,-118.3125
Quercus_tomentella,33.94699999912556,-120.11099999999999
Quercus_tomentella,33.95299999912548,-120.14150000000001
Quercus_tomentella,33.953,-120.1415
Quercus_tomentella,33.947,-120.111
