Species,Latitude,Longitude
Quercus_toumeyi,31.340254,-110.262389
Quercus_toumeyi,31.419386,-110.468667
Quercus_toumeyi,32.261242,-110.537524
Quercus_toumeyi,32.007672,-109.312079
Quercus_toumeyi,32.010429,-109.317281
Quercus_toumeyi,32.006961,-109.312783
Quercus_toumeyi,32.093461,-110.456066
Quercus_toumeyi,31.340958,-110.261755
Quercus_toumeyi,31.340131,-110.263039
Quercus_toumeyi,31.870534,-110.016001
Quercus_toumeyi,31.47103,-110.33607
Quercus_toumeyi,32.096361,-110.451646
Quercus_toumeyi,30.382451,-109.608574
Quercus_toumeyi,32.08571,-110.45662
Quercus_toumeyi,31.89821,-109.95669
Quercus_toumeyi,30.895792,-110.237512
Quercus_toumeyi,30.933003,-110.210268
Quercus_toumeyi,30.28313,-109.55989
Quercus_toumeyi,30.288377,-109.55984
Quercus_toumeyi,30.6057,-108.82472
Quercus_toumeyi,31.435638,-109.008031
Quercus_toumeyi,29.690443,-107.999416
Quercus_toumeyi,28.658861,-106.361306
Quercus_toumeyi,28.792999,-106.417444
Quercus_toumeyi,29.08602,-107.19913
Quercus_toumeyi,28.394694,-105.994389
Quercus_toumeyi,31.610367,-109.520447
Quercus_toumeyi,28.71411,-108.72219
Quercus_toumeyi,28.431416,-107.836694
Quercus_toumeyi,30.327067,-110.368828
Quercus_toumeyi,30.374778,-110.375667
Quercus_toumeyi,30.577067,-109.272694
Quercus_toumeyi,30.807722,-110.541481
Quercus_toumeyi,30.810278,-110.586278
Quercus_toumeyi,30.47039,-110.80506
Quercus_toumeyi,30.711944,-110.598611
Quercus_toumeyi,31.315833,-109.093056
Quercus_toumeyi,31.181389,-108.917778
Quercus_toumeyi,31.922,-109.967
Quercus_toumeyi,31.077778,-110.841389
Quercus_toumeyi,30.8417,-110.508
Quercus_toumeyi,30.967222,-110.4875
Quercus_toumeyi,30.96722,-110.4875
Quercus_toumeyi,31.5167,-109.0218
Quercus_toumeyi,30.330556,-109.625278
Quercus_toumeyi,30.4556,-109.703
Quercus_toumeyi,31.5875,-108.779167
Quercus_toumeyi,31.3167,-108.767
Quercus_toumeyi,31.141944,-111.060833
Quercus_toumeyi,31.663667,-110.815283
Quercus_toumeyi,31.4458,-110.315
Quercus_toumeyi,27.143333,-107.571667
Quercus_toumeyi,27.541667,-107.822222
Quercus_toumeyi,27.597778,-107.694444
