Species,Latitude,Longitude
Quercus_turbinella,35.727805,-114.821717
Quercus_turbinella,36.281512,-114.185006
Quercus_turbinella,33.309796,-111.055402
Quercus_turbinella,34.896158,-111.786814
Quercus_turbinella,36.163079,-115.450197
Quercus_turbinella,34.358468,-111.280706
Quercus_turbinella,36.144871,-115.455156
Quercus_turbinella,33.938823,-111.451552
Quercus_turbinella,36.180301,-115.482979
Quercus_turbinella,32.940726,-107.550219
Quercus_turbinella,34.806923,-112.264292
Quercus_turbinella,34.792427,-112.188109
Quercus_turbinella,32.361689,-110.884331
Quercus_turbinella,35.06315,-106.46738
Quercus_turbinella,36.067002,-115.463731
Quercus_turbinella,36.143508,-115.411697
Quercus_turbinella,38.146123,-109.797392
Quercus_turbinella,34.924862,-111.994903
Quercus_turbinella,35.156625,-113.809286
Quercus_turbinella,35.164645,-113.89095
Quercus_turbinella,31.630264,-115.903542
Quercus_turbinella,37.270755,-113.745995
Quercus_turbinella,33.728731,-111.805583
Quercus_turbinella,34.891562,-111.861045
Quercus_turbinella,34.824172,-111.78923
Quercus_turbinella,34.804305,-111.766128
Quercus_turbinella,36.078839,-115.471803
Quercus_turbinella,33.96012,-111.831736
Quercus_turbinella,34.894767,-111.786163
Quercus_turbinella,35.196336,-114.086464
Quercus_turbinella,32.075986,-115.875847
Quercus_turbinella,35.091678,-113.902856
Quercus_turbinella,33.968814,-112.436472
Quercus_turbinella,33.966108,-112.458883
Quercus_turbinella,33.933429,-112.522518
Quercus_turbinella,33.912861,-111.732473
Quercus_turbinella,36.10228,-115.473854
Quercus_turbinella,33.440717,-111.448447
Quercus_turbinella,35.234969,-114.126397
Quercus_turbinella,36.101894,-115.474648
Quercus_turbinella,36.10207,-115.473823
Quercus_turbinella,35.148313,-106.575825
Quercus_turbinella,36.155457,-115.460213
Quercus_turbinella,36.145338,-115.404216
Quercus_turbinella,32.444228,-116.094261
Quercus_turbinella,36.144464,-115.493225
Quercus_turbinella,35.272476,-115.287521
Quercus_turbinella,32.747397,-116.452641
Quercus_turbinella,34.563579,-112.346416
Quercus_turbinella,36.168314,-115.485008
Quercus_turbinella,36.166564,-115.447787
Quercus_turbinella,37.228644,-113.412436
Quercus_turbinella,36.066625,-115.499206
Quercus_turbinella,33.981071,-111.796833
Quercus_turbinella,36.058892,-115.503433
Quercus_turbinella,36.166652,-115.44871
Quercus_turbinella,33.434087,-111.380495
Quercus_turbinella,35.253883,-114.733208
Quercus_turbinella,35.267942,-115.285972
Quercus_turbinella,33.798702,-111.819875
Quercus_turbinella,34.85386,-111.758564
Quercus_turbinella,36.164969,-115.450722
Quercus_turbinella,35.033861,-106.584701
Quercus_turbinella,37.256714,-112.959556
Quercus_turbinella,33.970514,-111.324569
Quercus_turbinella,33.974166,-111.805699
Quercus_turbinella,37.274681,-112.950731
Quercus_turbinella,33.691529,-111.512085
Quercus_turbinella,34.852302,-111.827484
Quercus_turbinella,33.724442,-111.815027
Quercus_turbinella,33.683681,-111.80413
Quercus_turbinella,35.251819,-115.298728
Quercus_turbinella,35.271301,-115.282043
Quercus_turbinella,34.091247,-111.429991
Quercus_turbinella,33.906504,-111.836029
Quercus_turbinella,35.727664,-114.821694
Quercus_turbinella,34.388428,-112.02353
Quercus_turbinella,31.730992,-115.890939
Quercus_turbinella,35.241639,-115.299631
Quercus_turbinella,34.572469,-112.362295
Quercus_turbinella,36.087892,-115.469458
Quercus_turbinella,36.08782,-115.474267
Quercus_turbinella,34.807587,-111.770103
Quercus_turbinella,32.191781,-116.164436
Quercus_turbinella,32.15485,-116.137458
Quercus_turbinella,33.919541,-111.43365
Quercus_turbinella,34.477372,-112.110886
Quercus_turbinella,37.257242,-112.959678
Quercus_turbinella,33.725833,-111.813889
Quercus_turbinella,35.266145,-106.541295
Quercus_turbinella,33.308533,-111.052833
Quercus_turbinella,36.163566,-115.450192
Quercus_turbinella,34.667625,-112.04055
Quercus_turbinella,36.15599,-115.426108
Quercus_turbinella,36.161693,-115.449562
Quercus_turbinella,36.16176,-115.449566
Quercus_turbinella,34.764145,-111.634125
Quercus_turbinella,37.223746,-112.940502
Quercus_turbinella,37.21303,-112.951924
Quercus_turbinella,37.199501,-112.976198
Quercus_turbinella,37.212796,-112.944704
Quercus_turbinella,34.58784,-112.473834
Quercus_turbinella,37.219683,-112.968003
Quercus_turbinella,34.299775,-111.358155
Quercus_turbinella,34.26329,-111.215575
Quercus_turbinella,36.169895,-115.425238
Quercus_turbinella,34.590137,-112.421122
Quercus_turbinella,33.053567,-109.079893
Quercus_turbinella,34.22836,-112.098867
Quercus_turbinella,34.298175,-111.3583
Quercus_turbinella,34.609875,-112.441789
Quercus_turbinella,32.053275,-115.814714
Quercus_turbinella,36.15619,-115.496939
Quercus_turbinella,33.904197,-111.833016
Quercus_turbinella,37.214498,-112.939895
Quercus_turbinella,36.063678,-112.138472
Quercus_turbinella,33.311157,-111.060237
Quercus_turbinella,32.043214,-115.796692
Quercus_turbinella,34.245608,-110.839919
Quercus_turbinella,37.114307,-104.514786
Quercus_turbinella,35.861206,-106.220876
Quercus_turbinella,32.176269,-110.684135
Quercus_turbinella,34.235308,-112.101538
Quercus_turbinella,35.204075,-106.487738
Quercus_turbinella,35.163783,-106.368478
Quercus_turbinella,34.720833,-112.059445
Quercus_turbinella,36.532138,-114.070434
Quercus_turbinella,36.531528,-114.069246
Quercus_turbinella,36.283561,-114.192251
Quercus_turbinella,37.202553,-113.643158
Quercus_turbinella,36.12331,-115.487488
Quercus_turbinella,34.77988,-111.736397
Quercus_turbinella,37.463454,-113.196268
Quercus_turbinella,37.215058,-112.93158
Quercus_turbinella,32.261183,-115.935119
Quercus_turbinella,32.060623,-115.912008
Quercus_turbinella,36.157354,-115.436806
Quercus_turbinella,34.823022,-111.798142
Quercus_turbinella,34.395814,-111.440643
Quercus_turbinella,34.364782,-111.462967
Quercus_turbinella,34.391239,-111.433802
