Species,Latitude,Longitude
Quercus_vaseyana,30.57503,-100.643013
Quercus_vaseyana,25.041914,-99.777242
Quercus_vaseyana,29.274331,-103.28614
Quercus_vaseyana,29.631472,-100.447224
Quercus_vaseyana,29.609346,-100.47201
Quercus_vaseyana,29.650928,-100.0925
Quercus_vaseyana,30.445512,-99.793823
Quercus_vaseyana,29.606568,-100.439531
Quercus_vaseyana,30.270997,-100.562081
Quercus_vaseyana,30.428058,-99.812212
Quercus_vaseyana,29.686496,-101.317645
Quercus_vaseyana,29.702731,-101.312675
Quercus_vaseyana,25.551165,-100.226907
Quercus_vaseyana,29.868374,-99.976435
Quercus_vaseyana,25.720186,-100.219011
Quercus_vaseyana,29.601016,-100.459575
Quercus_vaseyana,29.683533,-100.814906
Quercus_vaseyana,25.658178,-100.263038
Quercus_vaseyana,25.640648,-100.203201
Quercus_vaseyana,25.662096,-100.255989
Quercus_vaseyana,29.611384,-100.44507
Quercus_vaseyana,29.713833,-100.944977
Quercus_vaseyana,25.665842,-100.260246
Quercus_vaseyana,29.620177,-101.039124
Quercus_vaseyana,30.206896,-101.35691
Quercus_vaseyana,25.651361,-100.287743
Quercus_vaseyana,25.602211,-100.265793
Quercus_vaseyana,30.042697,-99.181459
Quercus_vaseyana,30.704091,-101.207177
Quercus_vaseyana,29.81529,-104.34078
Quercus_vaseyana,25.697613,-100.439175
Quercus_vaseyana,30.711962,-101.19725
Quercus_vaseyana,25.606718,-100.263119
Quercus_vaseyana,25.66124,-100.255502
Quercus_vaseyana,25.454817,-100.206775
Quercus_vaseyana,25.667122,-100.251213
Quercus_vaseyana,25.668516,-100.25045
Quercus_vaseyana,25.925413,-100.470375
Quercus_vaseyana,30.562968,-99.448177
Quercus_vaseyana,25.656894,-100.259465
Quercus_vaseyana,29.872505,-100.991113
Quercus_vaseyana,29.885717,-100.994131
Quercus_vaseyana,30.470869,-101.763954
Quercus_vaseyana,29.26518,-103.30551
Quercus_vaseyana,29.26921,-103.27938
Quercus_vaseyana,29.26707,-103.28533
Quercus_vaseyana,25.355196,-101.031067
Quercus_vaseyana,25.66451,-100.25637
Quercus_vaseyana,29.001667,-103.946389
Quercus_vaseyana,29.105695,-103.902151
Quercus_vaseyana,27.88,-101.52
Quercus_vaseyana,24.725,-98.975
Quercus_vaseyana,26.104167,-101.591667
Quercus_vaseyana,26.10417,-101.59167
Quercus_vaseyana,27.876944,-101.513889
Quercus_vaseyana,27.87694,-101.51389
Quercus_vaseyana,22.099558,-100.702225
Quercus_vaseyana,24.529444,-98.925556
Quercus_vaseyana,25.383333,-102.216667
Quercus_vaseyana,25.38333,-102.21667
Quercus_vaseyana,35.66666,-105.83333
Quercus_vaseyana,35.666,-105.833
Quercus_vaseyana,35.4,-105.5
Quercus_vaseyana,26.7875,-102.619444
Quercus_vaseyana,26.7875,-102.61944
Quercus_vaseyana,27.860278,-99.908333
Quercus_vaseyana,29.025,-102.125
Quercus_vaseyana,29.878961,-102.320731
Quercus_vaseyana,26.34,-101.37
Quercus_vaseyana,26.793056,-101.297222
Quercus_vaseyana,26.809722,-101.298611
Quercus_vaseyana,26.793056,-101.347222
Quercus_vaseyana,26.79306,-101.29722
Quercus_vaseyana,26.80972,-101.29861
Quercus_vaseyana,28.816667,-105.166667
Quercus_vaseyana,27.119444,-102.623333
Quercus_vaseyana,27.105278,-102.615833
Quercus_vaseyana,28.8,-105.141667
Quercus_vaseyana,27.11944,-102.62333
Quercus_vaseyana,28.8,-105.14167
Quercus_vaseyana,27.10528,-102.61583
Quercus_vaseyana,27.12139,-102.62361
Quercus_vaseyana,28.81667,-105.16667
Quercus_vaseyana,26.604219,-101.861478
