Species,Latitude,Longitude
Quercus_velutina,41.538883,-73.94535
Quercus_velutina,39.598247,-75.166862
Quercus_velutina,38.236124,-85.689488
Quercus_velutina,40.58254,-74.551115
Quercus_velutina,40.722592,-73.463919
Quercus_velutina,39.641459,-76.750762
Quercus_velutina,40.652133,-73.988153
Quercus_velutina,42.610142,-72.466728
Quercus_velutina,41.849031,-73.459464
Quercus_velutina,39.60064,-76.652582
Quercus_velutina,43.646812,-79.458298
Quercus_velutina,38.861906,-78.302494
Quercus_velutina,43.656726,-79.487133
Quercus_velutina,40.452187,-76.825051
Quercus_velutina,42.271723,-72.196362
Quercus_velutina,40.124073,-77.104521
Quercus_velutina,39.488957,-76.61366
Quercus_velutina,40.682287,-74.386595
Quercus_velutina,35.771878,-79.043205
Quercus_velutina,39.48967,-76.603008
Quercus_velutina,42.449677,-71.544555
Quercus_velutina,43.242447,-81.853753
Quercus_velutina,40.004486,-77.368744
Quercus_velutina,39.81266,-75.485999
Quercus_velutina,40.76173,-74.715333
Quercus_velutina,39.488545,-76.59842
Quercus_velutina,40.328293,-77.383562
Quercus_velutina,42.701012,-77.946581
Quercus_velutina,42.473664,-71.273518
Quercus_velutina,35.756833,-78.644822
Quercus_velutina,39.814018,-75.483637
Quercus_velutina,39.319527,-86.462166
Quercus_velutina,40.172741,-90.075854
Quercus_velutina,39.10428,-88.803987
Quercus_velutina,37.201434,-89.059199
Quercus_velutina,36.541202,-87.373643
Quercus_velutina,40.714249,-73.457054
Quercus_velutina,40.890031,-73.881592
Quercus_velutina,42.127348,-88.24133
Quercus_velutina,41.325753,-72.658692
Quercus_velutina,42.216936,-71.1109
Quercus_velutina,37.239997,-80.453181
Quercus_velutina,42.077344,-88.709986
Quercus_velutina,40.94465,-81.525283
Quercus_velutina,39.910426,-89.739197
Quercus_velutina,43.155713,-80.287293
Quercus_velutina,39.747038,-89.597212
Quercus_velutina,37.378312,-79.946603
Quercus_velutina,41.708164,-87.881072
Quercus_velutina,40.595949,-74.57369
Quercus_velutina,32.953676,-96.811934
Quercus_velutina,38.7668,-77.295258
Quercus_velutina,42.764878,-70.855203
Quercus_velutina,43.26158,-81.831733
Quercus_velutina,43.647621,-79.458405
Quercus_velutina,42.391505,-72.235251
Quercus_velutina,40.582405,-74.550553
Quercus_velutina,41.60464,-87.565414
Quercus_velutina,35.723172,-79.099987
Quercus_velutina,42.459415,-72.379775
Quercus_velutina,42.474374,-83.994637
Quercus_velutina,41.604711,-87.565381
Quercus_velutina,40.416238,-77.120335
Quercus_velutina,37.081183,-83.000014
Quercus_velutina,42.346488,-72.705938
Quercus_velutina,42.01338,-78.8451
Quercus_velutina,40.665237,-81.341378
Quercus_velutina,43.241941,-79.729308
Quercus_velutina,41.663804,-83.787568
Quercus_velutina,40.890918,-74.005675
Quercus_velutina,40.665445,-81.340303
Quercus_velutina,39.870257,-89.617405
Quercus_velutina,42.421021,-87.806862
Quercus_velutina,35.496086,-82.610115
Quercus_velutina,43.315124,-79.849456
Quercus_velutina,38.867217,-92.32059
Quercus_velutina,40.621207,-74.509732
Quercus_velutina,41.287351,-81.442883
Quercus_velutina,41.734147,-70.38198
Quercus_velutina,40.379605,-89.927069
Quercus_velutina,42.595216,-72.58644
Quercus_velutina,41.319402,-88.98592
Quercus_velutina,41.317577,-88.989785
Quercus_velutina,42.42258,-87.808569
Quercus_velutina,39.873119,-89.617029
Quercus_velutina,42.124096,-77.070824
Quercus_velutina,40.686417,-73.515663
Quercus_velutina,40.691508,-73.516992
