Species,Latitude,Longitude
Quercus_wislizeni,38.756011,-121.260446
Quercus_wislizeni,38.751491,-121.279121
Quercus_wislizeni,38.757306,-121.25807
Quercus_wislizeni,38.679266,-121.148566
Quercus_wislizeni,38.711298,-122.046221
Quercus_wislizeni,37.910795,-122.529258
Quercus_wislizeni,37.906695,-121.954616
Quercus_wislizeni,39.774437,-121.781037
Quercus_wislizeni,39.51677,-121.453225
Quercus_wislizeni,36.49851,-121.203079
Quercus_wislizeni,39.754087,-121.819808
Quercus_wislizeni,39.317089,-121.009139
Quercus_wislizeni,39.666562,-121.563187
Quercus_wislizeni,39.775128,-121.783692
Quercus_wislizeni,37.969234,-122.644881
Quercus_wislizeni,38.747468,-121.022439
Quercus_wislizeni,38.653663,-121.343921
Quercus_wislizeni,38.321813,-121.995959
Quercus_wislizeni,38.834092,-121.178078
Quercus_wislizeni,38.327355,-120.933133
Quercus_wislizeni,38.635833,-121.264372
Quercus_wislizeni,38.332133,-122.005808
Quercus_wislizeni,38.979683,-122.374792
Quercus_wislizeni,32.890865,-116.561839
Quercus_wislizeni,38.352691,-120.932718
Quercus_wislizeni,38.721399,-121.401791
Quercus_wislizeni,37.836375,-121.785645
Quercus_wislizeni,38.68763,-122.966991
Quercus_wislizeni,35.576881,-118.552445
Quercus_wislizeni,38.533417,-121.099874
Quercus_wislizeni,38.383612,-121.989185
Quercus_wislizeni,38.576827,-123.034592
Quercus_wislizeni,38.384097,-121.988354
Quercus_wislizeni,38.616506,-121.315747
Quercus_wislizeni,38.382386,-121.990422
Quercus_wislizeni,38.720687,-121.172615
Quercus_wislizeni,37.387143,-119.733941
Quercus_wislizeni,37.397475,-121.799917
Quercus_wislizeni,35.819774,-121.322357
Quercus_wislizeni,39.213788,-121.279362
Quercus_wislizeni,38.922358,-121.036683
Quercus_wislizeni,39.778046,-121.750221
Quercus_wislizeni,39.64425,-121.554092
Quercus_wislizeni,33.806703,-116.55722
Quercus_wislizeni,36.47832,-119.009253
Quercus_wislizeni,38.616969,-121.311991
Quercus_wislizeni,37.912768,-121.943844
Quercus_wislizeni,36.51767,-121.17865
Quercus_wislizeni,39.179581,-121.100327
Quercus_wislizeni,36.212688,-118.802308
Quercus_wislizeni,38.911567,-122.265303
Quercus_wislizeni,38.489247,-122.105322
Quercus_wislizeni,38.873124,-122.431273
Quercus_wislizeni,35.101683,-120.112286
Quercus_wislizeni,39.776445,-121.779567
Quercus_wislizeni,36.48976,-121.189043
Quercus_wislizeni,39.163185,-121.457939
Quercus_wislizeni,39.113255,-121.246189
Quercus_wislizeni,34.485941,-119.640759
Quercus_wislizeni,36.48975,-121.196572
Quercus_wislizeni,38.65996,-121.006413
Quercus_wislizeni,38.916938,-121.036461
Quercus_wislizeni,37.90548,-121.921242
Quercus_wislizeni,38.831534,-122.342293
Quercus_wislizeni,38.635002,-121.24472
Quercus_wislizeni,37.907683,-121.895788
Quercus_wislizeni,33.630721,-116.571229
Quercus_wislizeni,38.559608,-121.404075
Quercus_wislizeni,33.627071,-116.576443
Quercus_wislizeni,37.820302,-121.78381
Quercus_wislizeni,38.788011,-121.332448
Quercus_wislizeni,36.011547,-121.455231
Quercus_wislizeni,39.765563,-121.783088
Quercus_wislizeni,34.529781,-119.3087
Quercus_wislizeni,39.480804,-121.472467
Quercus_wislizeni,34.500737,-119.104075
Quercus_wislizeni,37.00525,-122.068083
Quercus_wislizeni,36.990638,-122.101661
Quercus_wislizeni,38.528664,-121.089021
Quercus_wislizeni,38.68378,-121.140236
Quercus_wislizeni,39.530605,-121.479073
Quercus_wislizeni,37.978837,-120.378992
Quercus_wislizeni,38.630912,-121.26981
Quercus_wislizeni,37.822561,-121.787529
Quercus_wislizeni,33.69255,-116.741372
Quercus_wislizeni,38.213294,-122.663287
Quercus_wislizeni,38.217942,-122.663953
Quercus_wislizeni,33.691022,-116.733697
Quercus_wislizeni,33.697357,-116.643678
Quercus_wislizeni,33.69688,-116.710617
Quercus_wislizeni,38.632386,-121.264849
Quercus_wislizeni,39.758178,-121.795578
Quercus_wislizeni,33.004867,-116.96605
Quercus_wislizeni,37.202647,-122.340508
Quercus_wislizeni,38.628011,-121.275364
Quercus_wislizeni,33.697028,-116.643455
Quercus_wislizeni,38.649227,-121.19105
Quercus_wislizeni,38.553441,-121.350481
Quercus_wislizeni,38.553416,-121.350626
Quercus_wislizeni,33.756828,-116.693511
Quercus_wislizeni,36.480612,-121.116562
Quercus_wislizeni,33.7561,-116.722219
Quercus_wislizeni,38.409811,-121.385389
Quercus_wislizeni,37.913202,-122.384397
Quercus_wislizeni,36.620673,-121.694917
Quercus_wislizeni,37.846093,-121.908135
Quercus_wislizeni,34.462447,-118.890817
Quercus_wislizeni,39.289723,-121.016345
Quercus_wislizeni,38.615345,-121.310958
Quercus_wislizeni,33.297592,-116.632217
Quercus_wislizeni,38.617028,-121.310272
Quercus_wislizeni,34.281463,-117.443542
Quercus_wislizeni,36.637503,-121.749347
Quercus_wislizeni,37.967514,-121.863324
Quercus_wislizeni,38.729208,-121.119484
Quercus_wislizeni,40.269281,-122.270208
Quercus_wislizeni,38.632581,-121.273255
Quercus_wislizeni,37.952439,-122.630075
Quercus_wislizeni,38.694778,-122.046121
Quercus_wislizeni,38.919066,-121.278547
Quercus_wislizeni,38.619734,-121.30772
Quercus_wislizeni,39.745076,-121.811023
Quercus_wislizeni,32.948453,-116.498558
Quercus_wislizeni,38.710963,-122.042876
Quercus_wislizeni,36.487472,-121.204895
Quercus_wislizeni,37.907183,-121.949647
Quercus_wislizeni,37.923544,-122.59647
Quercus_wislizeni,37.929562,-122.575395
Quercus_wislizeni,34.088173,-118.78984
Quercus_wislizeni,37.9593,-122.644925
Quercus_wislizeni,37.917522,-122.597563
Quercus_wislizeni,39.628192,-121.998087
Quercus_wislizeni,38.616178,-121.314933
Quercus_wislizeni,37.452665,-122.325498
Quercus_wislizeni,38.909151,-121.043627
Quercus_wislizeni,34.203412,-117.44552
Quercus_wislizeni,34.203183,-117.445495
Quercus_wislizeni,33.344512,-116.635226
Quercus_wislizeni,39.676572,-121.56302
Quercus_wislizeni,38.91873,-121.278672
Quercus_wislizeni,38.528587,-121.089103
Quercus_wislizeni,33.736456,-117.545258
Quercus_wislizeni,33.738539,-117.546356
Quercus_wislizeni,40.463992,-122.256916
Quercus_wislizeni,38.622829,-120.962406
Quercus_wislizeni,38.638899,-121.220144
Quercus_wislizeni,35.415365,-120.737998
Quercus_wislizeni,34.284944,-117.349162
Quercus_wislizeni,32.058272,-115.94455
Quercus_wislizeni,36.207113,-118.784692
Quercus_wislizeni,32.058525,-115.944831
Quercus_wislizeni,34.232205,-117.492583
Quercus_wislizeni,33.564644,-116.576574
Quercus_wislizeni,38.647314,-121.215225
Quercus_wislizeni,39.004061,-121.267557
Quercus_wislizeni,36.256413,-121.79052
Quercus_wislizeni,38.597984,-121.02649
Quercus_wislizeni,38.859434,-120.997241
Quercus_wislizeni,38.734675,-121.092825
Quercus_wislizeni,37.918747,-122.581825
Quercus_wislizeni,37.459409,-119.938835
Quercus_wislizeni,37.912906,-122.593907
Quercus_wislizeni,39.221552,-121.318261
Quercus_wislizeni,38.650319,-120.706953
Quercus_wislizeni,37.930324,-122.145124
Quercus_wislizeni,38.691215,-120.9752
Quercus_wislizeni,38.574798,-121.348644
Quercus_wislizeni,39.291125,-121.179017
Quercus_wislizeni,38.389689,-120.967091
Quercus_wislizeni,38.758495,-121.246694
Quercus_wislizeni,39.072097,-120.993646
Quercus_wislizeni,39.757363,-121.796863
Quercus_wislizeni,39.758167,-121.795625
Quercus_wislizeni,36.211997,-118.802095
Quercus_wislizeni,38.924074,-121.039034
Quercus_wislizeni,38.773655,-122.308617
Quercus_wislizeni,34.261855,-118.112808
Quercus_wislizeni,37.19062,-122.026542
Quercus_wislizeni,37.433734,-122.171804
Quercus_wislizeni,38.556822,-121.258223
Quercus_wislizeni,38.594488,-121.329003
Quercus_wislizeni,37.888928,-121.932747
Quercus_wislizeni,38.941727,-121.01026
Quercus_wislizeni,37.880687,-121.917192
Quercus_wislizeni,33.671234,-117.460096
Quercus_wislizeni,33.67433,-117.463644
Quercus_wislizeni,38.617654,-121.311324
Quercus_wislizeni,38.653225,-121.156411
Quercus_wislizeni,38.617466,-121.311572
Quercus_wislizeni,35.430938,-118.259608
Quercus_wislizeni,37.350126,-121.609982
Quercus_wislizeni,34.330803,-118.011688
Quercus_wislizeni,36.468386,-119.025517
Quercus_wislizeni,36.212606,-118.802217
Quercus_wislizeni,38.424424,-122.732532
Quercus_wislizeni,38.767394,-120.885712
Quercus_wislizeni,33.077607,-116.581593
Quercus_wislizeni,36.489519,-121.197388
Quercus_wislizeni,36.489505,-121.197097
Quercus_wislizeni,34.240349,-118.100647
Quercus_wislizeni,34.256935,-118.101143
Quercus_wislizeni,34.257347,-118.103607
Quercus_wislizeni,34.243074,-118.098421
Quercus_wislizeni,34.239588,-118.099786
Quercus_wislizeni,34.331325,-118.011485
Quercus_wislizeni,39.779862,-121.762064
Quercus_wislizeni,35.475915,-118.721993
Quercus_wislizeni,35.533527,-118.61697
Quercus_wislizeni,37.084267,-119.556336
Quercus_wislizeni,40.268463,-121.831572
Quercus_wislizeni,34.297979,-118.027055
Quercus_wislizeni,38.733045,-121.244808
Quercus_wislizeni,37.953693,-121.867457
Quercus_wislizeni,34.616233,-118.469903
Quercus_wislizeni,33.632559,-116.565321
Quercus_wislizeni,37.772645,-120.175338
Quercus_wislizeni,33.695111,-116.641528
Quercus_wislizeni,33.701286,-116.634339
Quercus_wislizeni,33.691681,-116.636547
Quercus_wislizeni,33.697419,-116.644728
Quercus_wislizeni,34.315606,-117.849614
Quercus_wislizeni,34.315917,-117.849667
Quercus_wislizeni,38.618397,-121.30763
Quercus_wislizeni,36.001667,-118.537254
Quercus_wislizeni,38.584,-122.699
Quercus_wislizeni,34.315225,-117.848369
Quercus_wislizeni,39.755642,-121.812697
Quercus_wislizeni,33.766491,-116.684689
Quercus_wislizeni,37.027107,-122.045747
Quercus_wislizeni,34.634312,-118.453392
Quercus_wislizeni,36.499591,-121.203755
Quercus_wislizeni,34.143956,-118.167107
Quercus_wislizeni,33.75647,-116.720894
Quercus_wislizeni,33.738369,-116.75902
Quercus_wislizeni,36.207429,-118.785712
Quercus_wislizeni,37.457725,-122.24523
Quercus_wislizeni,38.583546,-121.330565
Quercus_wislizeni,37.886735,-122.523981
Quercus_wislizeni,33.68755,-116.703787
Quercus_wislizeni,33.696638,-116.697218
Quercus_wislizeni,33.711842,-116.680061
Quercus_wislizeni,33.728889,-116.711194
Quercus_wislizeni,38.683639,-121.272961
Quercus_wislizeni,33.696305,-116.76127
Quercus_wislizeni,38.684206,-121.16618
Quercus_wislizeni,33.721618,-116.701756
Quercus_wislizeni,38.682412,-121.165946
Quercus_wislizeni,37.880626,-121.919073
Quercus_wislizeni,34.861444,-118.750833
Quercus_wislizeni,38.649983,-121.182608
Quercus_wislizeni,38.503097,-122.238228
Quercus_wislizeni,33.719214,-116.695894
Quercus_wislizeni,38.533732,-121.100014
Quercus_wislizeni,38.054245,-121.369655
Quercus_wislizeni,38.682655,-121.176392
Quercus_wislizeni,37.881613,-121.914939
Quercus_wislizeni,32.965036,-116.570856
Quercus_wislizeni,36.119606,-121.468918
Quercus_wislizeni,35.669628,-118.471275
Quercus_wislizeni,34.90643,-119.770174
Quercus_wislizeni,38.407034,-122.85303
Quercus_wislizeni,34.252392,-118.252945
Quercus_wislizeni,34.179707,-118.472442
Quercus_wislizeni,32.043408,-115.944533
Quercus_wislizeni,38.357728,-122.431131
Quercus_wislizeni,35.717142,-118.306008
Quercus_wislizeni,39.292103,-121.194908
Quercus_wislizeni,38.727892,-120.996015
Quercus_wislizeni,34.389088,-118.083685
Quercus_wislizeni,36.21096,-118.800846
Quercus_wislizeni,37.903814,-121.916871
Quercus_wislizeni,39.292143,-121.193976
Quercus_wislizeni,36.469372,-121.861571
Quercus_wislizeni,37.900855,-121.919467
Quercus_wislizeni,38.927334,-121.011448
Quercus_wislizeni,38.91526,-121.027295
Quercus_wislizeni,32.600914,-116.769928
Quercus_wislizeni,34.772295,-119.848853
Quercus_wislizeni,34.115886,-117.716939
Quercus_wislizeni,35.335211,-118.334032
Quercus_wislizeni,38.562041,-120.977036
Quercus_wislizeni,38.596943,-121.330833
Quercus_wislizeni,37.908253,-121.893206
Quercus_wislizeni,38.571667,-122.706947
Quercus_wislizeni,37.88072,-121.919249
Quercus_wislizeni,37.881027,-121.91713
Quercus_wislizeni,37.88077,-121.91897
Quercus_wislizeni,33.347863,-116.911172
Quercus_wislizeni,37.548605,-121.71291
Quercus_wislizeni,37.880665,-121.918333
Quercus_wislizeni,37.954536,-121.860861
Quercus_wislizeni,37.484787,-122.295273
Quercus_wislizeni,39.803573,-121.725763
Quercus_wislizeni,34.354969,-118.418782
Quercus_wislizeni,33.757927,-116.721466
Quercus_wislizeni,33.756665,-116.720542
Quercus_wislizeni,33.754863,-116.7234
Quercus_wislizeni,37.88183,-121.914509
Quercus_wislizeni,33.312454,-116.832954
Quercus_wislizeni,36.781708,-121.4665
Quercus_wislizeni,37.041619,-122.067225
Quercus_wislizeni,33.318328,-116.84513
Quercus_wislizeni,33.594164,-116.780625
Quercus_wislizeni,34.7949,-120.049553
Quercus_wislizeni,39.76307,-121.798997
Quercus_wislizeni,34.325663,-118.019779
Quercus_wislizeni,36.513992,-118.800605
Quercus_wislizeni,33.827363,-116.792892
Quercus_wislizeni,33.827192,-116.794123
Quercus_wislizeni,39.791882,-121.728653
Quercus_wislizeni,38.257687,-120.282668
Quercus_wislizeni,33.826227,-116.791225
Quercus_wislizeni,33.734157,-116.756207
Quercus_wislizeni,33.670189,-116.694588
Quercus_wislizeni,36.312667,-121.572647
Quercus_wislizeni,36.48978,-121.196755
Quercus_wislizeni,33.735494,-116.765362
Quercus_wislizeni,40.626453,-122.316833
Quercus_wislizeni,36.459847,-118.911269
Quercus_wislizeni,40.553339,-122.482716
Quercus_wislizeni,38.741497,-120.897872
Quercus_wislizeni,38.91741,-121.039874
Quercus_wislizeni,38.918225,-121.037594
Quercus_wislizeni,33.140556,-116.596947
Quercus_wislizeni,32.757244,-116.581856
Quercus_wislizeni,39.104938,-121.293376
Quercus_wislizeni,40.109421,-122.012756
Quercus_wislizeni,38.711666,-121.093056
Quercus_wislizeni,38.627777,-121.273334
Quercus_wislizeni,34.22286,-118.128077
Quercus_wislizeni,37.663638,-119.870942
Quercus_wislizeni,37.97185,-122.634095
Quercus_wislizeni,38.725783,-121.39906
Quercus_wislizeni,37.971775,-122.634073
Quercus_wislizeni,37.973258,-122.637817
Quercus_wislizeni,36.61829,-121.706599
Quercus_wislizeni,38.780657,-123.073528
Quercus_wislizeni,36.4799,-118.85717
Quercus_wislizeni,38.627331,-121.284986
Quercus_wislizeni,38.770555,-121.044445
Quercus_wislizeni,39.267985,-121.034952
Quercus_wislizeni,39.788813,-121.727233
Quercus_wislizeni,39.790998,-121.72851
Quercus_wislizeni,37.955312,-121.865314
Quercus_wislizeni,37.158278,-121.897512
Quercus_wislizeni,38.536985,-121.747634
Quercus_wislizeni,37.173012,-121.859124
Quercus_wislizeni,33.846387,-116.81623
Quercus_wislizeni,37.880916,-121.917661
Quercus_wislizeni,38.8853,-121.02285
Quercus_wislizeni,38.643049,-121.153519
Quercus_wislizeni,38.677091,-121.183117
